category,canneal,SP
runtime,103.03927159309387,150.06178307533264
llc_references,40508138.65686274,675910904.6554054
llc_misses,31481233.88235294,368161596.6216216
instructions,1261428398.8333335,27252291126.77027
cycles,7300944814.735294,16288597899.182432
stall_cycles,6464814188.333334,5772795757.878379
intra_coh,348349.3627450981,46110.55405405405
inter_coh,0.00980392156862745,0.013513513513513514
wall_cycles,2103190680.4607844,2103353773.0337837
llc_size,17396595.450980395,197685358.7027027
local_mem,2403788518.901961,28603387350.48649
remote_mem,9201382.901960785,64971416.21621622
