llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
60685693,36746394,7407202155,3301250878,632719034,6158,0,855160811,33423360,8433762304,0
60685693,36746394,7407202155,3301250878,632719034,6158,0,855160811,33423360,8433762304,0
119903235,72973627,4946097589,2882665226,981383262,2986,0,419863552,40566784,6181158912,32047104
119903235,72973627,4946097589,2882665226,981383262,2986,0,419863552,40566784,6181158912,32047104
135341190,69699233,5602190321,3285939994,1137893824,10336,0,420021410,41353216,4443275264,65339392
135341190,69699233,5602190321,3285939994,1137893824,10336,0,420021410,41353216,4443275264,65339392
143641344,79449389,5899766954,3221406207,1055320371,4770,0,421029007,41353216,6470565888,0
143641344,79449389,5899766954,3221406207,1055320371,4770,0,421029007,41353216,6470565888,0
126256485,68713119,4923337430,3175099677,1188808311,12419,0,419600083,40763392,4794417152,0
126256485,68713119,4923337430,3175099677,1188808311,12419,0,419600083,40763392,4794417152,0
140681698,76067283,5959553042,3189947359,927064344,4273,0,419509104,40370176,5811863552,0
140681698,76067283,5959553042,3189947359,927064344,4273,0,419509104,40370176,5811863552,0
126274496,72106475,5280115725,3255909420,1152183026,9017,0,420105371,40960000,5334302720,40239104
126274496,72106475,5280115725,3255909420,1152183026,9017,0,420105371,40960000,5334302720,40239104
147361283,71930871,5907936882,3240479746,1034736885,2540,0,419907446,36765696,5368053760,47579136
147361283,71930871,5907936882,3240479746,1034736885,2540,0,419907446,36765696,5368053760,47579136
133264179,76101294,5243102569,3252914012,1182198540,10185,0,420142947,41353216,6268977152,0
133264179,76101294,5243102569,3252914012,1182198540,10185,0,420142947,41353216,6268977152,0
138892278,70331565,5754772341,3222608218,1047316081,18128,0,419749029,39190528,4594204672,983040
138892278,70331565,5754772341,3222608218,1047316081,18128,0,419749029,39190528,4594204672,983040
136869481,75606694,5021468797,3177612949,1197610665,4511,0,420641965,41418752,6932135936,38141952
136869481,75606694,5021468797,3177612949,1197610665,4511,0,420641965,41418752,6932135936,38141952
134304049,68977291,6038674870,3254553961,971949046,6740,0,419693776,41353216,3919708160,1179648
134304049,68977291,6038674870,3254553961,971949046,6740,0,419693776,41353216,3919708160,1179648
144075168,81111825,5252527255,3259936288,1236088376,2582,0,420122241,40828928,7258374144,0
144075168,81111825,5252527255,3259936288,1236088376,2582,0,420122241,40828928,7258374144,0
128596020,68591911,5284908981,3229111387,1126450458,7043,0,420073871,41484288,4582604800,42336256
128596020,68591911,5284908981,3229111387,1126450458,7043,0,420073871,41484288,4582604800,42336256
144982189,78407371,5863162410,3268434643,1076568288,2534,0,419527283,40828928,6391857152,0
144982189,78407371,5863162410,3268434643,1076568288,2534,0,419527283,40828928,6391857152,0
128347442,71318335,5368077380,3290436648,1191018610,10556,0,419960079,40960000,5143986176,18219008
128347442,71318335,5368077380,3290436648,1191018610,10556,0,419960079,40960000,5143986176,18219008
147358071,75560126,5949275015,3251158238,997541481,2342,0,419852300,39452672,5608243200,0
147358071,75560126,5949275015,3251158238,997541481,2342,0,419852300,39452672,5608243200,0
115940250,70606577,5244699399,3115674425,1075075706,9068,0,421854181,41091072,5494669312,41353216
115940250,70606577,5244699399,3115674425,1075075706,9068,0,421854181,41091072,5494669312,41353216
148989059,73951143,5575041205,3282758377,1125040647,4646,0,419483463,40566784,5385289728,0
148989059,73951143,5575041205,3282758377,1125040647,4646,0,419483463,40566784,5385289728,0
139427466,76434128,5290986242,3309340869,1225414552,7764,0,419375740,41353216,6585974784,29687808
139427466,76434128,5290986242,3309340869,1225414552,7764,0,419375740,41353216,6585974784,29687808
138088055,71332153,5983440411,3300132627,1031271903,19405,0,420064519,40697856,4228251648,0
138088055,71332153,5983440411,3300132627,1031271903,19405,0,420064519,40697856,4228251648,0
141994501,78906880,5137000484,3253617202,1268312171,3004,0,419126232,40763392,7344553984,7602176
141994501,78906880,5137000484,3253617202,1268312171,3004,0,419126232,40763392,7344553984,7602176
134427001,69691146,5733884519,3272647210,1052492107,10814,1,420079387,41025536,4395565056,42139648
134427001,69691146,5733884519,3272647210,1052492107,10814,1,420079387,41025536,4395565056,42139648
140375735,76251760,5666299530,3107086816,968854063,3388,0,419889561,39780352,6241779712,0
140375735,76251760,5666299530,3107086816,968854063,3388,0,419889561,39780352,6241779712,0
126975514,70719460,5054921174,3253127157,1234445521,9962,0,420202307,40435712,5123670016,12320768
126975514,70719460,5054921174,3253127157,1234445521,9962,0,420202307,40435712,5123670016,12320768
146879011,77149424,6141558474,3288981534,991556513,4690,0,419976907,40501248,5857411072,0
146879011,77149424,6141558474,3288981534,991556513,4690,0,419976907,40501248,5857411072,0
123413011,72214384,5452653207,3248832773,1132149083,8827,0,420001190,40435712,5364842496,23789568
123413011,72214384,5452653207,3248832773,1132149083,8827,0,420001190,40435712,5364842496,23789568
150396626,73992496,5764780615,3308594149,1116239185,5949,0,420166187,39780352,5559549952,0
150396626,73992496,5764780615,3308594149,1116239185,5949,0,420166187,39780352,5559549952,0
137348335,75853148,5307765381,3285216529,1190711357,9159,0,419855870,41353216,6429671424,40960000
137348335,75853148,5307765381,3285216529,1190711357,9159,0,419855870,41353216,6429671424,40960000
137274194,69902725,5827728474,3254011189,1035171225,8268,0,420021959,40370176,4321312768,0
137274194,69902725,5827728474,3254011189,1035171225,8268,0,420021959,40370176,4321312768,0
