llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1982825,1036538,344264521,398708496,216783593,0,0,879728538,8192000,687734784,0
1982825,1036538,344264521,398708496,216783593,0,0,879728538,8192000,687734784,0
1616983,1188987,247931870,399765201,269312522,0,0,419596293,1179648,99745792,0
1616983,1188987,247931870,399765201,269312522,0,0,419596293,1179648,99745792,0
1760047,1317293,247711320,399463887,265745422,0,0,419633455,589824,99942400,0
1760047,1317293,247711320,399463887,265745422,0,0,419633455,589824,99942400,0
1527363,1247470,207596773,399366016,286170620,0,0,419668305,524288,92930048,0
1527363,1247470,207596773,399366016,286170620,0,0,419668305,524288,92930048,0
1709395,1298118,225547037,400828018,276705670,0,0,419596842,1572864,102367232,458752
1709395,1298118,225547037,400828018,276705670,0,0,419596842,1572864,102367232,458752
1679166,1264996,201492621,401658045,286024283,0,0,419622623,1179648,103153664,917504
1679166,1264996,201492621,401658045,286024283,0,0,419622623,1179648,103153664,917504
1813596,1332315,212992087,402157753,285933197,0,0,419645030,917504,103022592,0
1813596,1332315,212992087,402157753,285933197,0,0,419645030,917504,103022592,0
1672428,1253738,200400335,400502819,285144438,0,0,419632528,2162688,103022592,458752
1672428,1253738,200400335,400502819,285144438,0,0,419632528,2162688,103022592,458752
1642044,1230834,185116626,397501196,294409974,0,0,419607027,196608,98107392,0
1642044,1230834,185116626,397501196,294409974,0,0,419607027,196608,98107392,0
1833653,1312016,206733668,402004789,285679996,0,0,419618420,1114112,104464384,720896
1833653,1312016,206733668,402004789,285679996,0,0,419618420,1114112,104464384,720896
1609662,1181083,173298586,397758872,301436095,0,0,419641855,393216,98893824,0
1609662,1181083,173298586,397758872,301436095,0,0,419641855,393216,98893824,0
1978438,1397594,224421094,403171525,279244111,0,0,419572965,1245184,110428160,0
1978438,1397594,224421094,403171525,279244111,0,0,419572965,1245184,110428160,0
1525339,1163636,159504715,402887891,314146111,0,0,419679582,1441792,88539136,262144
1525339,1163636,159504715,402887891,314146111,0,0,419679582,1441792,88539136,262144
1829727,1339663,207958227,402913192,285550882,0,0,419646010,917504,108331008,0
1829727,1339663,207958227,402913192,285550882,0,0,419646010,917504,108331008,0
1607617,1223920,169932248,403127551,308797562,0,0,419655033,1507328,89587712,262144
1607617,1223920,169932248,403127551,308797562,0,0,419655033,1507328,89587712,262144
1797464,1325552,193609901,403250272,298152231,0,0,419543978,1507328,104333312,65536
1797464,1325552,193609901,403250272,298152231,0,0,419543978,1507328,104333312,65536
1719210,1286410,179789283,403983868,298993819,0,0,419605627,1048576,96796672,0
1719210,1286410,179789283,403983868,298993819,0,0,419605627,1048576,96796672,0
1846015,1390014,197767245,404528573,299738406,0,0,419644050,2031616,101122048,0
1846015,1390014,197767245,404528573,299738406,0,0,419644050,2031616,101122048,0
1729783,1257679,170676426,396204638,306994270,0,0,419631251,1835008,103874560,262144
1729783,1257679,170676426,396204638,306994270,0,0,419631251,1835008,103874560,262144
1628144,1258647,165076855,404051158,313366651,0,0,419642478,393216,97714176,0
1628144,1258647,165076855,404051158,313366651,0,0,419642478,393216,97714176,0
1905928,1351881,185372265,398624557,295266809,0,0,419659569,1376256,114688000,262144
1905928,1351881,185372265,398624557,295266809,0,0,419659569,1376256,114688000,262144
1498180,1173289,146751166,405139515,322286372,0,0,419595134,1572864,87687168,0
1498180,1173289,146751166,405139515,322286372,0,0,419595134,1572864,87687168,0
2035068,1443518,196368418,404499494,294201962,0,0,419682067,589824,102629376,0
2035068,1443518,196368418,404499494,294201962,0,0,419682067,589824,102629376,0
1600341,1268347,154491073,398853759,309368546,0,0,419682242,1245184,101253120,655360
1600341,1268347,154491073,398853759,309368546,0,0,419682242,1245184,101253120,655360
1882623,1364428,179011294,405388641,308967090,0,0,419576836,983040,98566144,0
1882623,1364428,179011294,405388641,308967090,0,0,419576836,983040,98566144,0
1705065,1278808,158746145,399461041,309191979,0,0,419665435,1507328,99024896,327680
1705065,1278808,158746145,399461041,309191979,0,0,419665435,1507328,99024896,327680
1865205,1353568,170691641,404993700,311249361,0,0,419633627,720896,95551488,0
1865205,1353568,170691641,404993700,311249361,0,0,419633627,720896,95551488,0
1761019,1345850,168089232,405617831,309407298,0,0,419658008,1114112,93192192,655360
1761019,1345850,168089232,405617831,309407298,0,0,419658008,1114112,93192192,655360
1629144,1300543,155877591,405519188,310800542,0,0,419586664,262144,101187584,0
1629144,1300543,155877591,405519188,310800542,0,0,419586664,262144,101187584,0
1865361,1432207,178384405,404636637,304966196,0,0,419662558,1376256,95354880,655360
1865361,1432207,178384405,404636637,304966196,0,0,419662558,1376256,95354880,655360
1474697,1246200,145041350,405933763,325556600,0,0,419589758,262144,91291648,0
1474697,1246200,145041350,405933763,325556600,0,0,419589758,262144,91291648,0
2005515,1493628,187992078,405402826,298990542,0,0,419662852,524288,99024896,0
2005515,1493628,187992078,405402826,298990542,0,0,419662852,524288,99024896,0
1557031,1257108,138282510,406622288,325865879,0,0,419608266,1048576,88801280,0
1557031,1257108,138282510,406622288,325865879,0,0,419608266,1048576,88801280,0
1835714,1348208,165055174,400606078,309179260,0,0,419641817,458752,109379584,0
1835714,1348208,165055174,400606078,309179260,0,0,419641817,458752,109379584,0
1645815,1351268,152847310,405676515,319887777,0,0,419652156,1179648,94568448,262144
1645815,1351268,152847310,405676515,319887777,0,0,419652156,1179648,94568448,262144
1828571,1307272,153593625,399290091,309787442,0,0,419637029,1179648,99418112,393216
1828571,1307272,153593625,399290091,309787442,0,0,419637029,1179648,99418112,393216
1720689,1414151,162482222,405644742,317339724,0,0,419621251,786432,92209152,0
1720689,1414151,162482222,405644742,317339724,0,0,419621251,786432,92209152,0
1743402,1337530,156038745,406588228,321461560,0,0,419700141,589824,91291648,0
1743402,1337530,156038745,406588228,321461560,0,0,419700141,589824,91291648,0
1826595,1395085,162484998,400503879,310112717,0,0,419577991,1703936,100532224,393216
1826595,1395085,162484998,400503879,310112717,0,0,419577991,1703936,100532224,393216
1604615,1324971,148887907,406866994,324677119,0,0,419527205,589824,88276992,0
1604615,1324971,148887907,406866994,324677119,0,0,419527205,589824,88276992,0
2015467,1490718,175817219,406297342,308998543,0,0,419735891,1638400,103546880,1048576
2015467,1490718,175817219,406297342,308998543,0,0,419735891,1638400,103546880,1048576
1469736,1225977,127343880,400677392,327508520,0,0,419597808,1179648,93061120,0
1469736,1225977,127343880,400677392,327508520,0,0,419597808,1179648,93061120,0
1997680,1457788,169247329,406496430,311183119,0,0,419613436,720896,97714176,0
1997680,1457788,169247329,406496430,311183119,0,0,419613436,720896,97714176,0
1547355,1321275,141749739,407206981,319600723,0,0,419668217,655360,93061120,0
1547355,1321275,141749739,407206981,319600723,0,0,419668217,655360,93061120,0
1826372,1370075,156323703,406955914,318821443,0,0,419582260,1376256,95944704,196608
1826372,1370075,156323703,406955914,318821443,0,0,419582260,1376256,95944704,196608
1776351,1435365,153473225,406567038,325560198,0,0,419580876,1572864,92078080,0
1776351,1435365,153473225,406567038,325560198,0,0,419580876,1572864,92078080,0
1718828,1354027,151213551,406919470,321836767,0,0,419729611,524288,99352576,0
1718828,1354027,151213551,406919470,321836767,0,0,419729611,524288,99352576,0
1925087,1448055,159537124,407366726,323402771,0,0,419648334,458752,90767360,131072
1925087,1448055,159537124,407366726,323402771,0,0,419648334,458752,90767360,131072
1739714,1299862,136049469,401178629,329313452,0,0,419493974,458752,98369536,0
1739714,1299862,136049469,401178629,329313452,0,0,419493974,458752,98369536,0
1883054,1421157,153268810,406534721,318102180,0,0,419767750,1048576,96403456,65536
1883054,1421157,153268810,406534721,318102180,0,0,419767750,1048576,96403456,65536
1558064,1268113,126982474,407449233,336776275,0,0,419600321,524288,83558400,0
1558064,1268113,126982474,407449233,336776275,0,0,419600321,524288,83558400,0
1995622,1481612,165278549,400788665,306302252,0,0,419668844,458752,105381888,0
1995622,1481612,165278549,400788665,306302252,0,0,419668844,458752,105381888,0
1573887,1281443,127979753,407583958,335547102,0,0,419597689,1376256,83427328,458752
1573887,1281443,127979753,407583958,335547102,0,0,419597689,1376256,83427328,458752
1888363,1362109,147618413,401047844,316088605,0,0,419628377,589824,100139008,65536
1888363,1362109,147618413,401047844,316088605,0,0,419628377,589824,100139008,65536
1691199,1423513,141533255,407827507,329720183,0,0,419650679,1900544,90832896,131072
1691199,1423513,141533255,407827507,329720183,0,0,419650679,1900544,90832896,131072
1884586,1376215,144158846,407579503,324788745,0,0,419626179,1179648,93323264,393216
1884586,1376215,144158846,407579503,324788745,0,0,419626179,1179648,93323264,393216
1766207,1439070,143777902,399560171,319755217,0,0,419627957,1179648,103284736,0
1766207,1439070,143777902,399560171,319755217,0,0,419627957,1179648,103284736,0
1814780,1403962,144885069,408210933,326508365,0,0,419649104,524288,90374144,0
1814780,1403962,144885069,408210933,326508365,0,0,419649104,524288,90374144,0
1826820,1396686,141218310,400845223,321598741,0,0,419643770,1114112,97124352,0
1826820,1396686,141218310,400845223,321598741,0,0,419643770,1114112,97124352,0
1631180,1296928,126179418,408546149,335245379,0,0,419630533,393216,85393408,196608
1631180,1296928,126179418,408546149,335245379,0,0,419630533,393216,85393408,196608
2010681,1522197,160397669,407274540,317699242,0,0,419660318,1245184,102301696,327680
2010681,1522197,160397669,407274540,317699242,0,0,419660318,1245184,102301696,327680
1437190,1264590,116330179,407614917,339659979,0,0,419529082,1572864,91881472,0
1437190,1264590,116330179,407614917,339659979,0,0,419529082,1572864,91881472,0
1972911,1497852,156070806,407854079,322979503,0,0,419643518,589824,102105088,0
1972911,1497852,156070806,407854079,322979503,0,0,419643518,589824,102105088,0
1608444,1315118,124477402,400887206,336382280,0,0,419650231,1179648,98893824,458752
1608444,1315118,124477402,400887206,336382280,0,0,419650231,1179648,98893824,458752
1870130,1434081,146609845,408084375,326571287,0,0,419637883,786432,99221504,0
1870130,1434081,146609845,408084375,326571287,0,0,419637883,786432,99221504,0
1900376,1446593,138022088,408087714,333024618,0,0,419656062,1376256,92340224,262144
1900376,1446593,138022088,408087714,333024618,0,0,419656062,1376256,92340224,262144
1782029,1364275,135422458,401371279,324045628,0,0,419641586,524288,102039552,0
1782029,1364275,135422458,401371279,324045628,0,0,419641586,524288,102039552,0
1877356,1457473,141057297,407978391,330242617,0,0,419633494,1638400,94633984,131072
1877356,1457473,141057297,407978391,330242617,0,0,419633494,1638400,94633984,131072
1715341,1340539,123938845,407170726,338242906,0,0,419614748,131072,86900736,0
1715341,1340539,123938845,407170726,338242906,0,0,419614748,131072,86900736,0
2021347,1530189,154035125,406923306,322025775,0,0,419632003,1835008,101580800,458752
2021347,1530189,154035125,406923306,322025775,0,0,419632003,1835008,101580800,458752
1691174,1351884,122992674,409058705,341794630,0,0,419623393,1048576,86573056,0
1691174,1351884,122992674,409058705,341794630,0,0,419623393,1048576,86573056,0
2045218,1545881,158921690,407942768,321711516,0,0,419654935,589824,104988672,0
2045218,1545881,158921690,407942768,321711516,0,0,419654935,589824,104988672,0
1613359,1354508,121657670,408317364,341222785,0,0,419650952,1114112,93782016,131072
1613359,1354508,121657670,408317364,341222785,0,0,419650952,1114112,93782016,131072
1870839,1423373,143364877,408317358,329798913,0,0,419617660,1376256,96796672,0
1870839,1423373,143364877,408317358,329798913,0,0,419617660,1376256,96796672,0
1788809,1454963,134588795,408527093,334986326,0,0,419643238,1572864,89653248,65536
1788809,1454963,134588795,408527093,334986326,0,0,419643238,1572864,89653248,65536
1864022,1438236,137845663,408837321,330616632,0,0,419607349,524288,98172928,0
1864022,1438236,137845663,408837321,330616632,0,0,419607349,524288,98172928,0
1864287,1420080,131312981,401096479,334365633,0,0,419699903,589824,101842944,0
1864287,1420080,131312981,401096479,334365633,0,0,419699903,589824,101842944,0
1714602,1379730,125889055,408143739,336896684,0,0,419605823,655360,92667904,0
1714602,1379730,125889055,408143739,336896684,0,0,419605823,655360,92667904,0
2056319,1501419,143149061,408966958,329644047,0,0,419703634,1638400,102629376,196608
2056319,1501419,143149061,408966958,329644047,0,0,419703634,1638400,102629376,196608
1596285,1302547,116473741,408664431,340714938,0,0,419554940,655360,89194496,196608
1596285,1302547,116473741,408664431,340714938,0,0,419554940,655360,89194496,196608
2039641,1568534,152684144,408605961,323259114,0,0,419614496,1441792,103940096,0
2039641,1568534,152684144,408605961,323259114,0,0,419614496,1441792,103940096,0
1492637,1263197,110723663,401175845,343861350,0,0,419640165,1376256,98041856,131072
1492637,1263197,110723663,401175845,343861350,0,0,419640165,1376256,98041856,131072
1946580,1505934,146055312,408544566,328681474,0,0,419612592,655360,101122048,0
1946580,1505934,146055312,408544566,328681474,0,0,419612592,655360,101122048,0
1675601,1395759,123356999,408725855,341304354,0,0,419661809,1441792,95748096,655360
1675601,1395759,123356999,408725855,341304354,0,0,419661809,1441792,95748096,655360
1886479,1453885,139746141,408627584,329676628,0,0,419626459,917504,101646336,0
1886479,1453885,139746141,408627584,329676628,0,0,419626459,917504,101646336,0
1850132,1491603,134927555,408429074,336473759,0,0,419634663,1900544,94633984,458752
1850132,1491603,134927555,408429074,336473759,0,0,419634663,1900544,94633984,458752
1824093,1373157,129130752,397745516,332382427,0,0,419663594,655360,108593152,0
1824093,1373157,129130752,397745516,332382427,0,0,419663594,655360,108593152,0
1877470,1465561,133039364,408432534,335222575,0,0,419600524,1441792,101318656,0
1877470,1465561,133039364,408432534,335222575,0,0,419600524,1441792,101318656,0
1716391,1414541,126329882,409019954,339863604,0,0,419605011,262144,93454336,0
1716391,1414541,126329882,409019954,339863604,0,0,419605011,262144,93454336,0
2015172,1531393,141356916,408535196,327226051,0,0,419647669,983040,101056512,65536
2015172,1531393,141356916,408535196,327226051,0,0,419647669,983040,101056512,65536
