category,cfd,SP
runtime,85.75129055976868,152.19345998764038
llc_references,74115361.16113743,665562716.1620187
llc_misses,42115251.43364929,365018227.2377158
instructions,22271718496.362556,26784908729.023903
cycles,15809938880.438389,16281615676.586987
stall_cycles,6090809165.189573,5932835964.694555
intra_coh,806334.3246445497,46700.803452855245
inter_coh,0.059241706161137435,0.033200531208499334
wall_cycles,2104357578.6729858,2103157808.9243028
llc_size,28957749.383886255,193731117.5564409
local_mem,3886084464.834123,29264042911.447544
remote_mem,43332185.78199052,106454659.22974767
