llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
47800,23984,929739549,406826913,58585577,0,0,839919430,1507328,35192832,0
47800,23984,929739549,406826913,58585577,0,0,839919430,1507328,35192832,0
63690,51030,886522241,399062843,66189949,0,0,419793252,131072,21561344,0
63690,51030,886522241,399062843,66189949,0,0,419793252,131072,21561344,0
58295,48324,895797877,400704091,63869899,0,0,419594378,196608,18022400,327680
58295,48324,895797877,400704091,63869899,0,0,419594378,196608,18022400,327680
64817,52009,885491835,399623931,67719086,0,0,419617138,262144,19136512,0
64817,52009,885491835,399623931,67719086,0,0,419617138,262144,19136512,0
59605,50751,895936678,402026044,65075874,0,0,419674539,262144,19070976,393216
59605,50751,895936678,402026044,65075874,0,0,419674539,262144,19070976,393216
6610185,3594265,1967596876,1323342993,454841780,80098,0,419857215,6291456,378535936,23068672
6610185,3594265,1967596876,1323342993,454841780,80098,0,419857215,6291456,378535936,23068672
19390858,10505850,4175742731,3260435730,1388540378,204886,0,419947247,7077888,990117888,131072
19390858,10505850,4175742731,3260435730,1388540378,204886,0,419947247,7077888,990117888,131072
19581780,10614196,4187157569,3288019957,1473014422,213519,0,419898241,12517376,1007419392,13959168
19581780,10614196,4187157569,3288019957,1473014422,213519,0,419898241,12517376,1007419392,13959168
21547046,11006507,4353189224,3269548287,1381152295,211899,0,419866335,7274496,1019478016,6225920
21547046,11006507,4353189224,3269548287,1381152295,211899,0,419866335,7274496,1019478016,6225920
19625069,11110339,4228264987,3252344502,1404513626,217118,0,419877976,10878976,1001652224,9306112
19625069,11110339,4228264987,3252344502,1404513626,217118,0,419877976,10878976,1001652224,9306112
20865304,11288721,4393659419,3266937124,1363176116,228634,0,419747468,7274496,1011286016,14811136
20865304,11288721,4393659419,3266937124,1363176116,228634,0,419747468,7274496,1011286016,14811136
18328779,10459539,4119442694,3320533052,1468084656,184079,0,420100203,14548992,990314496,0
18328779,10459539,4119442694,3320533052,1468084656,184079,0,420100203,14548992,990314496,0
17186080,9408518,4055686027,3249060609,1380461534,152534,0,419925984,6422528,878051328,4456448
17186080,9408518,4055686027,3249060609,1380461534,152534,0,419925984,6422528,878051328,4456448
15492496,8787220,3939238886,3173270451,1356148241,138741,0,419868575,5963776,831193088,9502720
15492496,8787220,3939238886,3173270451,1356148241,138741,0,419868575,5963776,831193088,9502720
15573961,8664767,4264925590,3215828469,1296305568,146533,0,419912472,3342336,798818304,5505024
15573961,8664767,4264925590,3215828469,1296305568,146533,0,419912472,3342336,798818304,5505024
14797003,8494691,4374915295,3197046658,1272202716,164528,0,419967233,5046272,788463616,11534336
14797003,8494691,4374915295,3197046658,1272202716,164528,0,419967233,5046272,788463616,11534336
15529559,8722015,4682708292,3282045485,1246993664,176257,0,419856764,3997696,795803648,7602176
15529559,8722015,4682708292,3282045485,1246993664,176257,0,419856764,3997696,795803648,7602176
15734588,8849495,4693586200,3274193745,1228111991,169458,0,419987990,7208960,820903936,9764864
15734588,8849495,4693586200,3274193745,1228111991,169458,0,419987990,7208960,820903936,9764864
15157746,8520757,4545423447,3275209931,1292528052,155581,0,419873720,2883584,770899968,7733248
15157746,8520757,4545423447,3275209931,1292528052,155581,0,419873720,2883584,770899968,7733248
15569718,8823887,4703890770,3245979646,1195785530,167467,0,419821619,5898240,825229312,11010048
