llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2237606,1644442,451039874,400995973,169976123,0,0,861606367,9961472,251002880,4718592
2237606,1644442,451039874,400995973,169976123,0,0,861606367,9961472,251002880,4718592
1196619,689793,344025136,397408766,180049083,0,0,419711504,1114112,97058816,2228224
1196619,689793,344025136,397408766,180049083,0,0,419711504,1114112,97058816,2228224
2083990,1930080,386049823,377127320,193537179,0,0,419763923,851968,199557120,2424832
2083990,1930080,386049823,377127320,193537179,0,0,419763923,851968,199557120,2424832
1573216,1172072,529617761,381411214,131016861,0,0,419725944,1114112,135987200,12713984
1573216,1172072,529617761,381411214,131016861,0,0,419725944,1114112,135987200,12713984
1270051,957970,500048077,385985012,138623836,0,0,419832207,3670016,139460608,0
1270051,957970,500048077,385985012,138623836,0,0,419832207,3670016,139460608,0
1464958,1686333,463982551,390549156,202410801,0,0,419838344,983040,142082048,0
1464958,1686333,463982551,390549156,202410801,0,0,419838344,983040,142082048,0
553240,621941,543812361,415403791,166079479,0,0,419737948,262144,39452672,1245184
553240,621941,543812361,415403791,166079479,0,0,419737948,262144,39452672,1245184
15129407,5699546,514544700,414961073,154859579,0,0,419781769,1048576,34078720,2555904
15129407,5699546,514544700,414961073,154859579,0,0,419781769,1048576,34078720,2555904
685008,671358,515151324,414028642,195402985,0,0,419783818,2490368,56819712,9568256
685008,671358,515151324,414028642,195402985,0,0,419783818,2490368,56819712,9568256
5106168,5284608,3430325561,1698696091,465240874,5744,1,419889918,524288,648151040,1703936
5106168,5284608,3430325561,1698696091,465240874,5744,1,419889918,524288,648151040,1703936
4290772,3721898,4056289326,2240004563,744112372,9063,1,419797448,2031616,349437952,2752512
4290772,3721898,4056289326,2240004563,744112372,9063,1,419797448,2031616,349437952,2752512
76180349,38363451,5230221874,2213161633,640146129,1210356,0,419835059,16121856,2675245056,53870592
76180349,38363451,5230221874,2213161633,640146129,1210356,0,419835059,16121856,2675245056,53870592
69906447,35004648,5469386587,2517131080,822283173,1158067,0,420049189,1966080,2398748672,0
69906447,35004648,5469386587,2517131080,822283173,1158067,0,420049189,1966080,2398748672,0
5575878,5178888,4398333430,2280546757,641151591,12436,0,419923259,4521984,428670976,8847360
5575878,5178888,4398333430,2280546757,641151591,12436,0,419923259,4521984,428670976,8847360
4163260,3855978,4298254172,2345071132,783374934,8852,0,420211995,4521984,361693184,4521984
4163260,3855978,4298254172,2345071132,783374934,8852,0,420211995,4521984,361693184,4521984
38100082,23332115,5356817171,2638560610,781247174,534359,0,419965319,21757952,1598488576,36700160
38100082,23332115,5356817171,2638560610,781247174,534359,0,419965319,21757952,1598488576,36700160
72391498,36786860,4636017823,2311974425,904765121,1172788,0,420067826,7864320,2547056640,10682368
