llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
49659749,31745908,7632752038,3246913559,621228622,3524,0,825166476,30474240,6872563712,0
49659749,31745908,7632752038,3246913559,621228622,3524,0,825166476,30474240,6872563712,0
137955882,78305525,5431286444,3093360487,1036440722,4127,0,420145782,37421056,5139988480,0
137955882,78305525,5431286444,3093360487,1036440722,4127,0,420145782,37421056,5139988480,0
126137200,67627751,5004365917,3216990606,1237456068,11087,0,420174594,39190528,4793171968,6619136
126137200,67627751,5004365917,3216990606,1237456068,11087,0,420174594,39190528,4793171968,6619136
145706015,77202526,5924463146,3298861039,1059834413,1937,0,420008058,35913728,5047648256,0
145706015,77202526,5924463146,3298861039,1059834413,1937,0,420008058,35913728,5047648256,0
124047880,71361697,5399896428,3276804381,1183975478,14296,0,420280720,37814272,4870569984,17694720
124047880,71361697,5399896428,3276804381,1183975478,14296,0,420280720,37814272,4870569984,17694720
142874303,71711309,5429976060,3157007063,1061457577,2354,0,420094511,38404096,4669964288,851968
142874303,71711309,5429976060,3157007063,1061457577,2354,0,420094511,38404096,4669964288,851968
123397532,74339653,5363404052,3266291165,1137550536,13440,0,420073005,39845888,4974772224,27590656
123397532,74339653,5363404052,3266291165,1137550536,13440,0,420073005,39845888,4974772224,27590656
144078816,73385078,5437351227,3248290599,1176130046,9152,0,420342273,39649280,4999020544,0
144078816,73385078,5437351227,3248290599,1176130046,9152,0,420342273,39649280,4999020544,0
134226403,74750965,5238719059,3277569707,1196956670,13174,0,420073066,40370176,5080809472,32964608
134226403,74750965,5238719059,3277569707,1196956670,13174,0,420073066,40370176,5080809472,32964608
132796700,72017401,5632811734,3229672427,1105737770,6410,0,420088998,37617664,4604100608,0
132796700,72017401,5632811734,3229672427,1105737770,6410,0,420088998,37617664,4604100608,0
139398137,75368338,4960945405,3177390894,1207507739,5566,0,420076573,38666240,5230821376,29032448
139398137,75368338,4960945405,3177390894,1207507739,5566,0,420076573,38666240,5230821376,29032448
128796446,70232543,5862930760,3258765419,1050356306,7995,0,420152054,37421056,4483776512,0
128796446,70232543,5862930760,3258765419,1050356306,7995,0,420152054,37421056,4483776512,0
145323214,80301632,5156168945,3276382736,1289888466,5008,0,420062398,38076416,5725290496,4784128
145323214,80301632,5156168945,3276382736,1289888466,5008,0,420062398,38076416,5725290496,4784128
131762020,71084731,5538036986,3283389983,1118562126,11371,0,420146146,40042496,4584833024,12779520
131762020,71084731,5538036986,3283389983,1118562126,11371,0,420146146,40042496,4584833024,12779520
149132750,80430157,5866642227,3297425226,1116593231,2749,0,420007245,40435712,5318311936,29163520
149132750,80430157,5866642227,3297425226,1116593231,2749,0,420007245,40435712,5318311936,29163520
126345393,71523103,5046524160,3262720550,1246945809,11438,0,419947416,37486592,4859297792,0
126345393,71523103,5046524160,3262720550,1246945809,11438,0,419947416,37486592,4859297792,0
144164140,76491315,5988211387,3274792293,1053677505,2742,0,420258678,39976960,4941217792,13041664
144164140,76491315,5988211387,3274792293,1053677505,2742,0,420258678,39976960,4941217792,13041664
123391321,72076395,5288571746,3262542367,1196403612,9922,0,419963481,35520512,4775673856,1310720
123391321,72076395,5288571746,3262542367,1196403612,9922,0,419963481,35520512,4775673856,1310720
134532202,71749464,5208234098,3028679622,1008085494,2380,0,420249669,36765696,4666359808,14876672
134532202,71749464,5208234098,3028679622,1008085494,2380,0,420249669,36765696,4666359808,14876672
122013947,74491971,5397327746,3289847460,1215185967,12440,0,420134498,35717120,4980408320,10551296
122013947,74491971,5397327746,3289847460,1215185967,12440,0,420134498,35717120,4980408320,10551296
144982114,74083096,5383715581,3253537063,1152496413,4977,0,420074109,38535168,5041422336,0
144982114,74083096,5383715581,3253537063,1152496413,4977,0,420074109,38535168,5041422336,0
135472285,77863630,5293220715,3285629161,1211859846,14700,0,420082628,39780352,5183373312,24248320
135472285,77863630,5293220715,3285629161,1211859846,14700,0,420082628,39780352,5183373312,24248320
136342661,72185128,5623102096,3271095867,1102367417,7942,0,420143871,38928384,4606001152,0
136342661,72185128,5623102096,3271095867,1102367417,7942,0,420143871,38928384,4606001152,0
133136061,72927721,4751562162,3096313399,1197438326,8644,0,420026103,39845888,5069602816,30867456
133136061,72927721,4751562162,3096313399,1197438326,8644,0,420026103,39845888,5069602816,30867456
132477162,70357145,5891627327,3304598067,1063726067,13610,0,420126504,36962304,4497145856,0
132477162,70357145,5891627327,3304598067,1063726067,13610,0,420126504,36962304,4497145856,0
137818013,77663512,4944005409,3229332068,1304484635,2898,0,420005586,35848192,5641404416,18087936
137818013,77663512,4944005409,3229332068,1304484635,2898,0,420005586,35848192,5641404416,18087936
130491755,70230198,5626330209,3278794036,1106420521,13767,0,420254324,38928384,4608032768,17367040
130491755,70230198,5626330209,3278794036,1106420521,13767,0,420254324,38928384,4608032768,17367040
147006059,80280056,5635507610,3283790065,1152601721,11142,0,420069832,37093376,5369298944,0
147006059,80280056,5635507610,3283790065,1152601721,11142,0,420069832,37093376,5369298944,0
122117620,67829987,4734538975,3174734196,1261720091,10528,0,419989801,36962304,4746117120,1310720
122117620,67829987,4734538975,3174734196,1261720091,10528,0,419989801,36962304,4746117120,1310720
141978261,77782871,5931543919,3254700292,1045884539,2409,0,419980393,33488896,5098176512,20447232
141978261,77782871,5931543919,3254700292,1045884539,2409,0,419980393,33488896,5098176512,20447232
124363412,71891261,5080352253,3257477645,1245243986,10397,0,419967716,37552128,4799791104,0
124363412,71891261,5080352253,3257477645,1245243986,10397,0,419967716,37552128,4799791104,0
145228377,75512843,5826476101,3266873183,1078449089,2780,0,420071036,38600704,4939251712,5111808
145228377,75512843,5826476101,3266873183,1078449089,2780,0,420071036,38600704,4939251712,5111808
121282973,74625804,5395301834,3287630598,1195045726,12916,0,420031458,33882112,4908187648,18743296
121282973,74625804,5395301834,3287630598,1195045726,12916,0,420031458,33882112,4908187648,18743296
146322230,73644955,5394473189,3243113114,1157183183,2532,0,420147698,39518208,4997840896,4718592
146322230,73644955,5394473189,3243113114,1157183183,2532,0,420147698,39518208,4997840896,4718592
132361448,77156895,5259037435,3279048854,1224607709,16055,0,420245730,37224448,5031985152,11141120
132361448,77156895,5259037435,3279048854,1224607709,16055,0,420245730,37224448,5031985152,11141120
138349389,72759065,5610787846,3289156413,1130300310,9852,0,419947528,40501248,4786487296,0
138349389,72759065,5610787846,3289156413,1130300310,9852,0,419947528,40501248,4786487296,0
137814881,77927474,5099229290,3254761053,1258913772,6291,1,419998712,35651584,5356781568,33423360
137814881,77927474,5099229290,3254761053,1258913772,6291,1,419998712,35651584,5356781568,33423360
130362088,70137039,5782701740,3255455034,1037405753,6952,0,420180054,39059456,4304076800,3801088
130362088,70137039,5782701740,3255455034,1037405753,6952,0,420180054,39059456,4304076800,3801088
135468849,76238555,4769466080,3123263526,1241462633,2497,0,420056042,39387136,5477236736,0
135468849,76238555,4769466080,3123263526,1241462633,2497,0,420056042,39387136,5477236736,0
129468192,68178204,5776641701,3251215893,1053346839,14942,0,420178171,38207488,4401070080,12451840
129468192,68178204,5776641701,3251215893,1053346839,14942,0,420178171,38207488,4401070080,12451840
147559326,80163861,5584653422,3291085637,1184555831,2228,0,420153041,37486592,5378015232,0
147559326,80163861,5584653422,3291085637,1184555831,2228,0,420153041,37486592,5378015232,0
127904269,69275452,4954816825,3237880727,1255963376,10125,0,420154301,37486592,4757323776,5832704
127904269,69275452,4954816825,3237880727,1255963376,10125,0,420154301,37486592,4757323776,5832704
144332590,77667588,6182057269,3311766846,1056147709,28343,0,420152943,35192832,5120458752,0
144332590,77667588,6182057269,3311766846,1056147709,28343,0,420152943,35192832,5120458752,0
125622594,72773483,5249831042,3286069922,1202436605,12932,0,420036358,37552128,4808310784,10682368
125622594,72773483,5249831042,3286069922,1202436605,12932,0,420036358,37552128,4808310784,10682368
146474310,73804860,5787109972,3267518286,1080927369,2690,0,420043807,39911424,4849008640,196608
146474310,73804860,5787109972,3267518286,1080927369,2690,0,420043807,39911424,4849008640,196608
124185330,75100534,5240928798,3259147135,1196478365,13897,0,420115226,39780352,5023203328,14942208
124185330,75100534,5240928798,3259147135,1196478365,13897,0,420115226,39780352,5023203328,14942208
137956763,70817849,5267416698,3152068381,1106389274,4475,0,420096516,37486592,4777508864,1900544
137956763,70817849,5267416698,3152068381,1106389274,4475,0,420096516,37486592,4777508864,1900544
130569930,75257737,5240393985,3239562792,1177077917,11717,0,420062384,35586048,4911464448,32440320
130569930,75257737,5240393985,3239562792,1177077917,11717,0,420062384,35586048,4911464448,32440320
137149408,72597998,5592241667,3279997951,1141734143,9443,0,420136339,37158912,4804182016,0
137149408,72597998,5592241667,3279997951,1141734143,9443,0,420136339,37158912,4804182016,0
138086859,76381949,5020433976,3256185199,1284564457,5770,0,420083566,39124992,5322702848,28377088
138086859,76381949,5020433976,3256185199,1284564457,5770,0,420083566,39124992,5322702848,28377088
132410495,70718924,5925725669,3291476556,1040041218,16027,0,420102529,38928384,4388618240,0
132410495,70718924,5925725669,3291476556,1040041218,16027,0,420102529,38928384,4388618240,0
141406623,78841082,5082827210,3247600645,1277377733,2368,0,419952057,37552128,5657395200,28901376
141406623,78841082,5082827210,3247600645,1277377733,2368,0,419952057,37552128,5657395200,28901376
131455004,71017959,5519536116,3273780519,1140275302,11536,0,420090874,40697856,4552654848,0
131455004,71017959,5519536116,3273780519,1140275302,11536,0,420090874,40697856,4552654848,0
144433033,79707663,5792929021,3249887246,1078738470,2022,0,420156086,39583744,5413797888,52166656
144433033,79707663,5792929021,3249887246,1078738470,2022,0,420156086,39583744,5413797888,52166656
118322966,66034944,4552874854,3088462051,1225500271,10943,0,419851628,36372480,4468178944,0
118322966,66034944,4552874854,3088462051,1225500271,10943,0,419851628,36372480,4468178944,0
144055956,77812489,6129810083,3271582562,990676814,2381,0,420127603,39190528,5018484736,11403264
144055956,77812489,6129810083,3271582562,990676814,2381,0,420127603,39190528,5018484736,11403264
124889699,71966457,5248556846,3265736866,1202367269,13268,0,420131607,40304640,4754702336,15925248
124889699,71966457,5248556846,3265736866,1202367269,13268,0,420131607,40304640,4754702336,15925248
145649170,74480141,5765192868,3272550357,1076311781,2578,0,420047775,38469632,4871749632,0
145649170,74480141,5765192868,3272550357,1076311781,2578,0,420047775,38469632,4871749632,0
122619615,73894648,5237062159,3235618525,1183106493,13673,0,420148890,38273024,4982571008,23461888
122619615,73894648,5237062159,3235618525,1183106493,13673,0,420148890,38273024,4982571008,23461888
145985133,74283317,5512277173,3310384489,1182059202,6389,0,420061992,37748736,4937416704,0
145985133,74283317,5512277173,3310384489,1182059202,6389,0,420061992,37748736,4937416704,0
135338172,76708375,5237122226,3292381694,1239991450,10530,0,420108822,38010880,5170200576,14221312
135338172,76708375,5237122226,3292381694,1239991450,10530,0,420108822,38010880,5170200576,14221312
135019024,71440642,5667689356,3249414571,1089727934,9329,0,420086919,37486592,4537843712,917504
135019024,71440642,5667689356,3249414571,1089727934,9329,0,420086919,37486592,4537843712,917504
137255187,78020926,4986665466,3236091522,1274018190,3797,0,420155825,40304640,5483659264,45416448
137255187,78020926,4986665466,3236091522,1274018190,3797,0,420155825,40304640,5483659264,45416448
135206448,71546015,5872174910,3283331380,1030043222,15369,0,420102585,38797312,4504551424,2818048
135206448,71546015,5872174910,3283331380,1030043222,15369,0,420102585,38797312,4504551424,2818048
143783378,81915015,5354009454,3266569353,1229088996,2693,0,420096854,37683200,5563482112,0
143783378,81915015,5354009454,3266569353,1229088996,2693,0,420096854,37683200,5563482112,0
129335171,71396591,5060856733,3289227446,1239502216,15094,0,420110754,40697856,4716822528,39059456
129335171,71396591,5060856733,3289227446,1239502216,15094,0,420110754,40697856,4716822528,39059456
144806399,80268116,5870772338,3297698423,1081982701,2814,0,420117236,38862848,5280890880,0
144806399,80268116,5870772338,3297698423,1081982701,2814,0,420117236,38862848,5280890880,0
124610636,71853321,5127580531,3249087425,1234431077,10135,0,420071995,36110336,4722458624,1441792
124610636,71853321,5127580531,3249087425,1234431077,10135,0,420071995,36110336,4722458624,1441792
136748181,74072722,5381572320,3077553010,1028904986,2567,0,420001953,36569088,4787798016,4718592
136748181,74072722,5381572320,3077553010,1028904986,2567,0,420001953,36569088,4787798016,4718592
122958121,71895233,5391700543,3236023224,1151902780,7830,0,420132511,37093376,4777771008,8126464
122958121,71895233,5391700543,3236023224,1151902780,7830,0,420132511,37093376,4777771008,8126464
149190733,74925693,5718916656,3268774046,1105456830,2142,0,420086806,37748736,4863754240,34537472
149190733,74925693,5718916656,3268774046,1105456830,2142,0,420086806,37748736,4863754240,34537472
127340115,74857703,5279464132,3300550546,1219459666,13398,0,420117012,39256064,5131862016,0
