llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
65885673,39396756,7320011658,3322445096,768179761,8254,0,837279749,9240576,6628966400,0
65885673,39396756,7320011658,3322445096,768179761,8254,0,837279749,9240576,6628966400,0
115052703,67786643,4965740902,2950801402,1016084964,1931,0,419512891,27328512,4415094784,30081024
115052703,67786643,4965740902,2950801402,1016084964,1931,0,419512891,27328512,4415094784,30081024
122103198,66936696,5614041636,3263922336,1100074930,9904,0,420873670,34144256,3281649664,71892992
122103198,66936696,5614041636,3263922336,1100074930,9904,0,420873670,34144256,3281649664,71892992
135059146,76526899,4908134091,3312128432,1444381305,2185,0,420060354,35848192,5025628160,0
135059146,76526899,4908134091,3312128432,1444381305,2185,0,420060354,35848192,5025628160,0
126560181,68705567,5350681465,3264832618,1162938813,13360,0,420099540,33816576,3569352704,77529088
126560181,68705567,5350681465,3264832618,1162938813,13360,0,420099540,33816576,3569352704,77529088
130043076,73714384,4710558498,3055620030,1247820766,2676,0,419506234,40108032,4720623616,0
130043076,73714384,4710558498,3055620030,1247820766,2676,0,419506234,40108032,4720623616,0
123146092,68256914,5243814981,3287977468,1221885777,13583,0,419925121,41353216,3707830272,97845248
123146092,68256914,5243814981,3287977468,1221885777,13583,0,419925121,41353216,3707830272,97845248
142607817,79075755,5359418417,3278146141,1257702024,5307,0,420947597,36438016,5099814912,9633792
142607817,79075755,5359418417,3278146141,1257702024,5307,0,420947597,36438016,5099814912,9633792
120189708,66951221,4888476958,3252750565,1277145786,7801,0,419225177,35127296,3745447936,0
120189708,66951221,4888476958,3252750565,1277145786,7801,0,419225177,35127296,3745447936,0
140468516,77598071,5605123049,3269135605,1190845733,1752,0,419917771,37158912,4696965120,0
140468516,77598071,5605123049,3269135605,1190845733,1752,0,419917771,37158912,4696965120,0
115632213,66226156,4579185085,3119792791,1231472384,8229,0,420876918,41025536,3751411712,72548352
115632213,66226156,4579185085,3119792791,1231472384,8229,0,420876918,41025536,3751411712,72548352
137823843,75027226,5667866394,3197361793,1098920892,1807,0,419385043,40632320,4580769792,75038720
