llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
65330292,38741627,6827981118,3292659763,872162355,24427,0,822556717,8519680,6771113984,0
65330292,38741627,6827981118,3292659763,872162355,24427,0,822556717,8519680,6771113984,0
100081859,55236714,5081186795,3012301075,1061951560,2450,0,419309737,34996224,3824222208,65011712
100081859,55236714,5081186795,3012301075,1061951560,2450,0,419309737,34996224,3824222208,65011712
105753903,72335444,4735086549,3260709527,1390508581,11547,0,421026606,28835840,4403560448,0
105753903,72335444,4735086549,3260709527,1390508581,11547,0,421026606,28835840,4403560448,0
115588449,69745936,4564915990,3245479936,1419620758,18590,0,419831786,34209792,4701552640,0
115588449,69745936,4564915990,3245479936,1419620758,18590,0,419831786,34209792,4701552640,0
127988673,71945005,4927116564,3281636034,1395997536,2677,0,420233083,41811968,4348575744,0
127988673,71945005,4927116564,3281636034,1395997536,2677,0,420233083,41811968,4348575744,0
101609425,67152120,4258645148,3020693922,1295359970,26396,0,420338366,31916032,4277534720,16318464
101609425,67152120,4258645148,3020693922,1295359970,26396,0,420338366,31916032,4277534720,16318464
127975470,70922427,4685772492,3275185465,1434394031,2236,0,419704033,27066368,4523163648,0
127975470,70922427,4685772492,3275185465,1434394031,2236,0,419704033,27066368,4523163648,0
106076161,68786560,3943777057,3276758488,1641172755,26823,0,419765114,27852800,4827185152,0
106076161,68786560,3943777057,3276758488,1641172755,26823,0,419765114,27852800,4827185152,0
131753508,71226476,5193889359,3225291629,1245115309,2010,0,420507109,30212096,4528668672,18808832
131753508,71226476,5193889359,3225291629,1245115309,2010,0,420507109,30212096,4528668672,18808832
99999741,64913032,4013939201,3143406603,1495214583,24660,0,419881791,11206656,4139778048,33554432
99999741,64913032,4013939201,3143406603,1495214583,24660,0,419881791,11206656,4139778048,33554432
127036867,71323169,4584984974,3158850304,1388063333,2348,0,420102466,27525120,4814143488,0
127036867,71323169,4584984974,3158850304,1388063333,2348,0,420102466,27525120,4814143488,0
107282891,70303415,4614788997,3303524321,1466957771,18695,0,419406616,28311552,4294377472,16646144
107282891,70303415,4614788997,3303524321,1466957771,18695,0,419406616,28311552,4294377472,16646144
130029318,70514099,4462474530,3288059190,1500753357,8941,0,420427974,30146560,4871421952,27131904
130029318,70514099,4462474530,3288059190,1500753357,8941,0,420427974,30146560,4871421952,27131904
108198421,71772127,4757796800,3251065159,1429247452,9560,0,420413637,29884416,4429447168,0
108198421,71772127,4757796800,3251065159,1429247452,9560,0,420413637,29884416,4429447168,0
114203074,70752300,4619193885,3284100467,1455591226,21768,0,419909812,34471936,4728094720,16973824
114203074,70752300,4619193885,3284100467,1455591226,21768,0,419909812,34471936,4728094720,16973824
126078023,71343273,4704644179,3294722653,1471388433,2482,0,420281911,28835840,4480696320,0
126078023,71343273,4704644179,3294722653,1471388433,2482,0,420281911,28835840,4480696320,0
107366963,70817543,4343397674,3271042142,1539573807,25905,0,419932527,27918336,4737531904,0
107366963,70817543,4343397674,3271042142,1539573807,25905,0,419932527,27918336,4737531904,0
130810701,72971468,4845852836,3278882492,1415428252,2904,0,420069076,26607616,4603314176,4980736
130810701,72971468,4845852836,3278882492,1415428252,2904,0,420069076,26607616,4603314176,4980736
98554272,65923333,3666535742,3083051836,1535186330,22814,0,420184394,33882112,4581818368,53346304
98554272,65923333,3666535742,3083051836,1535186330,22814,0,420184394,33882112,4581818368,53346304
133915125,73531639,5276144489,3295861009,1300108255,2200,0,420197582,28442624,4632018944,0
133915125,73531639,5276144489,3295861009,1300108255,2200,0,420197582,28442624,4632018944,0
100404452,66957753,4289199810,3235402750,1513856447,26495,0,420135667,31719424,4276748288,51642368
100404452,66957753,4289199810,3235402750,1513856447,26495,0,420135667,31719424,4276748288,51642368
129624102,73005416,4632336452,3263794586,1475333640,2482,0,419852216,27000832,4950589440,0
129624102,73005416,4632336452,3263794586,1475333640,2482,0,419852216,27000832,4950589440,0
106521056,69950367,4615459079,3296497867,1468526276,20387,0,420022760,21037056,4308140032,0
106521056,69950367,4615459079,3296497867,1468526276,20387,0,420022760,21037056,4308140032,0
118162818,67813956,4327221131,3084768088,1325345344,9609,0,419995622,34078720,4655742976,9699328
118162818,67813956,4327221131,3084768088,1325345344,9609,0,419995622,34078720,4655742976,9699328
112632729,71742152,4675860317,3252241950,1436077933,6026,0,420404649,29556736,4497604608,17235968
112632729,71742152,4675860317,3252241950,1436077933,6026,0,420404649,29556736,4497604608,17235968
107146169,69028616,4588508034,3234503708,1413835882,23206,0,419498009,35717120,4600102912,786432
107146169,69028616,4588508034,3234503708,1413835882,23206,0,419498009,35717120,4600102912,786432
131069230,72203711,4684146954,3303554198,1487753493,2866,0,420652892,29097984,4553375744,1703936
131069230,72203711,4684146954,3303554198,1487753493,2866,0,420652892,29097984,4553375744,1703936
107432541,71180852,4261468148,3281136908,1581358919,27374,0,420001710,30867456,4814143488,0
107432541,71180852,4261468148,3281136908,1581358919,27374,0,420001710,30867456,4814143488,0
127403853,71923895,4944662814,3188082434,1291399693,20524,0,420114376,25952256,4442292224,0
127403853,71923895,4944662814,3188082434,1291399693,20524,0,420114376,25952256,4442292224,0
104889952,69321252,3962050665,3255585771,1606600271,28788,0,419962277,26279936,4626055168,39387136
104889952,69321252,3962050665,3255585771,1606600271,28788,0,419962277,26279936,4626055168,39387136
126844164,69263258,5015320262,3181499035,1246821671,2109,0,420156303,31391744,4545445888,0
126844164,69263258,5015320262,3181499035,1246821671,2109,0,420156303,31391744,4545445888,0
103042719,67801364,4507212739,3289544427,1506799171,25598,0,420204148,30474240,4272947200,65536
103042719,67801364,4507212739,3289544427,1506799171,25598,0,420204148,30474240,4272947200,65536
130767691,73072275,4540837235,3309110302,1531994034,2234,0,419840218,27525120,5087494144,0
130767691,73072275,4540837235,3309110302,1531994034,2234,0,419840218,27525120,5087494144,0
106917968,69564597,4672775251,3233474664,1388029434,7905,0,419918140,26804224,4176412672,0
106917968,69564597,4672775251,3233474664,1388029434,7905,0,419918140,26804224,4176412672,0
127261931,71241255,4578804295,3245871162,1421962167,6250,0,420384351,34537472,4823056384,11665408
127261931,71241255,4578804295,3245871162,1421962167,6250,0,420384351,34537472,4823056384,11665408
113240818,71298210,4763729438,3255158318,1440543072,7497,0,420110999,27721728,4480827392,5242880
113240818,71298210,4763729438,3255158318,1440543072,7497,0,420110999,27721728,4480827392,5242880
112045282,70747279,4629893347,3211986044,1410724505,21988,0,419960737,33882112,4615241728,0
112045282,70747279,4629893347,3211986044,1410724505,21988,0,419960737,33882112,4615241728,0
126980804,72793908,4741186876,3305019341,1458522290,2867,0,420291158,30146560,4536532992,0
126980804,72793908,4741186876,3305019341,1458522290,2867,0,420291158,30146560,4536532992,0
105422606,70353230,4303160513,3251319539,1527870253,28061,0,420013006,29622272,4743364608,3211264
105422606,70353230,4303160513,3251319539,1527870253,28061,0,420013006,29622272,4743364608,3211264
126222582,69143392,4638853986,3079787995,1272322552,2808,0,419899368,25821184,4445962240,589824
126222582,69143392,4638853986,3079787995,1272322552,2808,0,419899368,25821184,4445962240,589824
104706907,67925657,3991400953,3217354063,1578356732,26517,0,420321958,34340864,4528734208,42598400
104706907,67925657,3991400953,3217354063,1578356732,26517,0,420321958,34340864,4528734208,42598400
132099136,73079794,5163984628,3280523697,1318019950,1941,0,419396222,28966912,4647157760,0
132099136,73079794,5163984628,3280523697,1318019950,1941,0,419396222,28966912,4647157760,0
99296727,66656750,4379592553,3250899469,1490987342,24050,0,420365561,28770304,4273209344,34340864
99296727,66656750,4379592553,3250899469,1490987342,24050,0,420365561,28770304,4273209344,34340864
131021068,72715087,4579479918,3264251972,1471488705,2371,0,419992468,27656192,5036834816,0
131021068,72715087,4579479918,3264251972,1471488705,2371,0,419992468,27656192,5036834816,0
100662322,64999330,4494218650,3071343657,1300989299,12940,0,419973512,22937600,3898540032,15073280
100662322,64999330,4494218650,3071343657,1300989299,12940,0,419973512,22937600,3898540032,15073280
116858633,69092486,4414189152,3183180621,1410599888,14133,0,419946457,35323904,4737007616,19529728
116858633,69092486,4414189152,3183180621,1410599888,14133,0,419946457,35323904,4737007616,19529728
118203451,71688362,4756449618,3281181524,1460693986,2923,0,420231669,32440320,4470079488,0
118203451,71688362,4756449618,3281181524,1460693986,2923,0,420231669,32440320,4470079488,0
107921596,72147141,4637672094,3273521558,1459316205,26880,0,419864644,15007744,4603052032,16121856
107921596,72147141,4637672094,3273521558,1459316205,26880,0,419864644,15007744,4603052032,16121856
131645393,71774588,4541116513,3283528157,1488722263,2376,0,419407436,27000832,4605870080,0
131645393,71774588,4541116513,3283528157,1488722263,2376,0,419407436,27000832,4605870080,0
107235776,69466260,3991175545,3288444923,1626779449,27687,0,420065583,31719424,4787732480,0
107235776,69466260,3991175545,3288444923,1626779449,27687,0,420065583,31719424,4787732480,0
130847643,72605517,5135966149,3225465018,1304360619,2830,0,419912493,27000832,4565762048,0
130847643,72605517,5135966149,3225465018,1304360619,2830,0,419912493,27000832,4565762048,0
105680462,67814903,4115383937,3265976191,1604475422,25860,0,419938837,36569088,4468572160,0
105680462,67814903,4115383937,3265976191,1604475422,25860,0,419938837,36569088,4468572160,0
126096996,71560378,4812158906,3172381500,1317175302,5998,0,420564904,29163520,4590600192,4653056
126096996,71560378,4812158906,3172381500,1317175302,5998,0,420564904,29163520,4590600192,4653056
103458590,67742150,4501416223,3281005417,1494062157,22666,0,420094388,32833536,4177199104,1703936
103458590,67742150,4501416223,3281005417,1494062157,22666,0,420094388,32833536,4177199104,1703936
127919317,71056742,4391895755,3177213222,1427957495,4529,0,419234221,34996224,5023137792,43319296
127919317,71056742,4391895755,3177213222,1427957495,4529,0,419234221,34996224,5023137792,43319296
109970778,71084611,4789058208,3247205831,1392771962,13602,0,420668871,27525120,4207476736,0
109970778,71084611,4789058208,3247205831,1392771962,13602,0,420668871,27525120,4207476736,0
120378426,70480355,4560704884,3268145084,1448800580,16067,0,419418636,36044800,4842127360,10289152
120378426,70480355,4560704884,3268145084,1448800580,16067,0,419418636,36044800,4842127360,10289152
119343994,72441234,4717120005,3300208572,1485385315,2855,0,420415065,25690112,4536074240,0
119343994,72441234,4717120005,3300208572,1485385315,2855,0,420415065,25690112,4536074240,0
108024484,71068629,4664146842,3276072894,1448174304,26555,0,420632450,34668544,4622516224,39911424
108024484,71068629,4664146842,3276072894,1448174304,26555,0,420632450,34668544,4622516224,39911424
132795089,70464480,4608191508,3259663994,1445305719,2331,0,419561037,27983872,4495704064,0
132795089,70464480,4608191508,3259663994,1445305719,2331,0,419561037,27983872,4495704064,0
108013184,70089945,4200716677,3283396641,1588865271,26641,0,419988254,28639232,4748738560,0
108013184,70089945,4200716677,3283396641,1588865271,26641,0,419988254,28639232,4748738560,0
128361012,71673196,4958966264,3207810203,1310319163,9744,0,420051569,27262976,4549967872,0
128361012,71673196,4958966264,3207810203,1310319163,9744,0,420051569,27262976,4549967872,0
104784012,68888331,4024977512,3284533826,1615541115,25737,0,419948137,28246016,4551540736,39583744
104784012,68888331,4024977512,3284533826,1615541115,25737,0,419948137,28246016,4551540736,39583744
133452267,73188575,5241197462,3314190308,1343114670,1672,0,420197967,28835840,4747821056,0
133452267,73188575,5241197462,3314190308,1343114670,1672,0,420197967,28835840,4747821056,0
104331328,68221679,4350095017,3289558293,1541238458,26308,0,420145523,29622272,4337631232,29622272
104331328,68221679,4350095017,3289558293,1541238458,26308,0,420145523,29622272,4337631232,29622272
129969801,73426277,4594956866,3270777814,1457818306,2464,0,419773192,26542080,5048696832,0
129969801,73426277,4594956866,3270777814,1457818306,2464,0,419773192,26542080,5048696832,0
105932631,69829628,4685621323,3274720736,1447402337,15657,0,420014099,27656192,4258267136,1179648
105932631,69829628,4685621323,3274720736,1447402337,15657,0,420014099,27656192,4258267136,1179648
123830741,70239871,4467607897,3270296760,1480072085,11626,0,420269101,33947648,4858707968,18481152
123830741,70239871,4467607897,3270296760,1480072085,11626,0,420269101,33947648,4858707968,18481152
112738808,70409436,4646823391,3270485494,1462485414,5422,0,419998859,28442624,4427022336,17039360
112738808,70409436,4646823391,3270485494,1462485414,5422,0,419998859,28442624,4427022336,17039360
107669711,70070087,4563389935,3190513521,1399718791,16572,0,419915806,36372480,4621664256,1310720
107669711,70070087,4563389935,3190513521,1399718791,16572,0,419915806,36372480,4621664256,1310720
128137695,71542834,4610859811,3285731581,1476809146,2459,0,420135721,28114944,4465819648,0
128137695,71542834,4610859811,3285731581,1476809146,2459,0,420135721,28114944,4465819648,0
106690060,69777687,4140892973,3285147139,1603784883,27860,0,419919845,28246016,4758372352,0
106690060,69777687,4140892973,3285147139,1603784883,27860,0,419919845,28246016,4758372352,0
131496039,71968625,4999761171,3255326631,1359111322,2520,0,419820936,25296896,4625596416,0
131496039,71968625,4999761171,3255326631,1359111322,2520,0,419820936,25296896,4625596416,0
104061101,68039215,3984583473,3258368695,1645442210,22825,0,420343569,31653888,4538695680,30867456
104061101,68039215,3984583473,3258368695,1645442210,22825,0,420343569,31653888,4538695680,30867456
130585717,73211382,5033512051,3281124757,1355925491,2006,0,420113799,29163520,4713611264,0
130585717,73211382,5033512051,3281124757,1355925491,2006,0,420113799,29163520,4713611264,0
