llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
36651400,30095950,1482341942,2376756487,1578043292,164375,0,852091451,33226752,2939158528,40697856
36651400,30095950,1482341942,2376756487,1578043292,164375,0,852091451,33226752,2939158528,40697856
37212405,32121602,1516356805,2942272037,2139308971,194708,0,420100471,7405568,2071265280,0
37212405,32121602,1516356805,2942272037,2139308971,194708,0,420100471,7405568,2071265280,0
39985922,32138745,1743108835,3174410187,2272627403,3203093,1,420186914,13172736,2117861376,18874368
39985922,32138745,1743108835,3174410187,2272627403,3203093,1,420186914,13172736,2117861376,18874368
38084479,28946772,1556169704,3205770532,2399471413,4735867,0,420024733,8060928,1849360384,0
38084479,28946772,1556169704,3205770532,2399471413,4735867,0,420024733,8060928,1849360384,0
33457826,25433649,1337471711,2670626861,1977081029,4106280,0,419811866,0,1603993600,4849664
33457826,25433649,1337471711,2670626861,1977081029,4106280,0,419811866,0,1603993600,4849664
38981898,29551085,1619167678,3019518030,2187096186,4891487,0,420020741,10813440,1932918784,21954560
38981898,29551085,1619167678,3019518030,2187096186,4891487,0,420020741,10813440,1932918784,21954560
38225245,29534862,1564857836,3163404456,2352308820,4497350,1,420055909,13369344,1893007360,14090240
38225245,29534862,1564857836,3163404456,2352308820,4497350,1,420055909,13369344,1893007360,14090240
39774900,30414269,1647218486,3261701374,2404956548,4667118,0,419970988,12189696,1941241856,2621440
39774900,30414269,1647218486,3261701374,2404956548,4667118,0,419970988,12189696,1941241856,2621440
39188006,29930847,1558492046,3149329586,2338922814,4792653,0,420171329,11796480,1914437632,7602176
39188006,29930847,1558492046,3149329586,2338922814,4792653,0,420171329,11796480,1914437632,7602176
43401287,32372871,1766819559,3168336209,2253574487,5401922,0,420082565,30146560,2107703296,0
43401287,32372871,1766819559,3168336209,2253574487,5401922,0,420082565,30146560,2107703296,0
35799787,27960817,1475923392,3187381131,2422934863,4306378,0,420074655,15007744,1771372544,15532032
35799787,27960817,1475923392,3187381131,2422934863,4306378,0,420074655,15007744,1771372544,15532032
43895908,32735368,1790390589,3255334578,2326773327,5457562,1,420109312,13697024,2128281600,12845056
43895908,32735368,1790390589,3255334578,2326773327,5457562,1,420109312,13697024,2128281600,12845056
35401569,27638176,1432871887,3129912426,2378945160,3757708,1,420045682,11337728,1763835904,2424832
35401569,27638176,1432871887,3129912426,2378945160,3757708,1,420045682,11337728,1763835904,2424832
43693172,33078818,1768128499,3203945094,2286130006,5352219,0,420119728,14221312,2129723392,10551296
43693172,33078818,1768128499,3203945094,2286130006,5352219,0,420119728,14221312,2129723392,10551296
