category,vips,SP
runtime,17.08553433418274,147.71171379089355
llc_references,114986200.5625,695268430.1392758
llc_misses,70965507.0625,376860298.816156
instructions,45013901294.125,28070460500.612812
cycles,15722154538.0625,16284175617.799442
stall_cycles,1557752529.75,5482608756.511143
intra_coh,1882117.375,38257.32590529248
inter_coh,8.375,0.020891364902506964
wall_cycles,2128716534.0,2103429849.7771587
llc_size,44134400.0,204140988.96935934
local_mem,3309428736.0,19547573781.392757
remote_mem,56975360.0,63678538.16155989
