llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
23094169,11118336,9327871286,3192948137,238154310,300908,0,870998541,19464192,1032781824,8060928
23094169,11118336,9327871286,3192948137,238154310,300908,0,870998541,19464192,1032781824,8060928
22368401,12536114,9110618028,3201758560,334153713,374885,0,419879607,7733248,428474368,15794176
22368401,12536114,9110618028,3201758560,334153713,374885,0,419879607,7733248,428474368,15794176
23022067,14589972,9328498396,3182383478,260047596,331253,1,420436317,8388608,641925120,14614528
23022067,14589972,9328498396,3182383478,260047596,331253,1,420436317,8388608,641925120,14614528
21887022,14481023,8873806116,3197382246,387625283,346740,0,419844159,7536640,561774592,12189696
21887022,14481023,8873806116,3197382246,387625283,346740,0,419844159,7536640,561774592,12189696
23206628,14086597,9300051117,3186798204,244324012,327089,0,420211750,7733248,609419264,8388608
23206628,14086597,9300051117,3186798204,244324012,327089,0,420211750,7733248,609419264,8388608
22266239,14111280,8901702460,3166597515,370620954,425827,0,419660647,7864320,487915520,11730944
22266239,14111280,8901702460,3166597515,370620954,425827,0,419660647,7864320,487915520,11730944
23258819,14293854,9343976992,3184750800,243018044,310790,0,420596918,8585216,647626752,11665408
23258819,14293854,9343976992,3184750800,243018044,310790,0,420596918,8585216,647626752,11665408
21794168,14397384,8703337536,3142031810,394033851,425343,0,419584571,7471104,591986688,12582912
21794168,14397384,8703337536,3142031810,394033851,425343,0,419584571,7471104,591986688,12582912
23242395,14473822,9403893083,3209340370,255694269,422820,0,420174664,7929856,664076288,23658496
23242395,14473822,9403893083,3209340370,255694269,422820,0,420174664,7929856,664076288,23658496
22175785,14501961,8787022796,3196642039,419208827,557990,0,420020433,8388608,575209472,720896
22175785,14501961,8787022796,3196642039,419208827,557990,0,420020433,8388608,575209472,720896
23570126,14483193,9357712046,3195279375,253831532,417409,0,420755314,6946816,646774784,9961472
23570126,14483193,9357712046,3195279375,253831532,417409,0,420755314,6946816,646774784,9961472
22471564,14573980,8955528680,3184699305,378512658,393241,0,419611607,8192000,584777728,10747904
22471564,14573980,8955528680,3184699305,378512658,393241,0,419611607,8192000,584777728,10747904
23781691,14436393,9316196157,3196468208,257471870,338315,0,419717885,8585216,647561216,9895936
23781691,14436393,9316196157,3196468208,257471870,338315,0,419717885,8585216,647561216,9895936
22700865,14630861,8837048059,3138424762,376194124,356498,1,420530313,8847360,640483328,14417920
22700865,14630861,8837048059,3138424762,376194124,356498,1,420530313,8847360,640483328,14417920
24264738,14633283,9361175253,3202582158,254848372,300360,0,420410360,8192000,724434944,6094848
24264738,14633283,9361175253,3202582158,254848372,300360,0,420410360,8192000,724434944,6094848
23514941,14517591,9018254126,3195317812,371530810,372790,1,419433835,10682368,696451072,19726336
23514941,14517591,9018254126,3195317812,371530810,372790,1,419433835,10682368,696451072,19726336
23930381,14224749,9265281399,3170461922,259229831,353172,0,420576224,9895936,831979520,0
23930381,14224749,9265281399,3170461922,259229831,353172,0,420576224,9895936,831979520,0
