category,ntail-img-dnn,CG
runtime,75.10285496711731,95.59514355659485
llc_references,0.0,791468198.4901531
llc_misses,0.0,148971428.38074398
instructions,0.0,7392118061.236324
cycles,0.0,16258237514.310722
stall_cycles,0.0,11670343415.12035
intra_coh,0.0,352014.05908096285
inter_coh,0.0,0.02188183807439825
wall_cycles,2103198152.6704547,2104249720.940919
llc_size,58235810.90909091,164114620.21881837
local_mem,2443575854.5454545,11086277696.980307
remote_mem,4593105.454545455,6467557.111597374
