category,MG,ntail-img-dnn
runtime,18.789188861846924,72.32655000686646
llc_references,490085644.04761904,163159294.5266272
llc_misses,370157670.8333334,14811648.136094674
instructions,32844576669.940475,4481000378.121302
cycles,15371657332.797619,2388384362.692308
stall_cycles,3012580438.928571,504967280.59171593
intra_coh,1390706.130952381,2214763.2692307695
inter_coh,0.0,85.34023668639053
wall_cycles,2122454342.142857,2105592284.1715977
llc_size,163531824.76190475,85095005.91715977
local_mem,32409120182.85714,986607640.2366863
remote_mem,64217478.0952381,11298173.727810651
