llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
33878805.0,1927124.0,944685265.0,457240915.0,56688136.0,63677.0,6.0,796657008,18481152,20643840,720896
33878805.0,1927124.0,944685265.0,457240915.0,56688136.0,63677.0,6.0,796657008,18481152,20643840,720896
33631508.0,1950125.0,944315926.0,451146121.0,56004779.0,103365.0,3.0,419793780,18546688,1441792,0
33631508.0,1950125.0,944315926.0,451146121.0,56004779.0,103365.0,3.0,419793780,18546688,1441792,0
32776041.0,1935878.0,907167870.0,436741274.0,54168937.0,51014.0,3.0,419799660,18415616,1769472,0
32776041.0,1935878.0,907167870.0,436741274.0,54168937.0,51014.0,3.0,419799660,18415616,1769472,0
35250928.0,2048633.0,973296430.0,469205801.0,58536736.0,93158.0,15.0,420331350,18546688,196608,131072
35250928.0,2048633.0,973296430.0,469205801.0,58536736.0,93158.0,15.0,420331350,18546688,196608,131072
34886563.0,2034832.0,968484737.0,465088275.0,56998215.0,94057.0,5.0,420439152,18612224,720896,0
34886563.0,2034832.0,968484737.0,465088275.0,56998215.0,94057.0,5.0,420439152,18612224,720896,0
34064983.0,1953381.0,952511427.0,453214229.0,56092542.0,128876.0,7.0,418701563,18612224,720896,65536
34064983.0,1953381.0,952511427.0,453214229.0,56092542.0,128876.0,7.0,418701563,18612224,720896,65536
29937568.0,1726822.0,835409726.0,402040031.0,50412803.0,206679.0,7.0,420410837,18481152,327680,0
29937568.0,1726822.0,835409726.0,402040031.0,50412803.0,206679.0,7.0,420410837,18481152,327680,0
28724273.0,1668315.0,807372292.0,389425918.0,48072791.0,76159.0,7.0,419420470,18612224,2162688,65536
28724273.0,1668315.0,807372292.0,389425918.0,48072791.0,76159.0,7.0,419420470,18612224,2162688,65536
32504990.0,1903921.0,904033058.0,434305775.0,53969306.0,116260.0,7.0,419690775,18481152,655360,0
32504990.0,1903921.0,904033058.0,434305775.0,53969306.0,116260.0,7.0,419690775,18481152,655360,0
31139856.0,1806899.0,856935779.0,412893281.0,51392618.0,130294.0,11.0,419924169,18677760,262144,65536
31139856.0,1806899.0,856935779.0,412893281.0,51392618.0,130294.0,11.0,419924169,18677760,262144,65536
30014221.0,1743486.0,837234568.0,400955371.0,49994194.0,51092.0,10.0,419191304,18677760,393216,65536
30014221.0,1743486.0,837234568.0,400955371.0,49994194.0,51092.0,10.0,419191304,18677760,393216,65536
29023212.0,1743360.0,821309310.0,392345273.0,49002948.0,166278.0,9.0,420530719,18612224,262144,65536
29023212.0,1743360.0,821309310.0,392345273.0,49002948.0,166278.0,9.0,420530719,18612224,262144,65536
31652852.0,1797651.0,875075399.0,422567678.0,53334476.0,67749.0,14.0,419170542,18612224,917504,0
