llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
37041628.0,2157175.0,1040995616.0,501984570.0,64146236.0,70053.0,11.0,811858569,13303808,21692416,0
37041628.0,2157175.0,1040995616.0,501984570.0,64146236.0,70053.0,11.0,811858569,13303808,21692416,0
31118344.0,1825298.0,869794763.0,421479129.0,51993115.0,40478.0,6.0,420165400,13369344,851968,65536
31118344.0,1825298.0,869794763.0,421479129.0,51993115.0,40478.0,6.0,420165400,13369344,851968,65536
37008214.0,2145142.0,1023473370.0,496780238.0,62105214.0,69398.0,11.0,419651115,13172736,1245184,0
37008214.0,2145142.0,1023473370.0,496780238.0,62105214.0,69398.0,11.0,419651115,13172736,1245184,0
34728514.0,1984144.0,960826311.0,462926227.0,57780720.0,69329.0,8.0,419792019,13369344,1179648,65536
34728514.0,1984144.0,960826311.0,462926227.0,57780720.0,69329.0,8.0,419792019,13369344,1179648,65536
31729285.0,1847463.0,882161345.0,426090066.0,53161780.0,38602.0,3.0,419788575,13107200,720896,65536
31729285.0,1847463.0,882161345.0,426090066.0,53161780.0,38602.0,3.0,419788575,13107200,720896,65536
29292201.0,1637755.0,818944881.0,392209535.0,49260864.0,48885.0,11.0,419844048,13369344,1376256,196608
29292201.0,1637755.0,818944881.0,392209535.0,49260864.0,48885.0,11.0,419844048,13369344,1376256,196608
31365542.0,1795389.0,868729897.0,421198100.0,52358689.0,47897.0,12.0,420278993,13041664,1179648,0
31365542.0,1795389.0,868729897.0,421198100.0,52358689.0,47897.0,12.0,420278993,13041664,1179648,0
31026809.0,1826758.0,862304670.0,418147940.0,52994318.0,54022.0,9.0,419569318,13238272,1179648,65536
31026809.0,1826758.0,862304670.0,418147940.0,52994318.0,54022.0,9.0,419569318,13238272,1179648,65536
31529035.0,1827005.0,875150646.0,423706894.0,53078973.0,54277.0,11.0,419695629,13041664,1572864,0
31529035.0,1827005.0,875150646.0,423706894.0,53078973.0,54277.0,11.0,419695629,13041664,1572864,0
30946993.0,1734218.0,867473306.0,416413267.0,52181700.0,58078.0,8.0,419479884,13369344,1179648,0
30946993.0,1734218.0,867473306.0,416413267.0,52181700.0,58078.0,8.0,419479884,13369344,1179648,0
27382286.0,1652614.0,762182481.0,367242379.0,46793912.0,51255.0,18.0,420408176,13041664,851968,65536
27382286.0,1652614.0,762182481.0,367242379.0,46793912.0,51255.0,18.0,420408176,13041664,851968,65536
33439613.0,1851596.0,924914707.0,448866819.0,56141892.0,70110.0,9.0,419648201,13238272,1114112,65536
33439613.0,1851596.0,924914707.0,448866819.0,56141892.0,70110.0,9.0,419648201,13238272,1114112,65536
30682282.0,1731910.0,853904511.0,415462597.0,51894799.0,48453.0,10.0,419573112,12845056,720896,0
30682282.0,1731910.0,853904511.0,415462597.0,51894799.0,48453.0,10.0,419573112,12845056,720896,0
27925986.0,1610627.0,778140274.0,377751503.0,47217376.0,55745.0,9.0,419729590,13238272,851968,0
27925986.0,1610627.0,778140274.0,377751503.0,47217376.0,55745.0,9.0,419729590,13238272,851968,0
33750803.0,1895835.0,932258592.0,450494596.0,55938079.0,74965.0,9.0,420386267,12976128,851968,0
33750803.0,1895835.0,932258592.0,450494596.0,55938079.0,74965.0,9.0,420386267,12976128,851968,0
31277389.0,1781608.0,870786478.0,420932254.0,52601990.0,50202.0,11.0,419974709,13107200,1310720,65536
31277389.0,1781608.0,870786478.0,420932254.0,52601990.0,50202.0,11.0,419974709,13107200,1310720,65536
28650894.0,1653797.0,794646176.0,383319886.0,48165370.0,54355.0,10.0,419163549,13041664,1507328,65536
28650894.0,1653797.0,794646176.0,383319886.0,48165370.0,54355.0,10.0,419163549,13041664,1507328,65536
31905506.0,1865580.0,891011704.0,434992331.0,53886770.0,34795.0,9.0,419802740,13172736,1310720,0
31905506.0,1865580.0,891011704.0,434992331.0,53886770.0,34795.0,9.0,419802740,13172736,1310720,0
35820824.0,2082122.0,991398826.0,478062647.0,59839327.0,83894.0,7.0,420487561,13041664,1310720,0
35820824.0,2082122.0,991398826.0,478062647.0,59839327.0,83894.0,7.0,420487561,13041664,1310720,0
35204157.0,1993457.0,980134185.0,471388283.0,58378934.0,38814.0,11.0,419406405,13303808,917504,65536
35204157.0,1993457.0,980134185.0,471388283.0,58378934.0,38814.0,11.0,419406405,13303808,917504,65536
31847404.0,1815813.0,889100305.0,429248347.0,53471638.0,46684.0,12.0,420058924,13041664,1245184,65536
31847404.0,1815813.0,889100305.0,429248347.0,53471638.0,46684.0,12.0,420058924,13041664,1245184,65536
31214496.0,1919813.0,890010261.0,434002033.0,57021409.0,58263.0,5.0,420188069,13369344,7143424,0
31214496.0,1919813.0,890010261.0,434002033.0,57021409.0,58263.0,5.0,420188069,13369344,7143424,0
30838004.0,1775735.0,861412699.0,419271898.0,52451289.0,64631.0,8.0,419785051,12910592,720896,0
30838004.0,1775735.0,861412699.0,419271898.0,52451289.0,64631.0,8.0,419785051,12910592,720896,0
31942847.0,1891830.0,895172293.0,432545570.0,53385840.0,42261.0,6.0,419078067,13107200,1507328,0
31942847.0,1891830.0,895172293.0,432545570.0,53385840.0,42261.0,6.0,419078067,13107200,1507328,0
30860453.0,1775152.0,851294883.0,413683067.0,52021919.0,46963.0,6.0,420086581,12976128,720896,65536
30860453.0,1775152.0,851294883.0,413683067.0,52021919.0,46963.0,6.0,420086581,12976128,720896,65536
31818111.0,1849742.0,889125534.0,426970169.0,53889008.0,53583.0,11.0,420573603,13172736,1310720,65536
31818111.0,1849742.0,889125534.0,426970169.0,53889008.0,53583.0,11.0,420573603,13172736,1310720,65536
32319164.0,1942875.0,902047016.0,437179243.0,54656151.0,38448.0,9.0,420631251,13107200,1114112,0
32319164.0,1942875.0,902047016.0,437179243.0,54656151.0,38448.0,9.0,420631251,13107200,1114112,0
29769918.0,1667783.0,816806520.0,397170796.0,50061084.0,119854.0,12.0,420108087,12910592,851968,0
29769918.0,1667783.0,816806520.0,397170796.0,50061084.0,119854.0,12.0,420108087,12910592,851968,0
36932286.0,2150452.0,1013815231.0,488149634.0,61342584.0,50548.0,9.0,418986322,13107200,1245184,0
36932286.0,2150452.0,1013815231.0,488149634.0,61342584.0,50548.0,9.0,418986322,13107200,1245184,0
30390366.0,1751583.0,836281795.0,403755048.0,50682460.0,60493.0,8.0,419631741,13172736,1114112,65536
30390366.0,1751583.0,836281795.0,403755048.0,50682460.0,60493.0,8.0,419631741,13172736,1114112,65536
30409401.0,1726238.0,854419755.0,410626532.0,51518912.0,61058.0,8.0,420243212,12976128,1245184,65536
30409401.0,1726238.0,854419755.0,410626532.0,51518912.0,61058.0,8.0,420243212,12976128,1245184,65536
34198768.0,1930031.0,943948173.0,456287556.0,57462317.0,58161.0,8.0,419637330,13041664,1048576,0
34198768.0,1930031.0,943948173.0,456287556.0,57462317.0,58161.0,8.0,419637330,13041664,1048576,0
35329689.0,2048740.0,978402946.0,471505836.0,58121714.0,85970.0,9.0,419367557,13041664,1245184,0
35329689.0,2048740.0,978402946.0,471505836.0,58121714.0,85970.0,9.0,419367557,13041664,1245184,0
28978405.0,1680133.0,803464808.0,392732991.0,49876486.0,75218.0,11.0,419731046,13041664,1507328,0
28978405.0,1680133.0,803464808.0,392732991.0,49876486.0,75218.0,11.0,419731046,13041664,1507328,0
35973766.0,2096844.0,999804379.0,484143014.0,60554385.0,47080.0,10.0,419087333,12976128,983040,65536
35973766.0,2096844.0,999804379.0,484143014.0,60554385.0,47080.0,10.0,419087333,12976128,983040,65536
33536503.0,1962007.0,925657585.0,446367034.0,56313439.0,40809.0,15.0,419885942,12976128,851968,65536
33536503.0,1962007.0,925657585.0,446367034.0,56313439.0,40809.0,15.0,419885942,12976128,851968,65536
32029053.0,1772998.0,879853410.0,426270426.0,53776950.0,52458.0,8.0,420056854,12910592,917504,65536
32029053.0,1772998.0,879853410.0,426270426.0,53776950.0,52458.0,8.0,420056854,12910592,917504,65536
28887624.0,1682404.0,796976114.0,387668976.0,49159282.0,75261.0,10.0,419546764,13107200,1048576,0
28887624.0,1682404.0,796976114.0,387668976.0,49159282.0,75261.0,10.0,419546764,13107200,1048576,0
32203774.0,1859625.0,888602406.0,430525516.0,53238407.0,70031.0,9.0,419765924,12910592,1048576,65536
32203774.0,1859625.0,888602406.0,430525516.0,53238407.0,70031.0,9.0,419765924,12910592,1048576,65536
29959413.0,1752926.0,828652157.0,403435098.0,49936776.0,56578.0,8.0,419747639,12910592,983040,0
29959413.0,1752926.0,828652157.0,403435098.0,49936776.0,56578.0,8.0,419747639,12910592,983040,0
21650796.0,1255151.0,596970383.0,282088295.0,35215262.0,12969.0,11.0,419987176,13107200,2097152,0
21650796.0,1255151.0,596970383.0,282088295.0,35215262.0,12969.0,11.0,419987176,13107200,2097152,0
40315747.0,2386096.0,1165370998.0,539867276.0,66260843.0,40043.0,12.0,419879313,13303808,1900544,0
40315747.0,2386096.0,1165370998.0,539867276.0,66260843.0,40043.0,12.0,419879313,13303808,1900544,0
36854886.0,2101387.0,1010395614.0,462816663.0,56108601.0,12441.0,7.0,419775174,13107200,1769472,65536
36854886.0,2101387.0,1010395614.0,462816663.0,56108601.0,12441.0,7.0,419775174,13107200,1769472,65536
30762894.0,1796816.0,842142360.0,410532089.0,51434553.0,51155.0,15.0,419933955,13041664,786432,0
30762894.0,1796816.0,842142360.0,410532089.0,51434553.0,51155.0,15.0,419933955,13041664,786432,0
32374889.0,1899490.0,913745047.0,440265271.0,54926631.0,51795.0,7.0,419902126,13172736,1638400,0
32374889.0,1899490.0,913745047.0,440265271.0,54926631.0,51795.0,7.0,419902126,13172736,1638400,0
32111289.0,1828028.0,892276471.0,430231794.0,54166973.0,52434.0,10.0,419646147,13107200,524288,0
32111289.0,1828028.0,892276471.0,430231794.0,54166973.0,52434.0,10.0,419646147,13107200,524288,0
33190796.0,1915615.0,926589767.0,445329550.0,55292661.0,82211.0,14.0,419996706,13041664,1703936,131072
33190796.0,1915615.0,926589767.0,445329550.0,55292661.0,82211.0,14.0,419996706,13041664,1703936,131072
33659499.0,1944951.0,931850031.0,446946662.0,55795766.0,65014.0,9.0,419863941,13107200,983040,65536
33659499.0,1944951.0,931850031.0,446946662.0,55795766.0,65014.0,9.0,419863941,13107200,983040,65536
31197639.0,1768503.0,873867445.0,426652766.0,53545942.0,49666.0,8.0,419914901,12976128,1376256,0
31197639.0,1768503.0,873867445.0,426652766.0,53545942.0,49666.0,8.0,419914901,12976128,1376256,0
31826892.0,1831310.0,883315203.0,428979816.0,53593544.0,58009.0,9.0,419818049,12976128,720896,0
31826892.0,1831310.0,883315203.0,428979816.0,53593544.0,58009.0,9.0,419818049,12976128,720896,0
32028182.0,1873951.0,881064728.0,428989133.0,54299961.0,47786.0,9.0,419931001,12976128,1703936,131072
32028182.0,1873951.0,881064728.0,428989133.0,54299961.0,47786.0,9.0,419931001,12976128,1703936,131072
32514830.0,1851733.0,902697997.0,438775868.0,54789202.0,46261.0,8.0,419847064,12976128,1376256,0
32514830.0,1851733.0,902697997.0,438775868.0,54789202.0,46261.0,8.0,419847064,12976128,1376256,0
32915018.0,1944906.0,917025477.0,444324775.0,55472095.0,44616.0,8.0,419755595,13172736,1310720,0
32915018.0,1944906.0,917025477.0,444324775.0,55472095.0,44616.0,8.0,419755595,13172736,1310720,0
27559802.0,1540318.0,763727396.0,370532263.0,47072330.0,58400.0,9.0,419835038,13107200,1179648,131072
27559802.0,1540318.0,763727396.0,370532263.0,47072330.0,58400.0,9.0,419835038,13107200,1179648,131072
34359215.0,2018742.0,950867033.0,454827767.0,56728852.0,47909.0,12.0,419921278,13107200,1441792,0
34359215.0,2018742.0,950867033.0,454827767.0,56728852.0,47909.0,12.0,419921278,13107200,1441792,0
32299320.0,1900082.0,906351457.0,437483684.0,54246340.0,36772.0,7.0,419566084,13107200,917504,0
32299320.0,1900082.0,906351457.0,437483684.0,54246340.0,36772.0,7.0,419566084,13107200,917504,0
