category,dedup,ntail-img-dnn
runtime,9.821116924285889,76.02775263786316
llc_references,26239156.341463417,161997808.8687151
llc_misses,8734592.43902439,9345309.343575418
instructions,13409855757.195122,4478547093.96648
cycles,7450651248.902439,2228187128.044693
stall_cycles,1778861308.4146342,357367451.29888266
intra_coh,2303883.7804878047,287151.1452513967
inter_coh,0.0,68.92458100558659
wall_cycles,2146001729.878049,2104940115.0
llc_size,124286626.34146342,99491153.51955308
local_mem,1033998236.097561,2157379.217877095
remote_mem,3588495.6097560977,244387.03910614524
