category,fluidanimate,ntail-img-dnn
runtime,69.53674006462097,77.77191948890686
llc_references,67126029.54411764,161366174.56164384
llc_misses,48904691.85294118,10628251.821917808
instructions,26702988940.852943,4475656742.630137
cycles,15395644426.308823,2196846052.712329
stall_cycles,3659736213.397059,325696107.8356164
intra_coh,4484888.9117647065,295014.5616438356
inter_coh,0.044117647058823525,45.178082191780824
wall_cycles,2104665470.1911764,2104640904.4657536
llc_size,121124984.47058824,84966077.36986302
local_mem,3472021142.588235,556574804.1643835
remote_mem,25914669.176470585,7404670.2465753425
