category,ntail-img-dnn,streamcluster
runtime,73.37490797042847,86.99569249153137
llc_references,161651497.11988303,256594388.793911
llc_misses,11775188.961988304,203306218.618267
instructions,4477978724.195907,11545484027.259953
cycles,2363533097.850877,15758360141.838408
stall_cycles,497743761.59356725,10071954622.447308
intra_coh,620473.3771929825,14937792.740046838
inter_coh,34.473684210526315,0.4332552693208431
wall_cycles,2105232913.3918128,2104279975.9133492
llc_size,63481772.16374269,156576554.56674474
local_mem,2380340337.7777777,13035198651.053865
remote_mem,56452940.350877196,7667865.480093677
