llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
35602265.0,2386042.0,989890292.0,522877443.0,112049501.0,265795.0,15.0,813343692,11534336,714997760,19136512
35602265.0,2386042.0,989890292.0,522877443.0,112049501.0,265795.0,15.0,813343692,11534336,714997760,19136512
31871765.0,2357647.0,872528608.0,474697454.0,108126416.0,33185.0,12.0,419022081,13172736,474808320,9764864
31871765.0,2357647.0,872528608.0,474697454.0,108126416.0,33185.0,12.0,419022081,13172736,474808320,9764864
36491292.0,2693796.0,1013333590.0,544826549.0,121047542.0,104190.0,4.0,421079489,13238272,512491520,10158080
36491292.0,2693796.0,1013333590.0,544826549.0,121047542.0,104190.0,4.0,421079489,13238272,512491520,10158080
35239959.0,2378758.0,978258928.0,521143662.0,114345870.0,50335.0,10.0,419448631,12189696,495386624,8323072
35239959.0,2378758.0,978258928.0,521143662.0,114345870.0,50335.0,10.0,419448631,12189696,495386624,8323072
30585103.0,2113656.0,855704684.0,453941822.0,96010163.0,121124.0,8.0,419588687,11927552,416546816,17104896
30585103.0,2113656.0,855704684.0,453941822.0,96010163.0,121124.0,8.0,419588687,11927552,416546816,17104896
30909760.0,2561550.0,852548398.0,457084047.0,97756153.0,144564.0,4.0,419844929,12189696,463011840,9371648
30909760.0,2561550.0,852548398.0,457084047.0,97756153.0,144564.0,4.0,419844929,12189696,463011840,9371648
30024063.0,2379436.0,820525386.0,438668339.0,93452144.0,104932.0,12.0,419794431,12124160,459210752,8585216
30024063.0,2379436.0,820525386.0,438668339.0,93452144.0,104932.0,12.0,419794431,12124160,459210752,8585216
31082097.0,2248002.0,870545105.0,463816371.0,97872088.0,74379.0,4.0,419732502,10354688,482279424,10420224
31082097.0,2248002.0,870545105.0,463816371.0,97872088.0,74379.0,4.0,419732502,10354688,482279424,10420224
31984568.0,2372630.0,882266952.0,473371422.0,101402377.0,219353.0,4.0,419872075,11599872,496041984,10354688
31984568.0,2372630.0,882266952.0,473371422.0,101402377.0,219353.0,4.0,419872075,11599872,496041984,10354688
30875027.0,2480385.0,850809701.0,455157706.0,98407632.0,276124.0,2.0,419848562,9961472,478609408,14548992
30875027.0,2480385.0,850809701.0,455157706.0,98407632.0,276124.0,2.0,419848562,9961472,478609408,14548992
28158584.0,2218140.0,776951878.0,417337552.0,91953553.0,187918.0,8.0,419707171,11337728,455737344,12124160
28158584.0,2218140.0,776951878.0,417337552.0,91953553.0,187918.0,8.0,419707171,11337728,455737344,12124160
33047540.0,2394641.0,914671575.0,483023303.0,103229026.0,66228.0,13.0,419979355,12779520,507445248,9699328
33047540.0,2394641.0,914671575.0,483023303.0,103229026.0,66228.0,13.0,419979355,12779520,507445248,9699328
31266147.0,2369932.0,854268996.0,455360545.0,95727976.0,253893.0,7.0,419907901,12910592,467402752,13303808
31266147.0,2369932.0,854268996.0,455360545.0,95727976.0,253893.0,7.0,419907901,12910592,467402752,13303808
28267002.0,2377420.0,774708677.0,418137402.0,90560567.0,185934.0,6.0,419872663,13500416,455016448,10092544
28267002.0,2377420.0,774708677.0,418137402.0,90560567.0,185934.0,6.0,419872663,13500416,455016448,10092544
34098590.0,2372998.0,946011787.0,496723760.0,101806274.0,36766.0,9.0,419864697,12910592,476905472,13041664
34098590.0,2372998.0,946011787.0,496723760.0,101806274.0,36766.0,9.0,419864697,12910592,476905472,13041664
30835422.0,2405433.0,861666113.0,454019630.0,96749208.0,177854.0,6.0,419870402,12451840,461832192,9502720
30835422.0,2405433.0,861666113.0,454019630.0,96749208.0,177854.0,6.0,419870402,12451840,461832192,9502720
28056841.0,2264131.0,774702407.0,414967505.0,90351389.0,34223.0,4.0,419815883,15138816,453246976,9175040
28056841.0,2264131.0,774702407.0,414967505.0,90351389.0,34223.0,4.0,419815883,15138816,453246976,9175040
34296691.0,2353718.0,929566535.0,488503143.0,100596348.0,116374.0,4.0,419960212,14614528,476053504,14417920
34296691.0,2353718.0,929566535.0,488503143.0,100596348.0,116374.0,4.0,419960212,14614528,476053504,14417920
34702452.0,2460438.0,959000386.0,507327372.0,104949217.0,48447.0,10.0,419825832,12451840,488570880,10289152
34702452.0,2460438.0,959000386.0,507327372.0,104949217.0,48447.0,10.0,419825832,12451840,488570880,10289152
33492637.0,2311212.0,916227609.0,475603146.0,104812739.0,68292.0,7.0,419989290,13500416,523304960,11272192
33492637.0,2311212.0,916227609.0,475603146.0,104812739.0,68292.0,7.0,419989290,13500416,523304960,11272192
33670101.0,2573032.0,939245697.0,492173089.0,101204950.0,103836.0,8.0,419969568,13369344,485556224,13893632
33670101.0,2573032.0,939245697.0,492173089.0,101204950.0,103836.0,8.0,419969568,13369344,485556224,13893632
31991044.0,2272160.0,885412145.0,469028034.0,99277087.0,81801.0,6.0,419900432,14548992,474218496,10289152
31991044.0,2272160.0,885412145.0,469028034.0,99277087.0,81801.0,6.0,419900432,14548992,474218496,10289152
30894970.0,2179621.0,847423097.0,454461740.0,98907146.0,289293.0,5.0,419979370,13893632,468451328,5439488
30894970.0,2179621.0,847423097.0,454461740.0,98907146.0,289293.0,5.0,419979370,13893632,468451328,5439488
32649869.0,2357729.0,916106898.0,477385037.0,100493901.0,95466.0,5.0,419834703,15138816,487391232,11599872
32649869.0,2357729.0,916106898.0,477385037.0,100493901.0,95466.0,5.0,419834703,15138816,487391232,11599872
30959936.0,2177544.0,849522752.0,447257237.0,94461579.0,135852.0,6.0,419863654,11665408,457965568,9371648
30959936.0,2177544.0,849522752.0,447257237.0,94461579.0,135852.0,6.0,419863654,11665408,457965568,9371648
31336687.0,2326284.0,870765402.0,460092921.0,99566758.0,66010.0,7.0,419890324,12648448,492699648,11272192
31336687.0,2326284.0,870765402.0,460092921.0,99566758.0,66010.0,7.0,419890324,12648448,492699648,11272192
32878091.0,2482643.0,902534441.0,476329631.0,99166884.0,117871.0,5.0,419902637,11993088,473563136,14483456
32878091.0,2482643.0,902534441.0,476329631.0,99166884.0,117871.0,5.0,419902637,11993088,473563136,14483456
30753017.0,2221383.0,850429564.0,446460455.0,93452116.0,54281.0,3.0,419911240,12648448,459341824,10420224
30753017.0,2221383.0,850429564.0,446460455.0,93452116.0,54281.0,3.0,419911240,12648448,459341824,10420224
33920796.0,2585659.0,949976423.0,496766064.0,102714168.0,151159.0,7.0,419800290,6946816,476774400,8716288
33920796.0,2585659.0,949976423.0,496766064.0,102714168.0,151159.0,7.0,419800290,6946816,476774400,8716288
31244528.0,2356879.0,848340618.0,459361691.0,96918031.0,89733.0,8.0,419744999,11272192,472121344,12451840
31244528.0,2356879.0,848340618.0,459361691.0,96918031.0,89733.0,8.0,419744999,11272192,472121344,12451840
30659274.0,2282830.0,847753721.0,452574669.0,97674393.0,160907.0,5.0,420142595,15073280,477429760,13893632
30659274.0,2282830.0,847753721.0,452574669.0,97674393.0,160907.0,5.0,420142595,15073280,477429760,13893632
34218887.0,2403325.0,947463520.0,499770830.0,103590735.0,75939.0,6.0,420137270,15204352,488898560,9043968
34218887.0,2403325.0,947463520.0,499770830.0,103590735.0,75939.0,6.0,420137270,15204352,488898560,9043968
35509253.0,2567486.0,993715811.0,522739502.0,108907733.0,126075.0,7.0,419801424,13107200,505413632,11534336
35509253.0,2567486.0,993715811.0,522739502.0,108907733.0,126075.0,7.0,419801424,13107200,505413632,11534336
29680178.0,2126854.0,832967539.0,442478953.0,93615178.0,111713.0,8.0,419806183,13238272,453574656,13303808
29680178.0,2126854.0,832967539.0,442478953.0,93615178.0,111713.0,8.0,419806183,13238272,453574656,13303808
35391037.0,2334142.0,975195598.0,507848522.0,103856078.0,70038.0,3.0,419810833,11337728,486211584,13172736
35391037.0,2334142.0,975195598.0,507848522.0,103856078.0,70038.0,3.0,419810833,11337728,486211584,13172736
33790619.0,2263859.0,933946050.0,490604044.0,103480113.0,51137.0,4.0,419907983,14155776,511180800,8978432
33790619.0,2263859.0,933946050.0,490604044.0,103480113.0,51137.0,4.0,419907983,14155776,511180800,8978432
31963866.0,2175246.0,874234354.0,461985297.0,98309661.0,101651.0,7.0,419919685,13238272,474939392,9240576
31963866.0,2175246.0,874234354.0,461985297.0,98309661.0,101651.0,7.0,419919685,13238272,474939392,9240576
29533736.0,2129642.0,807389556.0,427717072.0,95254857.0,119211.0,8.0,419905919,15335424,467140608,13828096
29533736.0,2129642.0,807389556.0,427717072.0,95254857.0,119211.0,8.0,419905919,15335424,467140608,13828096
33343797.0,2444813.0,915481222.0,485478422.0,102407362.0,47248.0,6.0,419847554,14548992,491782144,9895936
33343797.0,2444813.0,915481222.0,485478422.0,102407362.0,47248.0,6.0,419847554,14548992,491782144,9895936
32242292.0,2383642.0,884626245.0,470777371.0,99362569.0,222209.0,9.0,419594932,8847360,487981056,9043968
32242292.0,2383642.0,884626245.0,470777371.0,99362569.0,222209.0,9.0,419594932,8847360,487981056,9043968
33488577.0,2414614.0,932632372.0,498438611.0,105775688.0,41968.0,4.0,420093365,11403264,489095168,11141120
33488577.0,2414614.0,932632372.0,498438611.0,105775688.0,41968.0,4.0,420093365,11403264,489095168,11141120
