category,vips,ntail-img-dnn
runtime,16.622775077819824,77.0540223121643
llc_references,122394753.13333333,169030657.85507247
llc_misses,34181551.86666667,9740205.507246377
instructions,48170043200.200005,4674122677.231884
cycles,15733362602.333334,2321164099.9565215
stall_cycles,622679527.2,360990449.4347826
intra_coh,1175957.0666666667,329653.95652173914
inter_coh,7.199999999999999,69.57971014492753
wall_cycles,2125680187.0666668,2105385530.014493
llc_size,117226427.73333333,90292461.44927537
local_mem,472269892.26666665,24888483.246376812
remote_mem,7842474.666666667,231750.49275362317
