category,bfs,ntail-img-dnn
runtime,40.141602993011475,227.89751529693604
llc_references,7659323.638888888,46531969.21146953
llc_misses,3356294.111111111,2716192.0788530465
instructions,5409263399.055556,1279470069.8342295
cycles,2392708504.5833335,659226575.4121864
stall_cycles,510755480.4722222,112278149.12186381
intra_coh,611435.0833333333,114555.13888888889
inter_coh,0.5555555555555556,110.93189964157705
wall_cycles,2107896623.1944444,2100931708.2795696
llc_size,109561628.44444445,97823343.94265233
local_mem,327825635.5555556,6049747.956989247
remote_mem,2137201.777777778,965422.7956989247
