llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
9155697.0,509507.0,258444791.0,125592268.0,15745056.0,16517.0,4.0,793906449,17563648,19529728,327680
9155697.0,509507.0,258444791.0,125592268.0,15745056.0,16517.0,4.0,793906449,17563648,19529728,327680
9346816.0,583766.0,262211442.0,129012751.0,15996733.0,33895.0,9.0,420240695,17301504,524288,393216
9346816.0,583766.0,262211442.0,129012751.0,15996733.0,33895.0,9.0,420240695,17301504,524288,393216
10282893.0,597010.0,284292045.0,136174749.0,17245901.0,29094.0,7.0,419639584,17432576,524288,327680
10282893.0,597010.0,284292045.0,136174749.0,17245901.0,29094.0,7.0,419639584,17432576,524288,327680
9752932.0,572120.0,272053896.0,130958072.0,16223636.0,118330.0,8.0,419843466,17367040,851968,196608
9752932.0,572120.0,272053896.0,130958072.0,16223636.0,118330.0,8.0,419843466,17367040,851968,196608
9916414.0,584619.0,276269630.0,133050413.0,16696893.0,10690.0,5.0,419498934,17563648,786432,65536
9916414.0,584619.0,276269630.0,133050413.0,16696893.0,10690.0,5.0,419498934,17563648,786432,65536
9805145.0,558863.0,267588110.0,131040103.0,16583258.0,79254.0,8.0,419465259,17367040,393216,327680
9805145.0,558863.0,267588110.0,131040103.0,16583258.0,79254.0,8.0,419465259,17367040,393216,327680
9947252.0,609268.0,275411240.0,134163950.0,16990572.0,4881.0,8.0,420167317,17498112,524288,327680
9947252.0,609268.0,275411240.0,134163950.0,16990572.0,4881.0,8.0,420167317,17498112,524288,327680
9339973.0,518476.0,262030275.0,127204308.0,15861856.0,10154.0,14.0,419948970,17432576,458752,65536
9339973.0,518476.0,262030275.0,127204308.0,15861856.0,10154.0,14.0,419948970,17432576,458752,65536
10873552.0,631313.0,299702920.0,147269541.0,18692551.0,7615.0,10.0,419866097,17432576,393216,65536
10873552.0,631313.0,299702920.0,147269541.0,18692551.0,7615.0,10.0,419866097,17432576,393216,65536
8153831.0,480374.0,225179709.0,109365821.0,13971912.0,32609.0,5.0,419529474,17432576,131072,196608
8153831.0,480374.0,225179709.0,109365821.0,13971912.0,32609.0,5.0,419529474,17432576,131072,196608
9633059.0,545817.0,262370278.0,128365207.0,16083539.0,4106.0,4.0,420215728,17694720,262144,327680
9633059.0,545817.0,262370278.0,128365207.0,16083539.0,4106.0,4.0,420215728,17694720,262144,327680
8741723.0,536687.0,247057138.0,119714475.0,14578836.0,3081.0,7.0,419504727,17760256,196608,65536
8741723.0,536687.0,247057138.0,119714475.0,14578836.0,3081.0,7.0,419504727,17760256,196608,65536
9755647.0,547467.0,277264716.0,133962856.0,16950270.0,185781.0,6.0,419984292,17629184,196608,327680
9755647.0,547467.0,277264716.0,133962856.0,16950270.0,185781.0,6.0,419984292,17629184,196608,327680
11148382.0,671846.0,307569312.0,149880428.0,18638975.0,12959.0,4.0,419358898,17563648,131072,262144
11148382.0,671846.0,307569312.0,149880428.0,18638975.0,12959.0,4.0,419358898,17563648,131072,262144
9253111.0,491616.0,258194625.0,125592281.0,15660730.0,7785.0,7.0,419816495,17498112,393216,131072
9253111.0,491616.0,258194625.0,125592281.0,15660730.0,7785.0,7.0,419816495,17498112,393216,131072
11149133.0,651950.0,313623413.0,151151992.0,19080899.0,24400.0,7.0,420410298,17498112,131072,65536
11149133.0,651950.0,313623413.0,151151992.0,19080899.0,24400.0,7.0,420410298,17498112,131072,65536
9403632.0,590610.0,266530627.0,128722176.0,15703521.0,11172.0,11.0,419436061,17629184,327680,131072
9403632.0,590610.0,266530627.0,128722176.0,15703521.0,11172.0,11.0,419436061,17629184,327680,131072
9017507.0,502475.0,249631783.0,120509466.0,15070151.0,4863.0,5.0,419611379,17563648,196608,196608
9017507.0,502475.0,249631783.0,120509466.0,15070151.0,4863.0,5.0,419611379,17563648,196608,196608
10672171.0,647103.0,299134629.0,143776543.0,18141045.0,7247.0,7.0,420131826,17825792,262144,327680
10672171.0,647103.0,299134629.0,143776543.0,18141045.0,7247.0,7.0,420131826,17825792,262144,327680
9931586.0,549442.0,274953129.0,133372152.0,16749991.0,36926.0,12.0,419329171,17563648,65536,131072
9931586.0,549442.0,274953129.0,133372152.0,16749991.0,36926.0,12.0,419329171,17563648,65536,131072
8926934.0,532760.0,243678760.0,120502349.0,15438841.0,41890.0,3.0,420214840,17629184,327680,196608
8926934.0,532760.0,243678760.0,120502349.0,15438841.0,41890.0,3.0,420214840,17629184,327680,196608
9671397.0,544754.0,269242932.0,130749002.0,16824684.0,10825.0,0.0,419446076,17694720,196608,196608
9671397.0,544754.0,269242932.0,130749002.0,16824684.0,10825.0,0.0,419446076,17694720,196608,196608
