llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
9674690.0,550285.0,270255244.0,132421044.0,16947201.0,9267.0,5.0,791270499,15532032,24641536,0
9674690.0,550285.0,270255244.0,132421044.0,16947201.0,9267.0,5.0,791270499,15532032,24641536,0
9144817.0,540198.0,249215113.0,124337993.0,16043469.0,26844.0,5.0,419825749,15400960,10158080,327680
9144817.0,540198.0,249215113.0,124337993.0,16043469.0,26844.0,5.0,419825749,15400960,10158080,327680
10081008.0,611310.0,286992125.0,138834989.0,17393523.0,19147.0,3.0,419814150,15728640,6422528,0
10081008.0,611310.0,286992125.0,138834989.0,17393523.0,19147.0,3.0,419814150,15728640,6422528,0
9878388.0,579094.0,270922036.0,133620294.0,17280849.0,5789.0,7.0,419452579,15597568,11206656,131072
9878388.0,579094.0,270922036.0,133620294.0,17280849.0,5789.0,7.0,419452579,15597568,11206656,131072
9702484.0,586329.0,268866147.0,131122385.0,16589346.0,7103.0,11.0,419848590,15138816,9371648,0
9702484.0,586329.0,268866147.0,131122385.0,16589346.0,7103.0,11.0,419848590,15138816,9371648,0
9617552.0,525486.0,266989079.0,130134248.0,16509411.0,9086.0,8.0,420162631,15597568,5832704,0
9617552.0,525486.0,266989079.0,130134248.0,16509411.0,9086.0,8.0,420162631,15597568,5832704,0
10425267.0,627508.0,289425038.0,141149668.0,17868904.0,11007.0,6.0,420063819,15597568,8585216,0
10425267.0,627508.0,289425038.0,141149668.0,17868904.0,11007.0,6.0,420063819,15597568,8585216,0
9292771.0,535237.0,260639459.0,125606995.0,15672229.0,9176.0,10.0,419939744,15532032,7602176,0
9292771.0,535237.0,260639459.0,125606995.0,15672229.0,9176.0,10.0,419939744,15532032,7602176,0
10309183.0,615721.0,285026660.0,140667530.0,18017046.0,8757.0,11.0,419403201,15532032,10878976,65536
10309183.0,615721.0,285026660.0,140667530.0,18017046.0,8757.0,11.0,419403201,15532032,10878976,65536
8379417.0,475745.0,234593625.0,113817441.0,14285069.0,5740.0,7.0,419645709,15204352,6291456,0
8379417.0,475745.0,234593625.0,113817441.0,14285069.0,5740.0,7.0,419645709,15204352,6291456,0
9640305.0,576048.0,272163416.0,132898088.0,17042303.0,4420.0,7.0,419664005,15597568,5046272,0
9640305.0,576048.0,272163416.0,132898088.0,17042303.0,4420.0,7.0,419664005,15597568,5046272,0
8592741.0,516041.0,237509677.0,116768347.0,14764173.0,4589.0,1.0,419501367,15466496,4718592,0
8592741.0,516041.0,237509677.0,116768347.0,14764173.0,4589.0,1.0,419501367,15466496,4718592,0
9897311.0,578840.0,268537289.0,132210999.0,16779310.0,8099.0,10.0,420148943,15663104,4915200,65536
9897311.0,578840.0,268537289.0,132210999.0,16779310.0,8099.0,10.0,420148943,15663104,4915200,65536
11293286.0,609331.0,316294798.0,153189853.0,19079463.0,14959.0,6.0,419627628,15663104,3014656,131072
11293286.0,609331.0,316294798.0,153189853.0,19079463.0,14959.0,6.0,419627628,15663104,3014656,131072
9391037.0,564892.0,261893691.0,128616938.0,16160009.0,2525.0,4.0,419172782,15532032,3211264,0
9391037.0,564892.0,261893691.0,128616938.0,16160009.0,2525.0,4.0,419172782,15532032,3211264,0
11085999.0,669076.0,308046136.0,149946076.0,18898953.0,14543.0,9.0,419973134,15597568,1703936,0
11085999.0,669076.0,308046136.0,149946076.0,18898953.0,14543.0,9.0,419973134,15597568,1703936,0
9580895.0,516661.0,268197699.0,131691284.0,16547453.0,5893.0,6.0,419938544,15663104,3801088,65536
9580895.0,516661.0,268197699.0,131691284.0,16547453.0,5893.0,6.0,419938544,15663104,3801088,65536
8350158.0,502703.0,231536464.0,112741560.0,14448779.0,9056.0,2.0,419601496,15532032,4325376,0
8350158.0,502703.0,231536464.0,112741560.0,14448779.0,9056.0,2.0,419601496,15532032,4325376,0
11200456.0,643003.0,304519461.0,150049697.0,19097733.0,23386.0,3.0,420397932,15532032,2686976,131072
11200456.0,643003.0,304519461.0,150049697.0,19097733.0,23386.0,3.0,420397932,15532032,2686976,131072
9671164.0,539847.0,269471844.0,132286128.0,16910816.0,3509.0,4.0,419600483,15663104,2490368,0
9671164.0,539847.0,269471844.0,132286128.0,16910816.0,3509.0,4.0,419600483,15663104,2490368,0
8994515.0,496392.0,247944775.0,121247608.0,15128336.0,3265.0,14.0,419349406,15663104,3997696,65536
8994515.0,496392.0,247944775.0,121247608.0,15128336.0,3265.0,14.0,419349406,15663104,3997696,65536
9683157.0,577320.0,270866228.0,132699235.0,16601721.0,5765.0,5.0,419771590,15466496,4325376,0
9683157.0,577320.0,270866228.0,132699235.0,16601721.0,5765.0,5.0,419771590,15466496,4325376,0
8774605.0,523138.0,241998709.0,118394663.0,15376960.0,2931.0,6.0,420182261,15728640,4194304,0
8774605.0,523138.0,241998709.0,118394663.0,15376960.0,2931.0,6.0,420182261,15728640,4194304,0
7834049.0,436118.0,216045876.0,105908193.0,13288400.0,4758.0,5.0,419465079,15400960,3801088,65536
7834049.0,436118.0,216045876.0,105908193.0,13288400.0,4758.0,5.0,419465079,15400960,3801088,65536
8671167.0,477103.0,243372199.0,117391293.0,14737322.0,10266.0,7.0,419914327,15597568,10027008,0
8671167.0,477103.0,243372199.0,117391293.0,14737322.0,10266.0,7.0,419914327,15597568,10027008,0
9156689.0,538572.0,251903195.0,123333873.0,15202824.0,4348.0,9.0,420288057,15597568,3932160,131072
9156689.0,538572.0,251903195.0,123333873.0,15202824.0,4348.0,9.0,420288057,15597568,3932160,131072
9415193.0,545269.0,262476051.0,128986988.0,16353564.0,13378.0,3.0,419630659,15663104,4390912,0
9415193.0,545269.0,262476051.0,128986988.0,16353564.0,13378.0,3.0,419630659,15663104,4390912,0
7620333.0,471751.0,208461840.0,102486064.0,12762225.0,8327.0,6.0,420092946,15728640,6422528,196608
7620333.0,471751.0,208461840.0,102486064.0,12762225.0,8327.0,6.0,420092946,15728640,6422528,196608
