category,ntail-masstree,SP
runtime,32.02924299240112,146.17966961860657
llc_references,8836243.669064749,695391548.2016926
llc_misses,3828888.848920863,374143982.9830748
instructions,433275502.3381295,28055397685.78984
cycles,939522077.8776978,16232725625.973202
stall_cycles,572992516.0431654,5438436560.486601
intra_coh,1810463.7410071944,48013.328631875884
inter_coh,29.568345323741006,0.0
wall_cycles,2113619618.0935252,2103058707.8913963
llc_size,12369330.647482015,206464281.6361072
local_mem,1881057648.3453238,25180446200.05642
remote_mem,54288796.546762586,102274520.28208745
