llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
42220453.0,4249791.0,2979619628.0,3202479934.0,1537125366.0,17056266.0,0.0,817169444,2555904,810090496,6094848
42220453.0,4249791.0,2979619628.0,3202479934.0,1537125366.0,17056266.0,0.0,817169444,2555904,810090496,6094848
38461193.0,3896884.0,2378388197.0,3218286458.0,1819130208.0,16513398.0,0.0,420001379,4587520,401473536,10747904
38461193.0,3896884.0,2378388197.0,3218286458.0,1819130208.0,16513398.0,0.0,420001379,4587520,401473536,10747904
35563941.0,3943908.0,2611840569.0,2899290208.0,1444446478.0,15044417.0,0.0,419767404,2162688,441057280,8257536
35563941.0,3943908.0,2611840569.0,2899290208.0,1444446478.0,15044417.0,0.0,419767404,2162688,441057280,8257536
1061434.0,799694.0,34253741.0,143978354.0,95620425.0,6060.0,6.0,419982654,3407872,433324032,12386304
1061434.0,799694.0,34253741.0,143978354.0,95620425.0,6060.0,6.0,419982654,3407872,433324032,12386304
1045130.0,761298.0,35447848.0,136343767.0,87802794.0,6047.0,10.0,419888609,3145728,431226880,9043968
1045130.0,761298.0,35447848.0,136343767.0,87802794.0,6047.0,10.0,419888609,3145728,431226880,9043968
1022975.0,780462.0,34458786.0,139465291.0,91456895.0,6045.0,4.0,419852713,3014656,434438144,9371648
1022975.0,780462.0,34458786.0,139465291.0,91456895.0,6045.0,4.0,419852713,3014656,434438144,9371648
1061473.0,794737.0,35855053.0,139238397.0,91489419.0,5952.0,10.0,419878998,2031616,420806656,8323072
1061473.0,794737.0,35855053.0,139238397.0,91489419.0,5952.0,10.0,419878998,2031616,420806656,8323072
1062598.0,782645.0,34291526.0,143007741.0,94067417.0,6284.0,3.0,419852349,3670016,441253888,7667712
1062598.0,782645.0,34291526.0,143007741.0,94067417.0,6284.0,3.0,419852349,3670016,441253888,7667712
1074688.0,806550.0,34874332.0,147191659.0,100315792.0,5855.0,3.0,419849873,2621440,424476672,9043968
1074688.0,806550.0,34874332.0,147191659.0,100315792.0,5855.0,3.0,419849873,2621440,424476672,9043968
1075671.0,780269.0,35834660.0,137953786.0,88154775.0,6210.0,10.0,419881243,3997696,412811264,10223616
1075671.0,780269.0,35834660.0,137953786.0,88154775.0,6210.0,10.0,419881243,3997696,412811264,10223616
1071475.0,811051.0,34458746.0,147311417.0,100419719.0,5789.0,4.0,419845426,2424832,431095808,7471104
1071475.0,811051.0,34458746.0,147311417.0,100419719.0,5789.0,4.0,419845426,2424832,431095808,7471104
1082144.0,802517.0,37195603.0,137688194.0,86745274.0,6118.0,3.0,419998460,2162688,465764352,12517376
1082144.0,802517.0,37195603.0,137688194.0,86745274.0,6118.0,3.0,419998460,2162688,465764352,12517376
1077241.0,819690.0,34106511.0,150930905.0,102811752.0,6274.0,3.0,419828010,3866624,467992576,6094848
1077241.0,819690.0,34106511.0,150930905.0,102811752.0,6274.0,3.0,419828010,3866624,467992576,6094848
1058997.0,777930.0,35637493.0,142698140.0,93355544.0,6224.0,9.0,419815767,1835008,467402752,8978432
1058997.0,777930.0,35637493.0,142698140.0,93355544.0,6224.0,9.0,419815767,1835008,467402752,8978432
1070633.0,854131.0,36006777.0,145980603.0,95042093.0,6254.0,5.0,419824802,2228224,417202176,7340032
1070633.0,854131.0,36006777.0,145980603.0,95042093.0,6254.0,5.0,419824802,2228224,417202176,7340032
1091090.0,807327.0,36056765.0,142575890.0,93367381.0,6533.0,4.0,419876942,2621440,424017920,9764864
