category,ntail-masstree,UA
runtime,32.02704572677612,165.22662925720215
llc_references,8016531.798561151,270454862.5310945
llc_misses,3126036.8705035974,188577543.50124377
instructions,392475533.12949646,23789566308.662933
cycles,807587418.2733812,15906688973.644278
stall_cycles,468505614.92805755,5398555692.972636
intra_coh,1288275.3956834532,358926.5111940299
inter_coh,32.41007194244604,0.08706467661691543
wall_cycles,2114772257.0503597,2102859185.9763682
llc_size,36360692.94964029,201908346.2686567
local_mem,1578719806.618705,14691259733.333332
remote_mem,13161420.431654677,85217178.10945274
