category,ntail-masstree,bodytrack
runtime,32.18652081489563,29.309675693511963
llc_references,7322117.686567165,48351260.4676259
llc_misses,1564634.2164179103,2060778.8848920863
instructions,361121989.6641791,26471231420.395683
cycles,673294171.1194029,11531543774.64029
stall_cycles,358250625.0373134,1080667259.2086332
intra_coh,784580.4477611941,7453627.841726618
inter_coh,47.53731343283582,0.2517985611510791
wall_cycles,2114939481.9402983,2114286949.4964027
llc_size,113191431.64179105,87301967.1942446
local_mem,158995715.82089552,116672939.28057553
remote_mem,978149.2537313433,1089123.4532374102
