llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
46242434.0,2514998.0,3837375345.0,3217500028.0,1236404671.0,13662360.0,0.0,835898523,37289984,763691008,2883584
46242434.0,2514998.0,3837375345.0,3217500028.0,1236404671.0,13662360.0,0.0,835898523,37289984,763691008,2883584
21376132.0,1521118.0,1796356758.0,1624626599.0,657231831.0,6654182.0,3.0,420010735,27328512,248643584,0
21376132.0,1521118.0,1796356758.0,1624626599.0,657231831.0,6654182.0,3.0,420010735,27328512,248643584,0
1471893.0,403227.0,46991336.0,146706160.0,83869339.0,4370.0,4.0,420036431,23199744,35848192,327680
1471893.0,403227.0,46991336.0,146706160.0,83869339.0,4370.0,4.0,420036431,23199744,35848192,327680
1446480.0,411065.0,46194700.0,146373735.0,83276271.0,4503.0,16.0,419592355,22216704,31129600,0
1446480.0,411065.0,46194700.0,146373735.0,83276271.0,4503.0,16.0,419592355,22216704,31129600,0
1474160.0,423739.0,46585308.0,146975580.0,84164986.0,4520.0,8.0,419691293,25296896,27394048,196608
1474160.0,423739.0,46585308.0,146975580.0,84164986.0,4520.0,8.0,419691293,25296896,27394048,196608
1485112.0,406369.0,46648565.0,148113056.0,86222491.0,4862.0,15.0,419922573,24379392,34340864,131072
1485112.0,406369.0,46648565.0,148113056.0,86222491.0,4862.0,15.0,419922573,24379392,34340864,131072
1484966.0,416780.0,45922777.0,148828856.0,86819684.0,4774.0,5.0,419801888,23461888,34996224,720896
1484966.0,416780.0,45922777.0,148828856.0,86819684.0,4774.0,5.0,419801888,23461888,34996224,720896
1403950.0,431911.0,47564606.0,150845062.0,87268918.0,4936.0,7.0,419916740,21430272,35127296,0
1403950.0,431911.0,47564606.0,150845062.0,87268918.0,4936.0,7.0,419916740,21430272,35127296,0
1419524.0,416404.0,45859199.0,150977699.0,88357026.0,5059.0,18.0,419938337,20185088,36569088,0
1419524.0,416404.0,45859199.0,150977699.0,88357026.0,5059.0,18.0,419938337,20185088,36569088,0
1406412.0,427491.0,46836044.0,150964001.0,87636146.0,4754.0,7.0,419911660,20316160,35192832,655360
1406412.0,427491.0,46836044.0,150964001.0,87636146.0,4754.0,7.0,419911660,20316160,35192832,655360
1406240.0,419005.0,45347379.0,149014040.0,87226873.0,4645.0,13.0,419874252,24444928,35061760,262144
1406240.0,419005.0,45347379.0,149014040.0,87226873.0,4645.0,13.0,419874252,24444928,35061760,262144
1389085.0,429878.0,46150460.0,151267316.0,87926509.0,4483.0,6.0,419849066,26345472,33751040,131072
1389085.0,429878.0,46150460.0,151267316.0,87926509.0,4483.0,6.0,419849066,26345472,33751040,131072
1398917.0,419270.0,46491528.0,150209216.0,88237143.0,4885.0,9.0,419934170,22609920,35913728,131072
1398917.0,419270.0,46491528.0,150209216.0,88237143.0,4885.0,9.0,419934170,22609920,35913728,131072
1393792.0,423754.0,45517083.0,150957345.0,88480360.0,4866.0,22.0,419951958,23396352,35127296,65536
1393792.0,423754.0,45517083.0,150957345.0,88480360.0,4866.0,22.0,419951958,23396352,35127296,65536
1395718.0,427835.0,45087169.0,151342102.0,88850885.0,4639.0,7.0,419738382,22478848,34144256,196608
1395718.0,427835.0,45087169.0,151342102.0,88850885.0,4639.0,7.0,419738382,22478848,34144256,196608
1234172.0,372111.0,40043719.0,130465314.0,75981075.0,5813.0,11.0,419891342,19529728,30277632,262144
1234172.0,372111.0,40043719.0,130465314.0,75981075.0,5813.0,11.0,419891342,19529728,30277632,262144
