category,ntail-masstree,ferret
runtime,32.110745906829834,63.83169627189636
llc_references,6987124.748201439,124464443.11881188
llc_misses,2316075.323741007,48092345.51155116
instructions,338420830.1438849,24398706661.221123
cycles,674214587.9496403,16479905562.854786
stall_cycles,372480505.50359714,4704135923.481848
intra_coh,843031.3669064748,120335.39603960396
inter_coh,39.42446043165467,0.08250825082508251
wall_cycles,2114578938.4532375,2110078378.7623763
llc_size,62959350.79136691,177823176.23762375
local_mem,321022673.95683455,846280643.1683168
remote_mem,4554516.258992806,6013955.379537954
