category,ntail-masstree,streamcluster
runtime,32.07135009765625,86.450040102005
llc_references,7968842.661870504,259253761.89156625
llc_misses,3327126.978417266,198835938.90361446
instructions,385417295.0,11700664853.53012
cycles,787057898.5251799,15793412271.915663
stall_cycles,452483178.7410072,10029088751.060242
intra_coh,1384576.0791366906,15138350.891566265
inter_coh,32.84172661870504,0.4216867469879518
wall_cycles,2114817863.741007,2104950848.9879518
llc_size,17329321.43884892,202814180.24096385
local_mem,1725308279.7122302,12963191351.518074
remote_mem,12128874.820143886,14132088.289156627
