llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
46444389.0,2323247.0,3898381594.0,3216379834.0,1197443644.0,13380196.0,0.0,851407922,39387136,560529408,4587520
46444389.0,2323247.0,3898381594.0,3216379834.0,1197443644.0,13380196.0,0.0,851407922,39387136,560529408,4587520
12707222.0,821294.0,879365990.0,855482676.0,357297070.0,3423394.0,5.0,419951548,38338560,109969408,0
12707222.0,821294.0,879365990.0,855482676.0,357297070.0,3423394.0,5.0,419951548,38338560,109969408,0
1489924.0,347996.0,48133468.0,147574341.0,82841964.0,6988.0,12.0,419144551,35979264,29556736,524288
1489924.0,347996.0,48133468.0,147574341.0,82841964.0,6988.0,12.0,419144551,35979264,29556736,524288
1483585.0,312078.0,47534581.0,145971237.0,81982858.0,8001.0,3.0,420128014,35913728,22675456,0
1483585.0,312078.0,47534581.0,145971237.0,81982858.0,8001.0,3.0,420128014,35913728,22675456,0
1468448.0,308842.0,46981670.0,145746606.0,82132444.0,8571.0,7.0,420048230,36110336,22020096,262144
1468448.0,308842.0,46981670.0,145746606.0,82132444.0,8571.0,7.0,420048230,36110336,22020096,262144
1525992.0,312096.0,47273558.0,145714948.0,82479376.0,8698.0,12.0,419449905,36700160,20119552,0
1525992.0,312096.0,47273558.0,145714948.0,82479376.0,8698.0,12.0,419449905,36700160,20119552,0
1518068.0,316026.0,46674349.0,146690961.0,82449895.0,7963.0,7.0,419907166,36241408,21692416,393216
1518068.0,316026.0,46674349.0,146690961.0,82449895.0,7963.0,7.0,419907166,36241408,21692416,393216
1457773.0,306934.0,44704099.0,141746116.0,79919243.0,7573.0,6.0,419852293,36569088,27459584,0
1457773.0,306934.0,44704099.0,141746116.0,79919243.0,7573.0,6.0,419852293,36569088,27459584,0
1412010.0,323528.0,48315967.0,147616278.0,83159454.0,7866.0,6.0,419794067,36175872,19660800,0
1412010.0,323528.0,48315967.0,147616278.0,83159454.0,7866.0,6.0,419794067,36175872,19660800,0
1431635.0,326686.0,47426920.0,147627787.0,83782174.0,7785.0,6.0,419875414,36503552,18481152,196608
1431635.0,326686.0,47426920.0,147627787.0,83782174.0,7785.0,6.0,419875414,36503552,18481152,196608
960681.0,192118.0,30492010.0,96579884.0,55090568.0,5005.0,11.0,419808375,36503552,14548992,1638400
960681.0,192118.0,30492010.0,96579884.0,55090568.0,5005.0,11.0,419808375,36503552,14548992,1638400
981036.0,197161.0,31164714.0,96282400.0,54364084.0,7001.0,9.0,419844439,37421056,15335424,0
981036.0,197161.0,31164714.0,96282400.0,54364084.0,7001.0,9.0,419844439,37421056,15335424,0
851246.0,168647.0,26377518.0,82261270.0,46738801.0,5499.0,11.0,419864284,37224448,11862016,393216
851246.0,168647.0,26377518.0,82261270.0,46738801.0,5499.0,11.0,419864284,37224448,11862016,393216
928138.0,194107.0,29615275.0,91264428.0,51518193.0,6351.0,9.0,419964307,37355520,12713984,0
928138.0,194107.0,29615275.0,91264428.0,51518193.0,6351.0,9.0,419964307,37355520,12713984,0
835167.0,170482.0,26761442.0,82896228.0,46958835.0,5852.0,9.0,419773865,37421056,12058624,65536
835167.0,170482.0,26761442.0,82896228.0,46958835.0,5852.0,9.0,419773865,37421056,12058624,65536
805822.0,161525.0,25327060.0,79477759.0,45233088.0,5075.0,11.0,419819344,37617664,10747904,0
805822.0,161525.0,25327060.0,79477759.0,45233088.0,5075.0,11.0,419819344,37617664,10747904,0
948369.0,194899.0,29953773.0,93295134.0,52784355.0,6259.0,9.0,419817297,37814272,11993088,0
948369.0,194899.0,29953773.0,93295134.0,52784355.0,6259.0,9.0,419817297,37814272,11993088,0
725590.0,148181.0,22445486.0,70259442.0,39515394.0,4281.0,7.0,419884734,37617664,9764864,65536
725590.0,148181.0,22445486.0,70259442.0,39515394.0,4281.0,7.0,419884734,37617664,9764864,65536
893552.0,184961.0,28911141.0,89383870.0,50509183.0,5662.0,7.0,419829783,37617664,12582912,65536
893552.0,184961.0,28911141.0,89383870.0,50509183.0,5662.0,7.0,419829783,37617664,12582912,65536
