llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1493740.0,102837.0,7532316064.0,3298961109.0,373564180.0,351469.0,0.0,829506513,196608,917504,655360
1493740.0,102837.0,7532316064.0,3298961109.0,373564180.0,351469.0,0.0,829506513,196608,917504,655360
1505191.0,95164.0,7536031807.0,3302732846.0,374882184.0,338456.0,0.0,420100135,262144,262144,65536
1505191.0,95164.0,7536031807.0,3302732846.0,374882184.0,338456.0,0.0,420100135,262144,262144,65536
1479053.0,93897.0,7570151716.0,3317076261.0,376769596.0,316916.0,0.0,419999313,262144,262144,0
1479053.0,93897.0,7570151716.0,3317076261.0,376769596.0,316916.0,0.0,419999313,262144,262144,0
1560808.0,93459.0,7531000826.0,3296836307.0,373814489.0,357720.0,0.0,420103440,458752,196608,65536
1560808.0,93459.0,7531000826.0,3296836307.0,373814489.0,357720.0,0.0,420103440,458752,196608,65536
1595730.0,94229.0,7567125303.0,3313705925.0,376775048.0,399859.0,0.0,420096908,327680,131072,0
1595730.0,94229.0,7567125303.0,3313705925.0,376775048.0,399859.0,0.0,420096908,327680,131072,0
1515764.0,95135.0,7580100959.0,3309923813.0,374245389.0,356958.0,0.0,420236740,327680,131072,0
1515764.0,95135.0,7580100959.0,3309923813.0,374245389.0,356958.0,0.0,420236740,327680,131072,0
1497342.0,88759.0,7572528697.0,3313467841.0,375794882.0,367655.0,0.0,419994746,327680,65536,65536
1497342.0,88759.0,7572528697.0,3313467841.0,375794882.0,367655.0,0.0,419994746,327680,65536,65536
1534659.0,92744.0,7552510741.0,3303378244.0,374665400.0,351427.0,0.0,419847684,262144,65536,0
1534659.0,92744.0,7552510741.0,3303378244.0,374665400.0,351427.0,0.0,419847684,262144,65536,0
1444606.0,92486.0,7571022234.0,3311396039.0,375004585.0,295779.0,0.0,420478522,327680,65536,65536
1444606.0,92486.0,7571022234.0,3311396039.0,375004585.0,295779.0,0.0,420478522,327680,65536,65536
1106550.0,60628.0,7567324623.0,3306006275.0,371430271.0,251096.0,0.0,420090627,458752,131072,0
