category,vips,ntail-masstree
runtime,16.465172052383423,32.06063437461853
llc_references,121021342.97297297,7111976.594202898
llc_misses,35295651.75675676,1628727.3550724636
instructions,48615385211.89189,340097781.7753624
cycles,15908230884.729729,664102204.057971
stall_cycles,646364818.9189188,361518047.78985506
intra_coh,1296461.6216216215,763748.5507246377
inter_coh,0.0,60.14492753623188
wall_cycles,2128054132.0945945,2115000097.1376812
llc_size,115538196.75675675,133171051.59420289
local_mem,481397344.8648649,260823782.0289855
remote_mem,3670901.621621622,1441317.1014492754
