llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
45875505.0,2923144.0,3671087562.0,3212046511.0,1283236647.0,14322030.0,0.0,848991508,27918336,716570624,4980736
45875505.0,2923144.0,3671087562.0,3212046511.0,1283236647.0,14322030.0,0.0,848991508,27918336,716570624,4980736
20658478.0,1570364.0,1664312662.0,1474961810.0,597326229.0,5852126.0,5.0,419485815,21495808,354418688,0
20658478.0,1570364.0,1664312662.0,1474961810.0,597326229.0,5852126.0,5.0,419485815,21495808,354418688,0
1419770.0,544655.0,45158184.0,145287667.0,85002698.0,5024.0,10.0,419769084,15204352,124452864,393216
1419770.0,544655.0,45158184.0,145287667.0,85002698.0,5024.0,10.0,419769084,15204352,124452864,393216
1362660.0,536994.0,43886247.0,144615830.0,85263054.0,7604.0,10.0,419898199,21954560,109838336,393216
1362660.0,536994.0,43886247.0,144615830.0,85263054.0,7604.0,10.0,419898199,21954560,109838336,393216
1388706.0,533595.0,43250108.0,143135638.0,83922733.0,8818.0,3.0,419859946,23396352,122028032,0
1388706.0,533595.0,43250108.0,143135638.0,83922733.0,8818.0,3.0,419859946,23396352,122028032,0
1375407.0,521585.0,43866338.0,144360722.0,84715398.0,6902.0,13.0,419841141,24248320,142475264,983040
1375407.0,521585.0,43866338.0,144360722.0,84715398.0,6902.0,13.0,419841141,24248320,142475264,983040
1389438.0,509330.0,41356551.0,140290154.0,82104541.0,7368.0,10.0,419896539,24641536,137428992,0
1389438.0,509330.0,41356551.0,140290154.0,82104541.0,7368.0,10.0,419896539,24641536,137428992,0
1313023.0,522968.0,44163785.0,144476228.0,84602465.0,8209.0,10.0,419951014,21626880,133169152,917504
1313023.0,522968.0,44163785.0,144476228.0,84602465.0,8209.0,10.0,419951014,21626880,133169152,917504
1322435.0,537654.0,44232654.0,145621310.0,85885737.0,7182.0,9.0,419879166,21299200,160366592,0
1322435.0,537654.0,44232654.0,145621310.0,85885737.0,7182.0,9.0,419879166,21299200,160366592,0
1296910.0,543751.0,43831303.0,146354654.0,86061628.0,7366.0,10.0,419922720,15925248,183828480,1966080
1296910.0,543751.0,43831303.0,146354654.0,86061628.0,7366.0,10.0,419922720,15925248,183828480,1966080
1339216.0,555463.0,44112229.0,146720184.0,86520203.0,6989.0,11.0,419849318,21561344,171769856,0
1339216.0,555463.0,44112229.0,146720184.0,86520203.0,6989.0,11.0,419849318,21561344,171769856,0
1190473.0,480018.0,38393762.0,129886919.0,77280698.0,7622.0,17.0,419893145,19267584,179568640,655360
1190473.0,480018.0,38393762.0,129886919.0,77280698.0,7622.0,17.0,419893145,19267584,179568640,655360
842006.0,372916.0,27923403.0,92749345.0,55025836.0,6974.0,10.0,420015214,19070976,147456000,1048576
842006.0,372916.0,27923403.0,92749345.0,55025836.0,6974.0,10.0,420015214,19070976,147456000,1048576
864016.0,358861.0,27443511.0,93077225.0,55755767.0,6234.0,6.0,419730825,21364736,204144640,0
864016.0,358861.0,27443511.0,93077225.0,55755767.0,6234.0,6.0,419730825,21364736,204144640,0
881267.0,362553.0,27647807.0,94527477.0,56628234.0,6770.0,8.0,419851881,20185088,129564672,0
881267.0,362553.0,27647807.0,94527477.0,56628234.0,6770.0,8.0,419851881,20185088,129564672,0
862394.0,356175.0,27337050.0,91897436.0,54457937.0,6775.0,8.0,419866664,19333120,102891520,2228224
862394.0,356175.0,27337050.0,91897436.0,54457937.0,6775.0,8.0,419866664,19333120,102891520,2228224
855461.0,351949.0,27319585.0,91556063.0,54091122.0,5367.0,12.0,419831580,15007744,128385024,2621440
855461.0,351949.0,27319585.0,91556063.0,54091122.0,5367.0,12.0,419831580,15007744,128385024,2621440
840425.0,356486.0,26820572.0,89714762.0,53805887.0,6022.0,10.0,419820475,22609920,81068032,0
840425.0,356486.0,26820572.0,89714762.0,53805887.0,6022.0,10.0,419820475,22609920,81068032,0
792135.0,343166.0,26007853.0,86919557.0,51704951.0,6438.0,8.0,419897453,22544384,73859072,0
792135.0,343166.0,26007853.0,86919557.0,51704951.0,6438.0,8.0,419897453,22544384,73859072,0
891157.0,370990.0,27891195.0,94902591.0,56461253.0,6186.0,6.0,419874938,20774912,49479680,196608
891157.0,370990.0,27891195.0,94902591.0,56461253.0,6186.0,6.0,419874938,20774912,49479680,196608
950012.0,386757.0,30001138.0,100535653.0,60288824.0,7064.0,7.0,419902154,20119552,39518208,0
950012.0,386757.0,30001138.0,100535653.0,60288824.0,7064.0,7.0,419902154,20119552,39518208,0
992955.0,390350.0,30313531.0,103941670.0,62068728.0,6837.0,9.0,419725617,19333120,37486592,65536
992955.0,390350.0,30313531.0,103941670.0,62068728.0,6837.0,9.0,419725617,19333120,37486592,65536
776645.0,324792.0,24734905.0,83861969.0,50084978.0,5225.0,9.0,420066672,12517376,39714816,655360
776645.0,324792.0,24734905.0,83861969.0,50084978.0,5225.0,9.0,420066672,12517376,39714816,655360
753405.0,326052.0,23618170.0,80309104.0,48106594.0,5802.0,5.0,419830434,11665408,51970048,0
753405.0,326052.0,23618170.0,80309104.0,48106594.0,5802.0,5.0,419830434,11665408,51970048,0
910098.0,367488.0,28249749.0,95277488.0,56640461.0,6591.0,8.0,419812283,15990784,59703296,2162688
910098.0,367488.0,28249749.0,95277488.0,56640461.0,6591.0,8.0,419812283,15990784,59703296,2162688
879440.0,351809.0,28144691.0,93446317.0,55074709.0,5908.0,9.0,419819368,17694720,58654720,0
879440.0,351809.0,28144691.0,93446317.0,55074709.0,5908.0,9.0,419819368,17694720,58654720,0
1000451.0,374390.0,31602242.0,105325414.0,62842612.0,7225.0,4.0,419768901,17039360,54329344,65536
1000451.0,374390.0,31602242.0,105325414.0,62842612.0,7225.0,4.0,419768901,17039360,54329344,65536
763469.0,324938.0,24794541.0,79994874.0,47070549.0,6638.0,4.0,419881602,16580608,43712512,65536
763469.0,324938.0,24794541.0,79994874.0,47070549.0,6638.0,4.0,419881602,16580608,43712512,65536
879663.0,330241.0,27145434.0,91849378.0,54235690.0,5569.0,5.0,419890444,14876672,38797312,458752
879663.0,330241.0,27145434.0,91849378.0,54235690.0,5569.0,5.0,419890444,14876672,38797312,458752
809061.0,330073.0,25566892.0,84515339.0,50157607.0,6155.0,4.0,419833379,11141120,38731776,0
809061.0,330073.0,25566892.0,84515339.0,50157607.0,6155.0,4.0,419833379,11141120,38731776,0
950772.0,386108.0,30024255.0,98661299.0,58267163.0,6669.0,8.0,419905283,10813440,42270720,983040
950772.0,386108.0,30024255.0,98661299.0,58267163.0,6669.0,8.0,419905283,10813440,42270720,983040
979956.0,407384.0,31355209.0,102517807.0,60665277.0,6282.0,15.0,419920543,15859712,41484288,0
979956.0,407384.0,31355209.0,102517807.0,60665277.0,6282.0,15.0,419920543,15859712,41484288,0
1015158.0,416576.0,31775046.0,107537098.0,64057664.0,7489.0,8.0,419915251,11730944,37158912,65536
