category,ntail-moses,CG
runtime,75.74657082557678,95.62482070922852
llc_references,26528820.39106145,790648595.9846828
llc_misses,20038342.374301676,149297024.97811818
instructions,1065899011.3128493,7464698916.400437
cycles,829173072.7932961,16264103703.358862
stall_cycles,372654455.06983244,11659177838.09628
intra_coh,556946.0195530726,358816.7177242888
inter_coh,19.94413407821229,0.02188183807439825
wall_cycles,2104981901.2709498,2104472236.061269
llc_size,17110753.96648045,194688526.5645514
local_mem,1486837016.3128493,11424153062.231949
remote_mem,38195772.0670391,11818707.746170677
