category,MG,ntail-moses
runtime,18.8295316696167,75.88259267807007
llc_references,490473220.0,26904897.541899443
llc_misses,369861183.7162162,16985887.402234636
instructions,33099569997.22973,1092089549.4413407
cycles,15275868557.094595,931094200.0698323
stall_cycles,2829593733.8513513,457709019.6368715
intra_coh,388673.31081081077,623761.187150838
inter_coh,0.06756756756756757,54.8463687150838
wall_cycles,2125646230.608108,2104877028.6173186
llc_size,190541491.8918919,168066888.9385475
local_mem,34763469353.51351,1287868438.8826816
remote_mem,71172981.62162162,22857968.268156424
