llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
11907312.0,8301470.0,3056841934.0,3185068801.0,1668945795.0,145384.0,0.0,826776339,5505024,1447886848,30015488
11907312.0,8301470.0,3056841934.0,3185068801.0,1668945795.0,145384.0,0.0,826776339,5505024,1447886848,30015488
17884618.0,12241934.0,3025895100.0,2834497307.0,1417413857.0,2556630.0,1.0,420013384,5570560,1279787008,42401792
17884618.0,12241934.0,3025895100.0,2834497307.0,1417413857.0,2556630.0,1.0,420013384,5570560,1279787008,42401792
21122897.0,8461734.0,1882185122.0,2122344342.0,1196672614.0,7303694.0,0.0,419412532,1572864,873267200,48365568
21122897.0,8461734.0,1882185122.0,2122344342.0,1196672614.0,7303694.0,0.0,419412532,1572864,873267200,48365568
15138984.0,2304931.0,1092915719.0,1437916978.0,845909577.0,8260494.0,1.0,420924833,2162688,226623488,53149696
15138984.0,2304931.0,1092915719.0,1437916978.0,845909577.0,8260494.0,1.0,420924833,2162688,226623488,53149696
28551763.0,13234947.0,1535974807.0,1890829515.0,1141168596.0,7524079.0,6.0,419745886,10813440,1261174784,75825152
28551763.0,13234947.0,1535974807.0,1890829515.0,1141168596.0,7524079.0,6.0,419745886,10813440,1261174784,75825152
40534627.0,23400195.0,1882585521.0,1889445401.0,1058920177.0,4379532.0,10.0,419809757,4063232,1800798208,29163520
40534627.0,23400195.0,1882585521.0,1889445401.0,1058920177.0,4379532.0,10.0,419809757,4063232,1800798208,29163520
9355521.0,5977631.0,831182835.0,788911903.0,405252691.0,1556587.0,4.0,420099992,7798784,677642240,22216704
9355521.0,5977631.0,831182835.0,788911903.0,405252691.0,1556587.0,4.0,420099992,7798784,677642240,22216704
8294804.0,6016912.0,657469354.0,486079184.0,190074152.0,32067.0,12.0,419026426,5636096,599261184,5701632
8294804.0,6016912.0,657469354.0,486079184.0,190074152.0,32067.0,12.0,419026426,5636096,599261184,5701632
6571113.0,4867613.0,591918531.0,464996493.0,188510731.0,31690.0,3.0,419789146,3211264,517079040,7340032
6571113.0,4867613.0,591918531.0,464996493.0,188510731.0,31690.0,3.0,419789146,3211264,517079040,7340032
7511909.0,4753595.0,680681285.0,496892087.0,193132947.0,218452.0,3.0,419844383,2883584,562233344,17104896
7511909.0,4753595.0,680681285.0,496892087.0,193132947.0,218452.0,3.0,419844383,2883584,562233344,17104896
6127075.0,5520088.0,590222602.0,485028420.0,216444349.0,55079.0,4.0,419665503,2818048,553451520,15466496
6127075.0,5520088.0,590222602.0,485028420.0,216444349.0,55079.0,4.0,419665503,2818048,553451520,15466496
4679936.0,3263903.0,207539935.0,175041842.0,87660387.0,4585.0,3.0,419793390,524288,327483392,11403264
4679936.0,3263903.0,207539935.0,175041842.0,87660387.0,4585.0,3.0,419793390,524288,327483392,11403264
6782066.0,5116260.0,467239574.0,414980597.0,215399603.0,361636.0,3.0,419845748,1835008,465567744,4653056
6782066.0,5116260.0,467239574.0,414980597.0,215399603.0,361636.0,3.0,419845748,1835008,465567744,4653056
12525897.0,6832341.0,986965047.0,913274986.0,477223548.0,2148510.0,1.0,419872600,851968,681771008,33292288
12525897.0,6832341.0,986965047.0,913274986.0,477223548.0,2148510.0,1.0,419872600,851968,681771008,33292288
10144297.0,7016148.0,787868028.0,811755347.0,472707720.0,1058431.0,3.0,419757548,4718592,652541952,23461888
10144297.0,7016148.0,787868028.0,811755347.0,472707720.0,1058431.0,3.0,419757548,4718592,652541952,23461888
5004536.0,4358370.0,163280407.0,136451883.0,74014820.0,7513.0,4.0,419835794,4980736,388694016,3866624
5004536.0,4358370.0,163280407.0,136451883.0,74014820.0,7513.0,4.0,419835794,4980736,388694016,3866624
5529264.0,4687682.0,174927409.0,153020053.0,80835469.0,5790.0,0.0,419648523,2359296,383975424,9502720
5529264.0,4687682.0,174927409.0,153020053.0,80835469.0,5790.0,0.0,419648523,2359296,383975424,9502720
6699762.0,4739691.0,356743939.0,331626605.0,172236356.0,589373.0,3.0,420016079,7274496,456130560,16449536
6699762.0,4739691.0,356743939.0,331626605.0,172236356.0,589373.0,3.0,420016079,7274496,456130560,16449536
13930868.0,7778628.0,1325894046.0,1313911615.0,719482575.0,3419960.0,3.0,419882645,786432,786694144,24969216
13930868.0,7778628.0,1325894046.0,1313911615.0,719482575.0,3419960.0,3.0,419882645,786432,786694144,24969216
9463076.0,5421819.0,679184175.0,670303418.0,361043805.0,1672093.0,1.0,419773179,3801088,521797632,20512768
9463076.0,5421819.0,679184175.0,670303418.0,361043805.0,1672093.0,1.0,419773179,3801088,521797632,20512768
7020777.0,5499187.0,258389980.0,228832874.0,123534448.0,88108.0,6.0,419811602,131072,434503680,7864320
7020777.0,5499187.0,258389980.0,228832874.0,123534448.0,88108.0,6.0,419811602,131072,434503680,7864320
6400344.0,5422901.0,344453270.0,293980403.0,149937740.0,40783.0,0.0,419825642,2031616,488046592,17760256
6400344.0,5422901.0,344453270.0,293980403.0,149937740.0,40783.0,0.0,419825642,2031616,488046592,17760256
