category,ntail-moses,SP
runtime,75.90921831130981,150.5873372554779
llc_references,27569374.469273742,677097247.2024624
llc_misses,23319900.041899443,366938766.01915187
instructions,1100802899.678771,27213055060.950752
cycles,1134853712.3463688,16250983457.045143
stall_cycles,657671096.1173184,5759440949.897402
intra_coh,681243.0726256983,33906.38850889193
inter_coh,17.91899441340782,0.04103967168262654
wall_cycles,2105531506.1312847,2103383866.5526676
llc_size,15527272.402234636,202283005.19835842
local_mem,2861456446.927374,34174879959.726402
remote_mem,53168368.268156424,102602390.58823529
