category,bfs,ntail-moses
runtime,39.86079502105713,75.90863585472107
llc_references,7739901.787709497,26338506.857541896
llc_misses,3202463.715083799,16203482.974860335
instructions,5416969302.960894,1061738445.3910614
cycles,2362961038.938547,790611478.6592178
stall_cycles,474135920.30726254,335603177.22067034
intra_coh,485968.0167597765,556754.1480446927
inter_coh,2.430167597765363,40.60055865921788
wall_cycles,2108818299.6927376,2104887240.6284916
llc_size,14496636.424581006,199817067.26256981
local_mem,287137380.1117318,1425468410.2793298
remote_mem,1089215.6424581006,13277447.150837988
