llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
64718.0,14061.0,1228052554.0,401452260.0,25436592.0,0.0,0.0,800315860,720896,67633152,458752
64718.0,14061.0,1228052554.0,401452260.0,25436592.0,0.0,0.0,800315860,720896,67633152,458752
65221.0,14042.0,1230854477.0,402571392.0,25654360.0,0.0,1.0,419562286,3932160,21823488,0
65221.0,14042.0,1230854477.0,402571392.0,25654360.0,0.0,1.0,419562286,3932160,21823488,0
65173.0,12845.0,1209803241.0,397011307.0,25442958.0,0.0,7.0,419722503,7012352,28835840,196608
65173.0,12845.0,1209803241.0,397011307.0,25442958.0,0.0,7.0,419722503,7012352,28835840,196608
65463.0,13246.0,1230270234.0,401907394.0,25322118.0,0.0,0.0,419598676,6291456,29753344,0
65463.0,13246.0,1230270234.0,401907394.0,25322118.0,0.0,0.0,419598676,6291456,29753344,0
65119.0,13768.0,1231949018.0,402572255.0,25551450.0,0.0,0.0,419589058,524288,26148864,131072
65119.0,13768.0,1231949018.0,402572255.0,25551450.0,0.0,0.0,419589058,524288,26148864,131072
67498.0,18363.0,1223576813.0,400868163.0,26294521.0,0.0,0.0,419642433,1179648,24969216,0
67498.0,18363.0,1223576813.0,400868163.0,26294521.0,0.0,0.0,419642433,1179648,24969216,0
65950.0,13497.0,1230395934.0,401718079.0,25184620.0,0.0,0.0,419648978,1376256,26935296,131072
65950.0,13497.0,1230395934.0,401718079.0,25184620.0,0.0,0.0,419648978,1376256,26935296,131072
45623.0,8761.0,1157387855.0,398106330.0,30352018.0,0.0,0.0,419549826,851968,26935296,65536
45623.0,8761.0,1157387855.0,398106330.0,30352018.0,0.0,0.0,419549826,851968,26935296,65536
16639.0,1783.0,1089097903.0,409675894.0,40483383.0,0.0,0.0,419697218,1310720,13172736,65536
16639.0,1783.0,1089097903.0,409675894.0,40483383.0,0.0,0.0,419697218,1310720,13172736,65536
17169.0,2103.0,1089852820.0,409747555.0,40439586.0,0.0,0.0,419661894,1572864,13500416,0
17169.0,2103.0,1089852820.0,409747555.0,40439586.0,0.0,0.0,419661894,1572864,13500416,0
16085.0,1638.0,1089431632.0,409788249.0,40504431.0,0.0,0.0,419596252,1245184,12779520,131072
16085.0,1638.0,1089431632.0,409788249.0,40504431.0,0.0,0.0,419596252,1245184,12779520,131072
16110.0,1620.0,1089408355.0,409660717.0,40449798.0,0.0,0.0,419560704,2228224,12582912,65536
16110.0,1620.0,1089408355.0,409660717.0,40449798.0,0.0,0.0,419560704,2228224,12582912,65536
16369.0,1561.0,1067725661.0,403204212.0,39789886.0,0.0,0.0,419737793,1245184,15794176,0
