llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
7548673.0,1041136.0,5136204032.0,2244608168.0,213427530.0,1522722.0,0.0,816974987,1441792,131530752,4063232
7548673.0,1041136.0,5136204032.0,2244608168.0,213427530.0,1522722.0,0.0,816974987,1441792,131530752,4063232
7105935.0,383794.0,5293271011.0,2337173891.0,208571855.0,1411102.0,0.0,419993798,11468800,46137344,2752512
7105935.0,383794.0,5293271011.0,2337173891.0,208571855.0,1411102.0,0.0,419993798,11468800,46137344,2752512
8098563.0,493982.0,5746833678.0,2448081801.0,216205266.0,1752776.0,0.0,420187460,4915200,22413312,458752
8098563.0,493982.0,5746833678.0,2448081801.0,216205266.0,1752776.0,0.0,420187460,4915200,22413312,458752
8155821.0,625149.0,5248888239.0,2206503659.0,189592126.0,1257597.0,0.0,420086865,1245184,51773440,0
8155821.0,625149.0,5248888239.0,2206503659.0,189592126.0,1257597.0,0.0,420086865,1245184,51773440,0
8358711.0,976128.0,5182644028.0,2240890483.0,209485558.0,1488941.0,0.0,420028803,1769472,88866816,9895936
8358711.0,976128.0,5182644028.0,2240890483.0,209485558.0,1488941.0,0.0,420028803,1769472,88866816,9895936
8114364.0,790540.0,5236154722.0,2293674495.0,211957998.0,1506364.0,1.0,420005321,2293760,77922304,6619136
8114364.0,790540.0,5236154722.0,2293674495.0,211957998.0,1506364.0,1.0,420005321,2293760,77922304,6619136
7218263.0,428660.0,5246318660.0,2303997043.0,205357081.0,1257618.0,0.0,420139453,10616832,43974656,2490368
7218263.0,428660.0,5246318660.0,2303997043.0,205357081.0,1257618.0,0.0,420139453,10616832,43974656,2490368
8237207.0,554129.0,5584042308.0,2452283520.0,218576428.0,1326191.0,0.0,419893775,3604480,44498944,0
8237207.0,554129.0,5584042308.0,2452283520.0,218576428.0,1326191.0,0.0,419893775,3604480,44498944,0
8220408.0,636191.0,5370539057.0,2313898044.0,209840747.0,1524340.0,0.0,420122927,2555904,58064896,1507328
8220408.0,636191.0,5370539057.0,2313898044.0,209840747.0,1524340.0,0.0,420122927,2555904,58064896,1507328
7051735.0,646043.0,5373101321.0,2318012478.0,207053315.0,1538124.0,0.0,419954796,2818048,47120384,786432
7051735.0,646043.0,5373101321.0,2318012478.0,207053315.0,1538124.0,0.0,419954796,2818048,47120384,786432
6866094.0,838602.0,5221949777.0,2245589919.0,200606963.0,1298293.0,0.0,420265008,3014656,60162048,1835008
6866094.0,838602.0,5221949777.0,2245589919.0,200606963.0,1298293.0,0.0,420265008,3014656,60162048,1835008
7678948.0,604852.0,5276744024.0,2294389817.0,210425643.0,1469586.0,0.0,420510597,3473408,51183616,786432
7678948.0,604852.0,5276744024.0,2294389817.0,210425643.0,1469586.0,0.0,420510597,3473408,51183616,786432
8321443.0,716141.0,5228615477.0,2265348565.0,211819429.0,1482691.0,0.0,420042189,3211264,54984704,2424832
8321443.0,716141.0,5228615477.0,2265348565.0,211819429.0,1482691.0,0.0,420042189,3211264,54984704,2424832
7986186.0,590779.0,5300801207.0,2297226910.0,204547903.0,1777634.0,0.0,419944980,1966080,51642368,2031616
7986186.0,590779.0,5300801207.0,2297226910.0,204547903.0,1777634.0,0.0,419944980,1966080,51642368,2031616
8529439.0,522356.0,5256889203.0,2308066586.0,218896536.0,1666041.0,0.0,420045249,6160384,36765696,1507328
8529439.0,522356.0,5256889203.0,2308066586.0,218896536.0,1666041.0,0.0,420045249,6160384,36765696,1507328
8318783.0,443063.0,5542896671.0,2419678759.0,226878131.0,1609022.0,0.0,420550689,2949120,35389440,720896
8318783.0,443063.0,5542896671.0,2419678759.0,226878131.0,1609022.0,0.0,420550689,2949120,35389440,720896
7383543.0,630072.0,5174184128.0,2258047276.0,213136984.0,1568908.0,0.0,420079583,2818048,45023232,2228224
7383543.0,630072.0,5174184128.0,2258047276.0,213136984.0,1568908.0,0.0,420079583,2818048,45023232,2228224
7982653.0,533882.0,5188958301.0,2277190324.0,213964439.0,1525594.0,0.0,419621531,3145728,55836672,1245184
7982653.0,533882.0,5188958301.0,2277190324.0,213964439.0,1525594.0,0.0,419621531,3145728,55836672,1245184
7775038.0,503993.0,5273760820.0,2325041247.0,220698713.0,1736376.0,0.0,420264915,2883584,38797312,720896
7775038.0,503993.0,5273760820.0,2325041247.0,220698713.0,1736376.0,0.0,420264915,2883584,38797312,720896
7233362.0,536993.0,5204036634.0,2257852844.0,209994681.0,1543180.0,0.0,420824719,3866624,41091072,1638400
7233362.0,536993.0,5204036634.0,2257852844.0,209994681.0,1543180.0,0.0,420824719,3866624,41091072,1638400
6902233.0,398568.0,5284387099.0,2308260768.0,215892717.0,1453205.0,1.0,419305852,10944512,44826624,196608
6902233.0,398568.0,5284387099.0,2308260768.0,215892717.0,1453205.0,1.0,419305852,10944512,44826624,196608
7385246.0,638963.0,5238421015.0,2271940068.0,215081291.0,1661490.0,0.0,419964180,5373952,45547520,1966080
7385246.0,638963.0,5238421015.0,2271940068.0,215081291.0,1661490.0,0.0,419964180,5373952,45547520,1966080
7602970.0,386957.0,5597992523.0,2446813548.0,234395953.0,1876069.0,1.0,420409158,4128768,35454976,1441792
7602970.0,386957.0,5597992523.0,2446813548.0,234395953.0,1876069.0,1.0,420409158,4128768,35454976,1441792
7818761.0,655047.0,5183138247.0,2248658130.0,215614113.0,1843681.0,0.0,419430067,2424832,39321600,65536
7818761.0,655047.0,5183138247.0,2248658130.0,215614113.0,1843681.0,0.0,419430067,2424832,39321600,65536
7369608.0,504214.0,5078415884.0,2230827102.0,212601361.0,1707922.0,0.0,420222548,2818048,41615360,196608
7369608.0,504214.0,5078415884.0,2230827102.0,212601361.0,1707922.0,0.0,420222548,2818048,41615360,196608
7232468.0,649126.0,5215278443.0,2269095028.0,214740055.0,1715055.0,0.0,419974502,3735552,46596096,2686976
7232468.0,649126.0,5215278443.0,2269095028.0,214740055.0,1715055.0,0.0,419974502,3735552,46596096,2686976
7528179.0,533557.0,5241794154.0,2289949560.0,219210177.0,1661456.0,0.0,420869085,5111808,54460416,3538944
7528179.0,533557.0,5241794154.0,2289949560.0,219210177.0,1661456.0,0.0,420869085,5111808,54460416,3538944
8005196.0,461638.0,5243568540.0,2295042644.0,218179331.0,1770721.0,0.0,420280900,10092544,44892160,0
8005196.0,461638.0,5243568540.0,2295042644.0,218179331.0,1770721.0,0.0,420280900,10092544,44892160,0
8854035.0,552082.0,5323434735.0,2350938581.0,231393307.0,1848831.0,1.0,419705303,6684672,42336256,4259840
8854035.0,552082.0,5323434735.0,2350938581.0,231393307.0,1848831.0,1.0,419705303,6684672,42336256,4259840
8410642.0,355301.0,5541601867.0,2409376856.0,227862550.0,2011302.0,0.0,419668942,2818048,44367872,0
8410642.0,355301.0,5541601867.0,2409376856.0,227862550.0,2011302.0,0.0,419668942,2818048,44367872,0
8164628.0,554615.0,5162586160.0,2262334639.0,214477620.0,1835025.0,0.0,420175147,3080192,49741824,0
8164628.0,554615.0,5162586160.0,2262334639.0,214477620.0,1835025.0,0.0,420175147,3080192,49741824,0
