llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
4706505.0,2342175.0,30790069.0,98836449.0,75692540.0,9823.0,0.0,781710040,5898240,1782841344,0
4706505.0,2342175.0,30790069.0,98836449.0,75692540.0,9823.0,0.0,781710040,5898240,1782841344,0
6402875.0,2205029.0,2428382233.0,1199557540.0,245075270.0,667216.0,0.0,419452549,22282240,234356736,0
6402875.0,2205029.0,2428382233.0,1199557540.0,245075270.0,667216.0,0.0,419452549,22282240,234356736,0
6143755.0,1920159.0,2013884084.0,1030316704.0,228840924.0,828346.0,0.0,419613369,18677760,212271104,0
6143755.0,1920159.0,2013884084.0,1030316704.0,228840924.0,828346.0,0.0,419613369,18677760,212271104,0
6599510.0,2068401.0,2009538554.0,1040537648.0,245964681.0,772120.0,0.0,419646612,21626880,255787008,4128768
6599510.0,2068401.0,2009538554.0,1040537648.0,245964681.0,772120.0,0.0,419646612,21626880,255787008,4128768
6312407.0,2066703.0,2197210404.0,1168583944.0,273858283.0,740265.0,0.0,419644778,5963776,261685248,327680
6312407.0,2066703.0,2197210404.0,1168583944.0,273858283.0,740265.0,0.0,419644778,5963776,261685248,327680
6620683.0,2389852.0,2201983074.0,1136520010.0,265494250.0,691539.0,0.0,419532372,9961472,370933760,0
6620683.0,2389852.0,2201983074.0,1136520010.0,265494250.0,691539.0,0.0,419532372,9961472,370933760,0
6112380.0,2028858.0,1967510645.0,1018602317.0,230998803.0,766315.0,0.0,419646416,11665408,294584320,2490368
6112380.0,2028858.0,1967510645.0,1018602317.0,230998803.0,766315.0,0.0,419646416,11665408,294584320,2490368
5740039.0,1870489.0,2204538733.0,1093342495.0,234289072.0,709752.0,0.0,419639262,19726336,198508544,196608
5740039.0,1870489.0,2204538733.0,1093342495.0,234289072.0,709752.0,0.0,419639262,19726336,198508544,196608
6311662.0,2020615.0,2116470897.0,1069203774.0,237340699.0,794965.0,0.0,419539295,9371648,219938816,2359296
6311662.0,2020615.0,2116470897.0,1069203774.0,237340699.0,794965.0,0.0,419539295,9371648,219938816,2359296
6129770.0,2032921.0,2133125985.0,1067420927.0,235588328.0,812433.0,0.0,419511050,11993088,232128512,0
6129770.0,2032921.0,2133125985.0,1067420927.0,235588328.0,812433.0,0.0,419511050,11993088,232128512,0
7851007.0,2531755.0,1896292197.0,1082340721.0,291982978.0,765930.0,0.0,420042910,9502720,350945280,0
7851007.0,2531755.0,1896292197.0,1082340721.0,291982978.0,765930.0,0.0,420042910,9502720,350945280,0
8079658.0,2471985.0,1859183718.0,1053941008.0,286619310.0,821010.0,0.0,419619375,18874368,349044736,3145728
8079658.0,2471985.0,1859183718.0,1053941008.0,286619310.0,821010.0,0.0,419619375,18874368,349044736,3145728
8699070.0,2769444.0,1955277398.0,1130666647.0,313911079.0,878473.0,0.0,419827814,5570560,368771072,0
8699070.0,2769444.0,1955277398.0,1130666647.0,313911079.0,878473.0,0.0,419827814,5570560,368771072,0
4284536.0,1231295.0,1643177498.0,1180193081.0,406367708.0,668735.0,0.0,419633193,14024704,116654080,0
4284536.0,1231295.0,1643177498.0,1180193081.0,406367708.0,668735.0,0.0,419633193,14024704,116654080,0
4398871.0,1207441.0,1830491546.0,945384500.0,226958613.0,724810.0,0.0,419994064,11337728,112918528,917504
4398871.0,1207441.0,1830491546.0,945384500.0,226958613.0,724810.0,0.0,419994064,11337728,112918528,917504
4838469.0,1355240.0,1867349259.0,931836380.0,209011037.0,791654.0,0.0,419907467,7995392,127926272,1245184
4838469.0,1355240.0,1867349259.0,931836380.0,209011037.0,791654.0,0.0,419907467,7995392,127926272,1245184
4752188.0,1324800.0,2189208672.0,1056297702.0,229590545.0,787357.0,0.0,419767383,13500416,102170624,0
4752188.0,1324800.0,2189208672.0,1056297702.0,229590545.0,787357.0,0.0,419767383,13500416,102170624,0
5006883.0,1074931.0,1654298074.0,887397560.0,245972150.0,1022303.0,0.0,419737878,11534336,76152832,0
5006883.0,1074931.0,1654298074.0,887397560.0,245972150.0,1022303.0,0.0,419737878,11534336,76152832,0
5165384.0,900078.0,1426374346.0,836101710.0,262928649.0,1085429.0,0.0,419689291,13107200,64290816,1245184
5165384.0,900078.0,1426374346.0,836101710.0,262928649.0,1085429.0,0.0,419689291,13107200,64290816,1245184
6262190.0,1338442.0,1795129419.0,1191630063.0,366437950.0,396046.0,0.0,419934018,7405568,68288512,393216
6262190.0,1338442.0,1795129419.0,1191630063.0,366437950.0,396046.0,0.0,419934018,7405568,68288512,393216
6523260.0,1535676.0,2133722376.0,1384519457.0,402485762.0,118791.0,0.0,419864487,11993088,56033280,0
6523260.0,1535676.0,2133722376.0,1384519457.0,402485762.0,118791.0,0.0,419864487,11993088,56033280,0
6723509.0,1542731.0,2201930337.0,1414731748.0,408669180.0,126642.0,1.0,419804787,7733248,61603840,0
6723509.0,1542731.0,2201930337.0,1414731748.0,408669180.0,126642.0,1.0,419804787,7733248,61603840,0
6377831.0,1469383.0,2043501731.0,1339010258.0,393530119.0,98172.0,0.0,419653910,10485760,63176704,655360
6377831.0,1469383.0,2043501731.0,1339010258.0,393530119.0,98172.0,0.0,419653910,10485760,63176704,655360
6821416.0,2349557.0,4215274491.0,2472965548.0,617460477.0,280573.0,1.0,419759921,11468800,251920384,3145728
6821416.0,2349557.0,4215274491.0,2472965548.0,617460477.0,280573.0,1.0,419759921,11468800,251920384,3145728
7220354.0,2942277.0,5450567129.0,3037242389.0,681400896.0,318492.0,0.0,419767229,33030144,293601280,2097152
7220354.0,2942277.0,5450567129.0,3037242389.0,681400896.0,318492.0,0.0,419767229,33030144,293601280,2097152
7249532.0,2949726.0,5636124640.0,3112393630.0,710024300.0,185881.0,0.0,419975689,10092544,237633536,0
7249532.0,2949726.0,5636124640.0,3112393630.0,710024300.0,185881.0,0.0,419975689,10092544,237633536,0
6999442.0,2311975.0,3958711259.0,2308172150.0,572431159.0,178133.0,0.0,419834114,12976128,170262528,327680
6999442.0,2311975.0,3958711259.0,2308172150.0,572431159.0,178133.0,0.0,419834114,12976128,170262528,327680
7081480.0,2462839.0,4516349945.0,2552879824.0,601002515.0,324186.0,0.0,419652569,27459584,266141696,3670016
7081480.0,2462839.0,4516349945.0,2552879824.0,601002515.0,324186.0,0.0,419652569,27459584,266141696,3670016
6566458.0,2692848.0,5251770925.0,2950941188.0,678629783.0,324911.0,0.0,419761230,16318464,314834944,0
6566458.0,2692848.0,5251770925.0,2950941188.0,678629783.0,324911.0,0.0,419761230,16318464,314834944,0
6765119.0,2647509.0,4666953597.0,2672592867.0,628273484.0,76402.0,0.0,419737010,14155776,134873088,65536
