category,ntail-moses,facesim
runtime,76.05935502052307,79.04533004760742
llc_references,26766209.90140845,186269497.248062
llc_misses,19523470.66197183,34823873.436692506
instructions,1069492861.3943661,28497855964.90956
cycles,848050454.2957747,11681814843.191214
stall_cycles,387041999.70422536,2152967036.757106
intra_coh,636382.7746478873,3192247.5452196384
inter_coh,24.267605633802816,0.8139534883720931
wall_cycles,2105235215.8732393,2105283204.728682
llc_size,79535781.85915494,135011780.46511626
local_mem,2085073992.1126761,2399498187.0801034
remote_mem,26088866.253521126,8873608.26873385
