llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
15101117.0,7168075.0,3785680150.0,3065939396.0,1212614421.0,682029.0,6.0,815986111,35913728,1605632000,48562176
15101117.0,7168075.0,3785680150.0,3065939396.0,1212614421.0,682029.0,6.0,815986111,35913728,1605632000,48562176
23321079.0,8003777.0,2418697209.0,2002482454.0,898201463.0,6662108.0,7.0,420032571,19988480,926089216,16580608
23321079.0,8003777.0,2418697209.0,2002482454.0,898201463.0,6662108.0,7.0,420032571,19988480,926089216,16580608
13663731.0,1064338.0,1062210464.0,1277990888.0,708972879.0,7434552.0,0.0,420181713,17367040,152174592,12058624
13663731.0,1064338.0,1062210464.0,1277990888.0,708972879.0,7434552.0,0.0,420181713,17367040,152174592,12058624
13868451.0,1060522.0,1077420788.0,1300364082.0,723321762.0,7561755.0,3.0,420114554,20905984,159514624,13041664
13868451.0,1060522.0,1077420788.0,1300364082.0,723321762.0,7561755.0,3.0,420114554,20905984,159514624,13041664
35627697.0,18349844.0,1835834078.0,1731385088.0,885434555.0,5671029.0,8.0,420105505,31129600,1318846464,35323904
35627697.0,18349844.0,1835834078.0,1731385088.0,885434555.0,5671029.0,8.0,420105505,31129600,1318846464,35323904
42672284.0,24777391.0,2120697233.0,1661975628.0,738684930.0,4258272.0,10.0,420073724,24248320,1605304320,14090240
42672284.0,24777391.0,2120697233.0,1661975628.0,738684930.0,4258272.0,10.0,420073724,24248320,1605304320,14090240
18005475.0,9308373.0,1161888325.0,915602144.0,381017434.0,1871182.0,7.0,419788936,19267584,709099520,9568256
18005475.0,9308373.0,1161888325.0,915602144.0,381017434.0,1871182.0,7.0,419788936,19267584,709099520,9568256
6614927.0,4512837.0,711325454.0,461927366.0,137966378.0,83248.0,10.0,419970726,14811136,484245504,6815744
6614927.0,4512837.0,711325454.0,461927366.0,137966378.0,83248.0,10.0,419970726,14811136,484245504,6815744
9809569.0,5880438.0,908404967.0,648570985.0,239304069.0,1581194.0,6.0,419911205,21495808,482410496,4194304
9809569.0,5880438.0,908404967.0,648570985.0,239304069.0,1581194.0,6.0,419911205,21495808,482410496,4194304
14772364.0,6642015.0,1254391600.0,1015491111.0,435512125.0,4046178.0,10.0,419964517,23134208,596115456,20709376
14772364.0,6642015.0,1254391600.0,1015491111.0,435512125.0,4046178.0,10.0,419964517,23134208,596115456,20709376
18174847.0,6025795.0,1374808005.0,1247830687.0,594475950.0,6756334.0,7.0,419950160,20185088,681705472,15335424
18174847.0,6025795.0,1374808005.0,1247830687.0,594475950.0,6756334.0,7.0,419950160,20185088,681705472,15335424
6073724.0,4970546.0,220834943.0,179708182.0,92456740.0,163084.0,5.0,419863045,8323072,409337856,0
6073724.0,4970546.0,220834943.0,179708182.0,92456740.0,163084.0,5.0,419863045,8323072,409337856,0
5239027.0,3690248.0,164438386.0,116968829.0,48985505.0,3733.0,6.0,419769308,14286848,326631424,0
5239027.0,3690248.0,164438386.0,116968829.0,48985505.0,3733.0,6.0,419769308,14286848,326631424,0
6552962.0,4344481.0,347864080.0,244282618.0,98207939.0,520227.0,3.0,419670067,19333120,352518144,8323072
6552962.0,4344481.0,347864080.0,244282618.0,98207939.0,520227.0,3.0,419670067,19333120,352518144,8323072
13219887.0,6481249.0,1231034694.0,965779233.0,402258861.0,3203446.0,7.0,420052389,26279936,589824000,13303808
13219887.0,6481249.0,1231034694.0,965779233.0,402258861.0,3203446.0,7.0,420052389,26279936,589824000,13303808
5764590.0,4232857.0,188560185.0,145373529.0,70009076.0,4930.0,10.0,419819478,31916032,379846656,0
5764590.0,4232857.0,188560185.0,145373529.0,70009076.0,4930.0,10.0,419819478,31916032,379846656,0
6262641.0,4592967.0,215540071.0,156276278.0,63839130.0,9383.0,8.0,419778050,16121856,401997824,3604480
6262641.0,4592967.0,215540071.0,156276278.0,63839130.0,9383.0,8.0,419778050,16121856,401997824,3604480
6736676.0,5788391.0,319934795.0,218921983.0,80626914.0,39388.0,3.0,420011425,21692416,449511424,14548992
6736676.0,5788391.0,319934795.0,218921983.0,80626914.0,39388.0,3.0,420011425,21692416,449511424,14548992
8879344.0,6204901.0,731879653.0,596163526.0,264401973.0,1349204.0,3.0,419778648,13041664,516030464,7667712
8879344.0,6204901.0,731879653.0,596163526.0,264401973.0,1349204.0,3.0,419778648,13041664,516030464,7667712
3894637.0,2738188.0,107054041.0,74826550.0,31999240.0,3783.0,6.0,419915641,13172736,249364480,0
3894637.0,2738188.0,107054041.0,74826550.0,31999240.0,3783.0,6.0,419915641,13172736,249364480,0
3841403.0,2617071.0,117892121.0,82928544.0,34803438.0,2317.0,5.0,419733533,10223616,247922688,4849664
3841403.0,2617071.0,117892121.0,82928544.0,34803438.0,2317.0,5.0,419733533,10223616,247922688,4849664
4631823.0,3700082.0,157414345.0,110031657.0,46106272.0,2382.0,3.0,419726020,24051712,337575936,2031616
4631823.0,3700082.0,157414345.0,110031657.0,46106272.0,2382.0,3.0,419726020,24051712,337575936,2031616
7052008.0,5126794.0,253141094.0,177218207.0,73322189.0,9807.0,8.0,420071748,17694720,445251584,3080192
7052008.0,5126794.0,253141094.0,177218207.0,73322189.0,9807.0,8.0,420071748,17694720,445251584,3080192
4311841.0,2649421.0,158235252.0,114585621.0,48732572.0,3110.0,1.0,419804343,17760256,317194240,7274496
4311841.0,2649421.0,158235252.0,114585621.0,48732572.0,3110.0,1.0,419804343,17760256,317194240,7274496
5978094.0,5191174.0,233709805.0,167485444.0,67522039.0,9967.0,5.0,419747615,22740992,397410304,327680
5978094.0,5191174.0,233709805.0,167485444.0,67522039.0,9967.0,5.0,419747615,22740992,397410304,327680
4103893.0,2911046.0,150120308.0,104422656.0,40500153.0,5754.0,2.0,419844614,18677760,253755392,2490368
