category,fluidanimate,ntail-moses
runtime,70.23346090316772,75.92226505279541
llc_references,65828021.27245509,26356761.662011176
llc_misses,48059375.434131734,18988962.17877095
instructions,26645823455.883232,1065519899.5251396
cycles,15432256854.221556,801974155.2793295
stall_cycles,3673412212.57485,346071582.96089387
intra_coh,4609833.81736527,597046.9273743017
inter_coh,0.04491017964071856,28.365921787709496
wall_cycles,2106281415.464072,2105259749.944134
llc_size,100133710.17964073,113155775.64245811
local_mem,3722231906.1077843,1916841961.1173186
remote_mem,21374742.994011976,22303292.067039106
