llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
17513781.0,8131073.0,3816207340.0,3042911321.0,1226333362.0,933612.0,3.0,853790286,11010048,1814757376,45744128
17513781.0,8131073.0,3816207340.0,3042911321.0,1226333362.0,933612.0,3.0,853790286,11010048,1814757376,45744128
22262763.0,7385130.0,2177215900.0,1915580498.0,901761073.0,6411718.0,0.0,419993441,8323072,1024589824,23724032
22262763.0,7385130.0,2177215900.0,1915580498.0,901761073.0,6411718.0,0.0,419993441,8323072,1024589824,23724032
13527885.0,1217908.0,1046854562.0,1284782724.0,726577183.0,7433354.0,1.0,419979280,7471104,222953472,15204352
13527885.0,1217908.0,1046854562.0,1284782724.0,726577183.0,7433354.0,1.0,419979280,7471104,222953472,15204352
13741768.0,1226365.0,1072204794.0,1313810357.0,738189602.0,7609709.0,1.0,420384300,6225920,183631872,15663104
13741768.0,1226365.0,1072204794.0,1313810357.0,738189602.0,7609709.0,1.0,420384300,6225920,183631872,15663104
32467383.0,15533289.0,1780213095.0,1722201705.0,901039647.0,6109117.0,3.0,419856927,26935296,1364787200,65470464
32467383.0,15533289.0,1780213095.0,1722201705.0,901039647.0,6109117.0,3.0,419856927,26935296,1364787200,65470464
28033304.0,17397387.0,1512011234.0,1171500769.0,504420440.0,2107228.0,12.0,419839172,29032448,1920270336,0
28033304.0,17397387.0,1512011234.0,1171500769.0,504420440.0,2107228.0,12.0,419839172,29032448,1920270336,0
9262377.0,5482899.0,768520008.0,548467855.0,194121182.0,748063.0,6.0,419548580,2162688,692649984,0
9262377.0,5482899.0,768520008.0,548467855.0,194121182.0,748063.0,6.0,419548580,2162688,692649984,0
7174794.0,5648033.0,724143148.0,475459832.0,147918656.0,73091.0,4.0,419943967,35586048,609222656,7012352
7174794.0,5648033.0,724143148.0,475459832.0,147918656.0,73091.0,4.0,419943967,35586048,609222656,7012352
6944671.0,3974702.0,668902338.0,435997217.0,128973080.0,20298.0,6.0,419815597,34799616,552271872,9306112
6944671.0,3974702.0,668902338.0,435997217.0,128973080.0,20298.0,6.0,419815597,34799616,552271872,9306112
7126077.0,4784291.0,518533719.0,359030687.0,125235698.0,211834.0,6.0,419810176,18350080,539885568,851968
7126077.0,4784291.0,518533719.0,359030687.0,125235698.0,211834.0,6.0,419810176,18350080,539885568,851968
5413346.0,3991581.0,192979328.0,137880440.0,57865218.0,6470.0,1.0,419780807,7602176,417464320,3276800
5413346.0,3991581.0,192979328.0,137880440.0,57865218.0,6470.0,1.0,419780807,7602176,417464320,3276800
4700894.0,3523512.0,181614275.0,124839680.0,51189806.0,7319.0,1.0,419797098,0,376832000,4653056
4700894.0,3523512.0,181614275.0,124839680.0,51189806.0,7319.0,1.0,419797098,0,376832000,4653056
6700005.0,4684427.0,537130283.0,386786938.0,155526537.0,360260.0,4.0,419808211,15204352,432209920,13369344
6700005.0,4684427.0,537130283.0,386786938.0,155526537.0,360260.0,4.0,419808211,15204352,432209920,13369344
12007450.0,5895142.0,1055377884.0,826656402.0,347059855.0,2720980.0,4.0,419961423,19988480,599588864,34603008
12007450.0,5895142.0,1055377884.0,826656402.0,347059855.0,2720980.0,4.0,419961423,19988480,599588864,34603008
9529259.0,5885212.0,649361418.0,507124163.0,232637105.0,513888.0,7.0,419895052,28180480,606076928,0
9529259.0,5885212.0,649361418.0,507124163.0,232637105.0,513888.0,7.0,419895052,28180480,606076928,0
5095577.0,4416278.0,156232762.0,113273574.0,46896776.0,5974.0,4.0,419937476,19726336,397148160,25493504
5095577.0,4416278.0,156232762.0,113273574.0,46896776.0,5974.0,4.0,419937476,19726336,397148160,25493504
4330716.0,3847099.0,157318955.0,115436720.0,47285878.0,4675.0,4.0,419756631,31457280,341835776,0
4330716.0,3847099.0,157318955.0,115436720.0,47285878.0,4675.0,4.0,419756631,31457280,341835776,0
8688796.0,6366465.0,523587502.0,393029237.0,165574736.0,1122706.0,4.0,419799426,38010880,493420544,9502720
8688796.0,6366465.0,523587502.0,393029237.0,165574736.0,1122706.0,4.0,419799426,38010880,493420544,9502720
13601346.0,6154577.0,1271681651.0,1017164517.0,437382652.0,3166035.0,1.0,420074026,13565952,614268928,21233664
13601346.0,6154577.0,1271681651.0,1017164517.0,437382652.0,3166035.0,1.0,420074026,13565952,614268928,21233664
5730306.0,4623762.0,296384710.0,223480032.0,101626783.0,7074.0,8.0,419685277,15400960,403505152,0
5730306.0,4623762.0,296384710.0,223480032.0,101626783.0,7074.0,8.0,419685277,15400960,403505152,0
5641792.0,4210458.0,256464664.0,185074382.0,78473981.0,33697.0,6.0,419870366,18087936,475791360,6553600
5641792.0,4210458.0,256464664.0,185074382.0,78473981.0,33697.0,6.0,419870366,18087936,475791360,6553600
8265505.0,3859051.0,496034378.0,335682547.0,133049127.0,360541.0,3.0,419934999,36962304,455868416,7864320
8265505.0,3859051.0,496034378.0,335682547.0,133049127.0,360541.0,3.0,419934999,36962304,455868416,7864320
8576094.0,6016479.0,581064770.0,474083375.0,204395438.0,1112952.0,4.0,419984577,34734080,546766848,9371648
8576094.0,6016479.0,581064770.0,474083375.0,204395438.0,1112952.0,4.0,419984577,34734080,546766848,9371648
3105888.0,1930916.0,86484555.0,59348646.0,26092344.0,1097.0,6.0,419806282,6881280,228982784,9175040
3105888.0,1930916.0,86484555.0,59348646.0,26092344.0,1097.0,6.0,419806282,6881280,228982784,9175040
4459965.0,3257185.0,155271830.0,110691215.0,46097801.0,3334.0,6.0,419847470,19726336,360185856,0
4459965.0,3257185.0,155271830.0,110691215.0,46097801.0,3334.0,6.0,419847470,19726336,360185856,0
5076195.0,3702636.0,180412323.0,128271649.0,51584656.0,6996.0,4.0,419762175,37158912,389218304,14483456
5076195.0,3702636.0,180412323.0,128271649.0,51584656.0,6996.0,4.0,419762175,37158912,389218304,14483456
6015908.0,4269348.0,214383350.0,148459387.0,60074026.0,7685.0,4.0,419839609,29949952,441319424,0
6015908.0,4269348.0,214383350.0,148459387.0,60074026.0,7685.0,4.0,419839609,29949952,441319424,0
4379732.0,3351848.0,187765348.0,134145098.0,55588189.0,6920.0,4.0,419855912,11272192,401932288,4456448
4379732.0,3351848.0,187765348.0,134145098.0,55588189.0,6920.0,4.0,419855912,11272192,401932288,4456448
5452808.0,3977592.0,202153420.0,143837140.0,58758870.0,10287.0,14.0,419888875,7602176,408354816,3145728
5452808.0,3977592.0,202153420.0,143837140.0,58758870.0,10287.0,14.0,419888875,7602176,408354816,3145728
3334432.0,2589139.0,140378346.0,103562484.0,44188916.0,3699.0,1.0,419884591,35323904,275382272,9175040
3334432.0,2589139.0,140378346.0,103562484.0,44188916.0,3699.0,1.0,419884591,35323904,275382272,9175040
7782324.0,6312875.0,801921741.0,566848880.0,231010662.0,208201.0,7.0,419848078,8323072,620953600,12910592
7782324.0,6312875.0,801921741.0,566848880.0,231010662.0,208201.0,7.0,419848078,8323072,620953600,12910592
7121321.0,4956012.0,440107240.0,337986547.0,145019978.0,55352.0,15.0,419834080,24444928,485425152,16777216
7121321.0,4956012.0,440107240.0,337986547.0,145019978.0,55352.0,15.0,419834080,24444928,485425152,16777216
5940177.0,4427736.0,217806703.0,153852142.0,62772248.0,4635.0,3.0,419865159,36503552,446889984,3473408
5940177.0,4427736.0,217806703.0,153852142.0,62772248.0,4635.0,3.0,419865159,36503552,446889984,3473408
6517730.0,5654131.0,241907621.0,167440193.0,69711447.0,6609.0,7.0,419732873,30212096,504233984,4063232
6517730.0,5654131.0,241907621.0,167440193.0,69711447.0,6609.0,7.0,419732873,30212096,504233984,4063232
5554421.0,3472862.0,222271897.0,163558995.0,67158946.0,52474.0,3.0,419922153,17760256,378994688,9699328
5554421.0,3472862.0,222271897.0,163558995.0,67158946.0,52474.0,3.0,419922153,17760256,378994688,9699328
5928909.0,4764710.0,220559303.0,159111446.0,65662737.0,6523.0,7.0,419854519,38010880,475856896,3211264
5928909.0,4764710.0,220559303.0,159111446.0,65662737.0,6523.0,7.0,419854519,38010880,475856896,3211264
4666579.0,3762373.0,151063799.0,109128289.0,46347247.0,3191.0,5.0,419749285,14614528,379125760,0
4666579.0,3762373.0,151063799.0,109128289.0,46347247.0,3191.0,5.0,419749285,14614528,379125760,0
6976877.0,5114338.0,293310042.0,205417483.0,84049640.0,8725.0,11.0,419751943,17956864,541917184,16121856
6976877.0,5114338.0,293310042.0,205417483.0,84049640.0,8725.0,11.0,419751943,17956864,541917184,16121856
6128119.0,5289855.0,347411604.0,254047106.0,99412344.0,21709.0,9.0,420054513,35848192,436600832,1572864
6128119.0,5289855.0,347411604.0,254047106.0,99412344.0,21709.0,9.0,420054513,35848192,436600832,1572864
5132981.0,4256270.0,248289506.0,184457714.0,79044565.0,38700.0,3.0,419807448,15138816,449708032,720896
5132981.0,4256270.0,248289506.0,184457714.0,79044565.0,38700.0,3.0,419807448,15138816,449708032,720896
5026764.0,3539447.0,170082609.0,122163859.0,52188385.0,3719.0,11.0,419807577,26935296,378208256,0
5026764.0,3539447.0,170082609.0,122163859.0,52188385.0,3719.0,11.0,419807577,26935296,378208256,0
6066677.0,4274521.0,207697271.0,147927254.0,61234861.0,15810.0,6.0,419858873,36569088,451674112,3080192
6066677.0,4274521.0,207697271.0,147927254.0,61234861.0,15810.0,6.0,419858873,36569088,451674112,3080192
3920131.0,2853822.0,118319327.0,85515259.0,38492082.0,8598.0,2.0,419865404,8126464,309788672,1835008
3920131.0,2853822.0,118319327.0,85515259.0,38492082.0,8598.0,2.0,419865404,8126464,309788672,1835008
5638293.0,4057554.0,236065674.0,166611556.0,67156069.0,27239.0,7.0,419719398,11993088,433192960,3538944
5638293.0,4057554.0,236065674.0,166611556.0,67156069.0,27239.0,7.0,419719398,11993088,433192960,3538944
5492396.0,4025284.0,174026174.0,128200663.0,55239829.0,4443.0,5.0,419962966,36241408,401014784,2818048
5492396.0,4025284.0,174026174.0,128200663.0,55239829.0,4443.0,5.0,419962966,36241408,401014784,2818048
