category,kmeans,ntail-moses
runtime,42.04726958274841,75.90092182159424
llc_references,167049243.95,26363086.49441341
llc_misses,18360534.4,17046732.667597763
instructions,13324988522.525002,1071297038.8128493
cycles,9025362910.575,808055380.055866
stall_cycles,3402252740.125,347853620.2374302
intra_coh,114748792.10000001,575421.3966480447
inter_coh,0.8,38.701117318435756
wall_cycles,2107301997.5,2104387922.821229
llc_size,77301350.4,162868858.9944134
local_mem,1360506060.8000002,1546261509.7206702
remote_mem,2164326.4000000004,17499759.553072624
