category,swaptions,ntail-moses
runtime,41.58091354370117,76.00681376457214
llc_references,6187949.475,26365282.57022472
llc_misses,134888.25,16046234.255617978
instructions,36178099061.5,1069391472.3314607
cycles,15842458606.324999,787527968.1320225
stall_cycles,1784474940.975,329786263.37078655
intra_coh,2951858.5999999996,584239.0308988764
inter_coh,0.075,42.34550561797753
wall_cycles,2109559661.1750002,2104751637.1910114
llc_size,3170304.0,204876397.3033708
local_mem,1541734.4,1318237310.5617979
remote_mem,1951334.4,12999507.415730337
