llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
850462.0,31966.0,7549943699.0,3295701863.0,369378802.0,303194.0,0.0,798959245,327680,4456448,2883584
850462.0,31966.0,7549943699.0,3295701863.0,369378802.0,303194.0,0.0,798959245,327680,4456448,2883584
843337.0,26719.0,7568439512.0,3308877091.0,370850313.0,321238.0,0.0,419996605,655360,1441792,917504
843337.0,26719.0,7568439512.0,3308877091.0,370850313.0,321238.0,0.0,419996605,655360,1441792,917504
819483.0,19456.0,7579527918.0,3317473574.0,371619748.0,296485.0,0.0,420125678,655360,458752,131072
819483.0,19456.0,7579527918.0,3317473574.0,371619748.0,296485.0,0.0,420125678,655360,458752,131072
800092.0,19159.0,7536834780.0,3297244810.0,368952922.0,300095.0,0.0,419247902,655360,65536,262144
800092.0,19159.0,7536834780.0,3297244810.0,368952922.0,300095.0,0.0,419247902,655360,65536,262144
814283.0,32434.0,7555460493.0,3307706833.0,372277996.0,286626.0,0.0,420092475,393216,3014656,1048576
814283.0,32434.0,7555460493.0,3307706833.0,372277996.0,286626.0,0.0,420092475,393216,3014656,1048576
890932.0,45705.0,7543250971.0,3307329519.0,375483790.0,314536.0,0.0,419926854,655360,3735552,1441792
890932.0,45705.0,7543250971.0,3307329519.0,375483790.0,314536.0,0.0,419926854,655360,3735552,1441792
807563.0,23532.0,7567806334.0,3311661509.0,371893390.0,311255.0,0.0,420696558,524288,262144,589824
807563.0,23532.0,7567806334.0,3311661509.0,371893390.0,311255.0,0.0,420696558,524288,262144,589824
885135.0,25168.0,7542962481.0,3301434972.0,370814305.0,353483.0,0.0,419243628,786432,917504,393216
885135.0,25168.0,7542962481.0,3301434972.0,370814305.0,353483.0,0.0,419243628,786432,917504,393216
862468.0,23091.0,7552590885.0,3308306885.0,371124673.0,341262.0,0.0,420729016,458752,917504,458752
862468.0,23091.0,7552590885.0,3308306885.0,371124673.0,341262.0,0.0,420729016,458752,917504,458752
847046.0,23673.0,7556419365.0,3307506776.0,370359341.0,346762.0,0.0,419761314,458752,1376256,655360
847046.0,23673.0,7556419365.0,3307506776.0,370359341.0,346762.0,0.0,419761314,458752,1376256,655360
821558.0,20154.0,7586937567.0,3310443426.0,367193516.0,340892.0,0.0,419875904,393216,524288,393216
821558.0,20154.0,7586937567.0,3310443426.0,367193516.0,340892.0,0.0,419875904,393216,524288,393216
762490.0,18973.0,7602727667.0,3313057023.0,366334504.0,297682.0,0.0,419953114,262144,131072,196608
762490.0,18973.0,7602727667.0,3313057023.0,366334504.0,297682.0,0.0,419953114,262144,131072,196608
825251.0,21246.0,7578339226.0,3308922863.0,367678157.0,335908.0,0.0,419811518,262144,655360,327680
825251.0,21246.0,7578339226.0,3308922863.0,367678157.0,335908.0,0.0,419811518,262144,655360,327680
768177.0,17102.0,7585318209.0,3308915467.0,366515628.0,299478.0,0.0,420664419,393216,65536,262144
768177.0,17102.0,7585318209.0,3308915467.0,366515628.0,299478.0,0.0,420664419,393216,65536,262144
733055.0,17716.0,7565796848.0,3299853663.0,364892054.0,295678.0,0.0,419346165,458752,131072,655360
733055.0,17716.0,7565796848.0,3299853663.0,364892054.0,295678.0,0.0,419346165,458752,131072,655360
737058.0,15582.0,7584909784.0,3308760673.0,365976108.0,320069.0,0.0,420027384,458752,131072,524288
737058.0,15582.0,7584909784.0,3308760673.0,365976108.0,320069.0,0.0,420027384,458752,131072,524288
674399.0,18516.0,7583749995.0,3310200021.0,365829317.0,252790.0,0.0,420455224,393216,131072,655360
674399.0,18516.0,7583749995.0,3310200021.0,365829317.0,252790.0,0.0,420455224,393216,131072,655360
742067.0,19288.0,7574568815.0,3306073170.0,366234135.0,303946.0,0.0,420130769,393216,196608,589824
