category,ntail-sphinx,bfs
runtime,30.838225841522217,40.50314021110535
llc_references,254291074.6992481,7824521.861111111
llc_misses,44235492.44360902,2961046.972222222
instructions,11132995293.533836,5408622010.666667
cycles,10892245911.842106,2429918610.361111
stall_cycles,4689909410.902256,545414281.0833334
intra_coh,9502.067669172931,619116.1944444444
inter_coh,1.5789473684210527,1.0
wall_cycles,2113533776.8796992,2107690844.3611112
llc_size,200111465.86466166,54795377.777777776
local_mem,1555033773.2330825,323212629.3333333
remote_mem,7334611.729323309,2546801.777777778
