category,ntail-sphinx,canneal
runtime,30.491364002227783,64.74405670166016
llc_references,256149790.96899226,63990423.32278481
llc_misses,52153464.069767445,36254778.44936709
instructions,11061582917.674417,2031904131.6455696
cycles,11214510745.736435,7455082419.49367
stall_cycles,5010643973.75969,6143317597.21519
intra_coh,11874.728682170542,168864.31962025317
inter_coh,2.906976744186047,0.0
wall_cycles,2114681633.72093,2104229216.9936707
llc_size,172616235.65891474,136877950.37974682
local_mem,2302973142.3255816,2728121616.2025313
remote_mem,7932904.186046511,2650474.936708861
