llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
19548030.0,9604711.0,3544453478.0,2367191083.0,940877694.0,21685.0,0.0,804726861,35520512,1614807040,0
19548030.0,9604711.0,3544453478.0,2367191083.0,940877694.0,21685.0,0.0,804726861,35520512,1614807040,0
59032587.0,24327632.0,2420331602.0,3008804281.0,1732380178.0,4997.0,3.0,420895223,39976960,1687945216,30801920
59032587.0,24327632.0,2420331602.0,3008804281.0,1732380178.0,4997.0,3.0,420895223,39976960,1687945216,30801920
72918373.0,25840589.0,2595464474.0,3258275075.0,1765674931.0,4856.0,0.0,419286343,39780352,1530724352,0
72918373.0,25840589.0,2595464474.0,3258275075.0,1765674931.0,4856.0,0.0,419286343,39780352,1530724352,0
70410227.0,26099451.0,2606822636.0,3270858258.0,1778851194.0,6404.0,4.0,420395969,39190528,1472331776,786432
70410227.0,26099451.0,2606822636.0,3270858258.0,1778851194.0,6404.0,4.0,420395969,39190528,1472331776,786432
76160959.0,20535718.0,3031769052.0,3286005757.0,1578822648.0,5652.0,1.0,419460573,39976960,1074003968,7929856
76160959.0,20535718.0,3031769052.0,3286005757.0,1578822648.0,5652.0,1.0,419460573,39976960,1074003968,7929856
73713013.0,20512418.0,3132601338.0,3289786640.0,1581608697.0,5262.0,0.0,420690792,40239104,1097465856,851968
73713013.0,20512418.0,3132601338.0,3289786640.0,1581608697.0,5262.0,0.0,420690792,40239104,1097465856,851968
86695360.0,15973951.0,3548646393.0,3296275740.0,1340605241.0,6098.0,0.0,419507287,40239104,660275200,0
86695360.0,15973951.0,3548646393.0,3296275740.0,1340605241.0,6098.0,0.0,419507287,40239104,660275200,0
79290528.0,17658007.0,3061267348.0,3135711277.0,1435009014.0,5361.0,0.0,419923931,39124992,926810112,6094848
79290528.0,17658007.0,3061267348.0,3135711277.0,1435009014.0,5361.0,0.0,419923931,39124992,926810112,6094848
54868072.0,20231223.0,1888413326.0,2542467685.0,1407152456.0,2085.0,0.0,420497756,38207488,1168113664,0
54868072.0,20231223.0,1888413326.0,2542467685.0,1407152456.0,2085.0,0.0,420497756,38207488,1168113664,0
62990063.0,18085071.0,2410470610.0,2833569215.0,1470189495.0,3523.0,3.0,419908727,40042496,1025310720,1966080
62990063.0,18085071.0,2410470610.0,2833569215.0,1470189495.0,3523.0,3.0,419908727,40042496,1025310720,1966080
62776138.0,19893151.0,2421705685.0,2956385344.0,1578544988.0,4391.0,0.0,419422101,39387136,1091174400,4915200
62776138.0,19893151.0,2421705685.0,2956385344.0,1578544988.0,4391.0,0.0,419422101,39387136,1091174400,4915200
72993003.0,19717494.0,3015797020.0,3311809917.0,1599081666.0,6058.0,8.0,420701239,40042496,938672128,786432
72993003.0,19717494.0,3015797020.0,3311809917.0,1599081666.0,6058.0,8.0,420701239,40042496,938672128,786432
68051606.0,18091850.0,2851957966.0,3127247455.0,1493182438.0,5546.0,6.0,419693057,39583744,916455424,0
68051606.0,18091850.0,2851957966.0,3127247455.0,1493182438.0,5546.0,6.0,419693057,39583744,916455424,0
58469272.0,10771408.0,2551106429.0,2492704015.0,1080614515.0,2597.0,4.0,419921495,33685504,389742592,0
58469272.0,10771408.0,2551106429.0,2492704015.0,1080614515.0,2597.0,4.0,419921495,33685504,389742592,0
49874773.0,5484850.0,2292052146.0,1962637301.0,709224122.0,774.0,0.0,419370749,34603008,122617856,1572864
49874773.0,5484850.0,2292052146.0,1962637301.0,709224122.0,774.0,0.0,419370749,34603008,122617856,1572864
41229308.0,5349275.0,1776045944.0,1603557350.0,627586016.0,935.0,1.0,420294784,28049408,117964800,0
41229308.0,5349275.0,1776045944.0,1603557350.0,627586016.0,935.0,1.0,420294784,28049408,117964800,0
45223382.0,4587438.0,2115525076.0,1732841904.0,579698844.0,530.0,1.0,420204309,28114944,105381888,720896
45223382.0,4587438.0,2115525076.0,1732841904.0,579698844.0,530.0,1.0,420204309,28114944,105381888,720896
33326161.0,4061932.0,1369831308.0,1250134877.0,477551548.0,341.0,0.0,420103856,28246016,80871424,0
33326161.0,4061932.0,1369831308.0,1250134877.0,477551548.0,341.0,0.0,420103856,28246016,80871424,0
45959532.0,6177049.0,1927806306.0,1763350223.0,689668460.0,975.0,0.0,419295348,30146560,186843136,589824
45959532.0,6177049.0,1927806306.0,1763350223.0,689668460.0,975.0,0.0,419295348,30146560,186843136,589824
61444821.0,9766958.0,2945542060.0,2683501753.0,1082223141.0,2663.0,0.0,421230887,37814272,340197376,3407872
61444821.0,9766958.0,2945542060.0,2683501753.0,1082223141.0,2663.0,0.0,421230887,37814272,340197376,3407872
60182260.0,9059483.0,2736936296.0,2503932417.0,1016307650.0,1784.0,0.0,419523545,36700160,244449280,917504
60182260.0,9059483.0,2736936296.0,2503932417.0,1016307650.0,1784.0,0.0,419523545,36700160,244449280,917504
41981957.0,8376156.0,1673551888.0,1759538969.0,798664436.0,632.0,0.0,419667927,34078720,304218112,0
41981957.0,8376156.0,1673551888.0,1759538969.0,798664436.0,632.0,0.0,419667927,34078720,304218112,0
56021577.0,13019974.0,2227150736.0,2444346747.0,1158835276.0,2412.0,0.0,419776651,39452672,656408576,7274496
56021577.0,13019974.0,2227150736.0,2444346747.0,1158835276.0,2412.0,0.0,419776651,39452672,656408576,7274496
65099007.0,18618694.0,2856104744.0,3191771537.0,1556856200.0,4871.0,0.0,419465578,39780352,905773056,393216
65099007.0,18618694.0,2856104744.0,3191771537.0,1556856200.0,4871.0,0.0,419465578,39780352,905773056,393216
65870662.0,21738134.0,2669018862.0,3306805987.0,1743562273.0,5892.0,0.0,419455792,39321600,1204486144,0
65870662.0,21738134.0,2669018862.0,3306805987.0,1743562273.0,5892.0,0.0,419455792,39321600,1204486144,0
72734568.0,14968240.0,3248426216.0,3259823049.0,1438656721.0,4786.0,0.0,419929734,37945344,640417792,0
72734568.0,14968240.0,3248426216.0,3259823049.0,1438656721.0,4786.0,0.0,419929734,37945344,640417792,0
72622910.0,13255834.0,3227993314.0,3190673894.0,1382916019.0,3216.0,0.0,420053144,39649280,468254720,4063232
72622910.0,13255834.0,3227993314.0,3190673894.0,1382916019.0,3216.0,0.0,420053144,39649280,468254720,4063232
67105820.0,15323710.0,3058054423.0,3142709559.0,1389432526.0,3702.0,1.0,419954514,35192832,583598080,0
67105820.0,15323710.0,3058054423.0,3142709559.0,1389432526.0,3702.0,1.0,419954514,35192832,583598080,0
65134902.0,20205249.0,2713365130.0,3232696461.0,1675929410.0,5750.0,0.0,419896400,38993920,1059651584,3670016
65134902.0,20205249.0,2713365130.0,3232696461.0,1675929410.0,5750.0,0.0,419896400,38993920,1059651584,3670016
71011333.0,18031986.0,2968835544.0,3317605556.0,1618900079.0,4887.0,0.0,420128289,38010880,912064512,0
71011333.0,18031986.0,2968835544.0,3317605556.0,1618900079.0,4887.0,0.0,420128289,38010880,912064512,0
67122025.0,14458810.0,3123472966.0,3148239963.0,1404228452.0,4316.0,0.0,420016940,35717120,696778752,4784128
67122025.0,14458810.0,3123472966.0,3148239963.0,1404228452.0,4316.0,0.0,420016940,35717120,696778752,4784128
57161252.0,16204005.0,2398779453.0,2795845389.0,1397798362.0,3280.0,1.0,420017822,39583744,901775360,786432
57161252.0,16204005.0,2398779453.0,2795845389.0,1397798362.0,3280.0,1.0,420017822,39583744,901775360,786432
63873362.0,8393639.0,2910227051.0,2675237578.0,1047546929.0,2603.0,0.0,419919101,35586048,235012096,0
63873362.0,8393639.0,2910227051.0,2675237578.0,1047546929.0,2603.0,0.0,419919101,35586048,235012096,0
58157082.0,8300136.0,2772396193.0,2494750861.0,968993478.0,2230.0,1.0,419944098,32899072,238747648,1245184
58157082.0,8300136.0,2772396193.0,2494750861.0,968993478.0,2230.0,1.0,419944098,32899072,238747648,1245184
50561426.0,6633787.0,2190441066.0,1996582298.0,783973959.0,1053.0,0.0,419884052,34078720,199622656,851968
50561426.0,6633787.0,2190441066.0,1996582298.0,783973959.0,1053.0,0.0,419884052,34078720,199622656,851968
44186172.0,5613805.0,1898474660.0,1745092991.0,698996100.0,683.0,0.0,419947318,34734080,135331840,589824
44186172.0,5613805.0,1898474660.0,1745092991.0,698996100.0,683.0,0.0,419947318,34734080,135331840,589824
35231059.0,4109472.0,1590506863.0,1433270793.0,541750246.0,362.0,1.0,419839273,28508160,93257728,0
35231059.0,4109472.0,1590506863.0,1433270793.0,541750246.0,362.0,1.0,419839273,28508160,93257728,0
37702316.0,5934837.0,1550958675.0,1524476176.0,648415605.0,937.0,0.0,419937000,36831232,186974208,2949120
37702316.0,5934837.0,1550958675.0,1524476176.0,648415605.0,937.0,0.0,419937000,36831232,186974208,2949120
46658884.0,11839352.0,1901010203.0,2146146449.0,1063595587.0,1918.0,1.0,419992419,38928384,571604992,4849664
46658884.0,11839352.0,1901010203.0,2146146449.0,1063595587.0,1918.0,1.0,419992419,38928384,571604992,4849664
57423025.0,18383181.0,2280645620.0,2770598895.0,1447674340.0,3560.0,0.0,420065079,39583744,999555072,10551296
57423025.0,18383181.0,2280645620.0,2770598895.0,1447674340.0,3560.0,0.0,420065079,39583744,999555072,10551296
62897215.0,23127129.0,2576970650.0,3292533935.0,1794502481.0,4420.0,0.0,420088718,38928384,1390477312,0
62897215.0,23127129.0,2576970650.0,3292533935.0,1794502481.0,4420.0,0.0,420088718,38928384,1390477312,0
66452019.0,18970212.0,2773138834.0,3187858946.0,1598184392.0,5580.0,1.0,420013982,37486592,1045037056,458752
66452019.0,18970212.0,2773138834.0,3187858946.0,1598184392.0,5580.0,1.0,420013982,37486592,1045037056,458752
59092733.0,8235880.0,2768581461.0,2518771584.0,988526481.0,2160.0,0.0,419934351,28835840,224067584,0
59092733.0,8235880.0,2768581461.0,2518771584.0,988526481.0,2160.0,0.0,419934351,28835840,224067584,0
52127938.0,5206565.0,2465614479.0,2129569547.0,783646530.0,1121.0,0.0,419909854,30146560,118030336,393216
52127938.0,5206565.0,2465614479.0,2129569547.0,783646530.0,1121.0,0.0,419909854,30146560,118030336,393216
29727202.0,3016183.0,1308405719.0,1147253368.0,421064853.0,233.0,0.0,419851957,27328512,71630848,589824
29727202.0,3016183.0,1308405719.0,1147253368.0,421064853.0,233.0,0.0,419851957,27328512,71630848,589824
53661766.0,8451031.0,2290677203.0,2159167090.0,877320804.0,2147.0,1.0,420048258,36175872,270336000,1835008
53661766.0,8451031.0,2290677203.0,2159167090.0,877320804.0,2147.0,1.0,420048258,36175872,270336000,1835008
62162927.0,13541564.0,2709305447.0,2820534968.0,1276385908.0,3369.0,0.0,419940465,37289984,621346816,4325376
62162927.0,13541564.0,2709305447.0,2820534968.0,1276385908.0,3369.0,0.0,419940465,37289984,621346816,4325376
57345681.0,18992772.0,2314440592.0,2851258485.0,1507496452.0,3638.0,0.0,420187019,38404096,994312192,720896
57345681.0,18992772.0,2314440592.0,2851258485.0,1507496452.0,3638.0,0.0,420187019,38404096,994312192,720896
68161877.0,17028125.0,2885554342.0,3203430597.0,1568307375.0,5305.0,0.0,420004942,36831232,813170688,0
68161877.0,17028125.0,2885554342.0,3203430597.0,1568307375.0,5305.0,0.0,420004942,36831232,813170688,0
67447315.0,13199018.0,2930693785.0,2945651689.0,1301569356.0,3345.0,0.0,420016471,38731776,460193792,3604480
67447315.0,13199018.0,2930693785.0,2945651689.0,1301569356.0,3345.0,0.0,420016471,38731776,460193792,3604480
64000279.0,15890185.0,2630730465.0,2904679101.0,1392496477.0,4075.0,0.0,420003920,38207488,714014720,1310720
64000279.0,15890185.0,2630730465.0,2904679101.0,1392496477.0,4075.0,0.0,420003920,38207488,714014720,1310720
57549745.0,12678990.0,2255073280.0,2440389806.0,1152871717.0,2232.0,0.0,419969921,37027840,483524608,0
57549745.0,12678990.0,2255073280.0,2440389806.0,1152871717.0,2232.0,0.0,419969921,37027840,483524608,0
52138669.0,7183708.0,2223113527.0,2054020261.0,814520314.0,1709.0,1.0,419899109,34734080,260702208,1179648
52138669.0,7183708.0,2223113527.0,2054020261.0,814520314.0,1709.0,1.0,419899109,34734080,260702208,1179648
40100675.0,5415782.0,1781980310.0,1649135358.0,652218944.0,838.0,0.0,419884885,31391744,146145280,0
40100675.0,5415782.0,1781980310.0,1649135358.0,652218944.0,838.0,0.0,419884885,31391744,146145280,0
48820003.0,5725492.0,2110063312.0,1877170127.0,712580317.0,824.0,0.0,419987449,35979264,153419776,2293760
48820003.0,5725492.0,2110063312.0,1877170127.0,712580317.0,824.0,0.0,419987449,35979264,153419776,2293760
63082872.0,8200482.0,2782346349.0,2506167804.0,961660592.0,1991.0,1.0,419952456,37224448,248184832,0
63082872.0,8200482.0,2782346349.0,2506167804.0,961660592.0,1991.0,1.0,419952456,37224448,248184832,0
52102841.0,10161947.0,1990708610.0,2132282633.0,988077809.0,1478.0,0.0,420019908,37486592,385351680,3801088
52102841.0,10161947.0,1990708610.0,2132282633.0,988077809.0,1478.0,0.0,420019908,37486592,385351680,3801088
49788424.0,9352648.0,2046106764.0,2079722159.0,946234711.0,1366.0,0.0,419746306,34209792,418512896,0
49788424.0,9352648.0,2046106764.0,2079722159.0,946234711.0,1366.0,0.0,419746306,34209792,418512896,0
42303139.0,6054348.0,1798402690.0,1714615368.0,683287420.0,905.0,0.0,419970719,34471936,172490752,1638400
42303139.0,6054348.0,1798402690.0,1714615368.0,683287420.0,905.0,0.0,419970719,34471936,172490752,1638400
43113108.0,11525166.0,1725220996.0,2000517472.0,1011097817.0,1222.0,1.0,420016359,38338560,612433920,983040
43113108.0,11525166.0,1725220996.0,2000517472.0,1011097817.0,1222.0,1.0,420016359,38338560,612433920,983040
63416371.0,9405903.0,2832196851.0,2666611359.0,1081038279.0,2663.0,0.0,419940322,34734080,331284480,0
63416371.0,9405903.0,2832196851.0,2666611359.0,1081038279.0,2663.0,0.0,419940322,34734080,331284480,0
59910077.0,7129351.0,2613632429.0,2445938183.0,979890479.0,1740.0,0.0,420036172,36372480,153092096,786432
59910077.0,7129351.0,2613632429.0,2445938183.0,979890479.0,1740.0,0.0,420036172,36372480,153092096,786432
51967191.0,7300312.0,2540185560.0,2306307097.0,908130075.0,1878.0,3.0,419967464,32112640,238813184,2424832
51967191.0,7300312.0,2540185560.0,2306307097.0,908130075.0,1878.0,3.0,419967464,32112640,238813184,2424832
51781533.0,6747707.0,2236574391.0,2021758369.0,781975909.0,1442.0,0.0,419997411,37355520,198901760,655360
51781533.0,6747707.0,2236574391.0,2021758369.0,781975909.0,1442.0,0.0,419997411,37355520,198901760,655360
44301349.0,8354075.0,1837358262.0,1826406860.0,797316262.0,906.0,1.0,419856972,35979264,323026944,589824
44301349.0,8354075.0,1837358262.0,1826406860.0,797316262.0,906.0,1.0,419856972,35979264,323026944,589824
33333696.0,5491979.0,1401345331.0,1369018362.0,560267820.0,522.0,0.0,420053315,35192832,173998080,131072
33333696.0,5491979.0,1401345331.0,1369018362.0,560267820.0,522.0,0.0,420053315,35192832,173998080,131072
54924293.0,9922789.0,2300539314.0,2321157958.0,1011498171.0,2250.0,1.0,419758563,38469632,395575296,1572864
54924293.0,9922789.0,2300539314.0,2321157958.0,1011498171.0,2250.0,1.0,419758563,38469632,395575296,1572864
50420607.0,11753310.0,2083470570.0,2293152100.0,1091470778.0,1861.0,0.0,419869380,35586048,463077376,0
50420607.0,11753310.0,2083470570.0,2293152100.0,1091470778.0,1861.0,0.0,419869380,35586048,463077376,0
55648623.0,11663084.0,2420640488.0,2596581096.0,1220184895.0,2360.0,0.0,420087367,39190528,498597888,2031616
55648623.0,11663084.0,2420640488.0,2596581096.0,1220184895.0,2360.0,0.0,420087367,39190528,498597888,2031616
69047683.0,17777947.0,3174774684.0,3318339122.0,1561670473.0,5475.0,0.0,420090944,39583744,904069120,9764864
69047683.0,17777947.0,3174774684.0,3318339122.0,1561670473.0,5475.0,0.0,420090944,39583744,904069120,9764864
63589531.0,22068266.0,2471692944.0,3202235440.0,1732847313.0,6344.0,3.0,420066409,39845888,1182072832,0
63589531.0,22068266.0,2471692944.0,3202235440.0,1732847313.0,6344.0,3.0,420066409,39845888,1182072832,0
64070662.0,21871459.0,2595864402.0,3307530636.0,1793885264.0,4930.0,0.0,420055706,39059456,1200881664,2424832
64070662.0,21871459.0,2595864402.0,3307530636.0,1793885264.0,4930.0,0.0,420055706,39059456,1200881664,2424832
75806443.0,13592978.0,3358451144.0,3304860726.0,1433004048.0,5015.0,0.0,420061362,37683200,571342848,0
75806443.0,13592978.0,3358451144.0,3304860726.0,1433004048.0,5015.0,0.0,420061362,37683200,571342848,0
61487432.0,8054364.0,2817022176.0,2546712080.0,989537468.0,1519.0,0.0,420009982,37158912,214171648,655360
61487432.0,8054364.0,2817022176.0,2546712080.0,989537468.0,1519.0,0.0,420009982,37158912,214171648,655360
56642854.0,6767601.0,2300628879.0,2148879770.0,850298696.0,1107.0,0.0,419926787,37224448,156434432,2490368
56642854.0,6767601.0,2300628879.0,2148879770.0,850298696.0,1107.0,0.0,419926787,37224448,156434432,2490368
