category,ntail-sphinx,cfd
runtime,25.042434453964233,62.72140026092529
llc_references,261466390.3398058,89286167.59075908
llc_misses,85396952.23300971,21456395.11551155
instructions,11318165868.106796,30889149895.47855
cycles,13661874246.601942,15642511796.287128
stall_cycles,7256912129.417476,2418394407.112211
intra_coh,25023.786407766987,977386.0231023103
inter_coh,1.2135922330097086,0.0165016501650165
wall_cycles,2120331652.038835,2105754448.019802
llc_size,140110241.55339804,122128390.7590759
local_mem,4708109421.359223,1057054584.8184818
remote_mem,11335182.912621358,2975074.8514851485
