category,dedup,ntail-sphinx
runtime,9.90973162651062,29.808242559432983
llc_references,26475409.871794872,266433876.69421488
llc_misses,10413496.41025641,56774096.94214876
instructions,14088084901.794872,11630203117.933884
cycles,7699435010.256411,11991297282.52066
stall_cycles,1780116664.102564,5477945723.429752
intra_coh,2529321.4102564105,13396.776859504133
inter_coh,1.153846153846154,1.5702479338842976
wall_cycles,2148246066.9230766,2116561289.2975206
llc_size,25004504.615384616,199589617.19008264
local_mem,1363585706.6666665,2672606825.785124
remote_mem,6713238.974358974,9646249.256198347
