category,ntail-sphinx,facesim
runtime,24.38684105873108,78.6494996547699
llc_references,270271798.21428573,187206007.8961039
llc_misses,94997258.1122449,37167461.896103896
instructions,11704564591.377552,28656785802.64935
cycles,14591470303.265306,11688231646.948051
stall_cycles,7964179015.7653055,2099461025.4285715
intra_coh,30195.867346938776,3209830.3766233763
inter_coh,1.3775510204081631,1.2207792207792207
wall_cycles,2119246125.9183671,2104655792.883117
llc_size,142544143.6734694,171304295.06493506
local_mem,5601214798.367347,1928527020.883117
remote_mem,27565244.08163265,12965063.480519481
