category,ntail-sphinx,ferret
runtime,29.100447177886963,64.01219701766968
llc_references,250733604.6370968,124550052.94407895
llc_misses,60711615.645161286,51663345.27960527
instructions,10932197743.951614,24313143078.00987
cycles,11830691223.548386,16478385776.809212
stall_cycles,5689760288.145162,4818854475.904606
intra_coh,17168.06451612903,166052.59868421053
inter_coh,1.2096774193548387,0.444078947368421
wall_cycles,2117531579.4758062,2110318186.2006578
llc_size,149852820.6451613,146582905.2631579
local_mem,2880574100.645161,968156429.4736843
remote_mem,12811230.967741935,8576808.421052631
