category,ntail-sphinx,fluidanimate
runtime,27.70187997817993,68.98000860214233
llc_references,257315274.2672414,67978918.56083086
llc_misses,69760928.96551725,45581375.84569733
instructions,11179219070.344828,26990334111.201782
cycles,12552782607.284485,15409602303.471811
stall_cycles,6250287387.198276,3556854783.783383
intra_coh,22305.603448275862,4869147.9970326405
inter_coh,2.1120689655172415,0.02967359050445104
wall_cycles,2116780570.8189654,2104708783.6646886
llc_size,144936253.79310346,157271814.83679527
local_mem,3411114902.0689654,3103786904.6884274
remote_mem,13909451.034482758,16705845.9347181
