llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
7482893.0,2809965.0,789074421.0,601793692.0,233358160.0,11820.0,18.0,824354783,11730944,1618018304,393216
7482893.0,2809965.0,789074421.0,601793692.0,233358160.0,11820.0,18.0,824354783,11730944,1618018304,393216
7677162.0,2929559.0,820476631.0,626956789.0,241753026.0,12179.0,7.0,419721309,2162688,938868736,6619136
7677162.0,2929559.0,820476631.0,626956789.0,241753026.0,12179.0,7.0,419721309,2162688,938868736,6619136
7379392.0,2658886.0,904564742.0,666946228.0,250492622.0,13718.0,4.0,419984327,8388608,929366016,0
7379392.0,2658886.0,904564742.0,666946228.0,250492622.0,13718.0,4.0,419984327,8388608,929366016,0
6479831.0,2462411.0,695157019.0,534473895.0,213177812.0,9816.0,15.0,419800073,3932160,810549248,1114112
6479831.0,2462411.0,695157019.0,534473895.0,213177812.0,9816.0,15.0,419800073,3932160,810549248,1114112
6662873.0,2452507.0,745115909.0,558360503.0,212293418.0,11089.0,3.0,419985860,7340032,792330240,7864320
6662873.0,2452507.0,745115909.0,558360503.0,212293418.0,11089.0,3.0,419985860,7340032,792330240,7864320
7368098.0,2778187.0,714985539.0,595341974.0,244397321.0,11298.0,5.0,419940864,7929856,901316608,7471104
7368098.0,2778187.0,714985539.0,595341974.0,244397321.0,11298.0,5.0,419940864,7929856,901316608,7471104
6717319.0,2580859.0,688252294.0,548495060.0,225633871.0,13178.0,6.0,419911359,6750208,864223232,458752
6717319.0,2580859.0,688252294.0,548495060.0,225633871.0,13178.0,6.0,419911359,6750208,864223232,458752
6342586.0,2077982.0,684131176.0,504294596.0,189014751.0,10839.0,6.0,420039473,9306112,708050944,4390912
6342586.0,2077982.0,684131176.0,504294596.0,189014751.0,10839.0,6.0,420039473,9306112,708050944,4390912
7358769.0,2724733.0,811863117.0,623567503.0,240319098.0,12114.0,6.0,419964078,4456448,949223424,3342336
7358769.0,2724733.0,811863117.0,623567503.0,240319098.0,12114.0,6.0,419964078,4456448,949223424,3342336
5703938.0,2100325.0,715665195.0,528370470.0,200795849.0,9937.0,4.0,419896979,3932160,775749632,0
5703938.0,2100325.0,715665195.0,528370470.0,200795849.0,9937.0,4.0,419896979,3932160,775749632,0
7472048.0,2741044.0,784956541.0,604560176.0,232130321.0,11303.0,4.0,419736637,3276800,908001280,9109504
7472048.0,2741044.0,784956541.0,604560176.0,232130321.0,11303.0,4.0,419736637,3276800,908001280,9109504
7124107.0,2556243.0,714625874.0,557971126.0,221788520.0,10924.0,9.0,420020596,5505024,860946432,0
7124107.0,2556243.0,714625874.0,557971126.0,221788520.0,10924.0,9.0,420020596,5505024,860946432,0
6592502.0,2554351.0,732441522.0,555793579.0,213075704.0,11632.0,5.0,419684143,6488064,833617920,8519680
6592502.0,2554351.0,732441522.0,555793579.0,213075704.0,11632.0,5.0,419684143,6488064,833617920,8519680
8321187.0,2939407.0,866825087.0,652363510.0,246158707.0,11662.0,18.0,419799201,22282240,845348864,4915200
8321187.0,2939407.0,866825087.0,652363510.0,246158707.0,11662.0,18.0,419799201,22282240,845348864,4915200
7220694.0,2554508.0,808918086.0,604394973.0,227980650.0,10528.0,7.0,420020678,21233664,817758208,7798784
7220694.0,2554508.0,808918086.0,604394973.0,227980650.0,10528.0,7.0,420020678,21233664,817758208,7798784
7471998.0,2707369.0,888914272.0,661688780.0,245996722.0,10830.0,7.0,420002786,14155776,900399104,0
7471998.0,2707369.0,888914272.0,661688780.0,245996722.0,10830.0,7.0,420002786,14155776,900399104,0
6645598.0,2493776.0,820868452.0,611788854.0,231544754.0,11057.0,3.0,419785439,4063232,818806784,9764864
6645598.0,2493776.0,820868452.0,611788854.0,231544754.0,11057.0,3.0,419785439,4063232,818806784,9764864
6686399.0,2604496.0,769840011.0,581935374.0,221667698.0,11170.0,3.0,419837128,17367040,864550912,0
6686399.0,2604496.0,769840011.0,581935374.0,221667698.0,11170.0,3.0,419837128,17367040,864550912,0
6522502.0,2441096.0,733632525.0,552070725.0,211704366.0,11930.0,5.0,419904114,3932160,796852224,10551296
6522502.0,2441096.0,733632525.0,552070725.0,211704366.0,11930.0,5.0,419904114,3932160,796852224,10551296
7061551.0,2625628.0,877083199.0,649070127.0,242400900.0,12409.0,4.0,419821759,8519680,874053632,5963776
7061551.0,2625628.0,877083199.0,649070127.0,242400900.0,12409.0,4.0,419821759,8519680,874053632,5963776
7012159.0,2565326.0,837432119.0,625485562.0,239894612.0,11309.0,8.0,419731851,13369344,894828544,0
7012159.0,2565326.0,837432119.0,625485562.0,239894612.0,11309.0,8.0,419731851,13369344,894828544,0
5842258.0,2234449.0,610169360.0,474637335.0,184920484.0,8373.0,9.0,419851537,14811136,788725760,2555904
5842258.0,2234449.0,610169360.0,474637335.0,184920484.0,8373.0,9.0,419851537,14811136,788725760,2555904
2495076.0,975267.0,354256818.0,258924947.0,96013552.0,3812.0,1.0,419825476,65536,353370112,0
2495076.0,975267.0,354256818.0,258924947.0,96013552.0,3812.0,1.0,419825476,65536,353370112,0
2668845.0,945124.0,287658334.0,219521142.0,87546703.0,3122.0,0.0,419733041,0,322895872,1310720
2668845.0,945124.0,287658334.0,219521142.0,87546703.0,3122.0,0.0,419733041,0,322895872,1310720
12975309.0,4700657.0,1440498882.0,1107720944.0,425665842.0,14585.0,1.0,420031052,7929856,1409089536,23396352
12975309.0,4700657.0,1440498882.0,1107720944.0,425665842.0,14585.0,1.0,420031052,7929856,1409089536,23396352
11490057.0,4105042.0,1355467999.0,1020688517.0,390270369.0,15619.0,6.0,419910120,5963776,1251540992,0
11490057.0,4105042.0,1355467999.0,1020688517.0,390270369.0,15619.0,6.0,419910120,5963776,1251540992,0
6892652.0,2487687.0,745409010.0,566204592.0,221614794.0,11036.0,4.0,419888217,7798784,876544000,8060928
6892652.0,2487687.0,745409010.0,566204592.0,221614794.0,11036.0,4.0,419888217,7798784,876544000,8060928
7555157.0,2974885.0,895277736.0,677980378.0,262625506.0,13102.0,11.0,419965819,7733248,964952064,3276800
7555157.0,2974885.0,895277736.0,677980378.0,262625506.0,13102.0,11.0,419965819,7733248,964952064,3276800
6783491.0,2377070.0,747923365.0,561837527.0,224227536.0,10800.0,7.0,419696291,5636096,871759872,0
6783491.0,2377070.0,747923365.0,561837527.0,224227536.0,10800.0,7.0,419696291,5636096,871759872,0
