llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
6651457.0,2417353.0,680394722.0,512741500.0,204363493.0,12474.0,21.0,833872801,6619136,1966604288,14811136
6651457.0,2417353.0,680394722.0,512741500.0,204363493.0,12474.0,21.0,833872801,6619136,1966604288,14811136
3496622.0,1499344.0,400316786.0,307683249.0,117669597.0,4426.0,6.0,419867665,65536,524353536,0
3496622.0,1499344.0,400316786.0,307683249.0,117669597.0,4426.0,6.0,419867665,65536,524353536,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419592705,0,0,327680
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419592705,0,0,327680
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419702457,65536,0,655360
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419702457,65536,0,655360
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419831329,0,0,393216
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419831329,0,0,393216
10665528.0,3978843.0,1253342403.0,942132362.0,363269080.0,13872.0,4.0,420041797,10682368,1389232128,27394048
10665528.0,3978843.0,1253342403.0,942132362.0,363269080.0,13872.0,4.0,420041797,10682368,1389232128,27394048
15097781.0,5380789.0,1592003413.0,1232315815.0,485048890.0,20822.0,6.0,420041027,7471104,1841496064,3538944
15097781.0,5380789.0,1592003413.0,1232315815.0,485048890.0,20822.0,6.0,420041027,7471104,1841496064,3538944
14487426.0,5249172.0,1510637536.0,1180928512.0,477789009.0,21170.0,4.0,419788271,11075584,1888354304,0
14487426.0,5249172.0,1510637536.0,1180928512.0,477789009.0,21170.0,4.0,419788271,11075584,1888354304,0
10782266.0,3729067.0,1207501162.0,903968953.0,349315393.0,16570.0,6.0,420101952,9371648,1307443200,4390912
10782266.0,3729067.0,1207501162.0,903968953.0,349315393.0,16570.0,6.0,420101952,9371648,1307443200,4390912
7676888.0,2880228.0,874247934.0,666660575.0,266009679.0,12361.0,7.0,420107481,8126464,1091305472,524288
7676888.0,2880228.0,874247934.0,666660575.0,266009679.0,12361.0,7.0,420107481,8126464,1091305472,524288
7630946.0,2597927.0,808054526.0,619999581.0,246676743.0,12787.0,3.0,419868090,5439488,1059848192,13697024
7630946.0,2597927.0,808054526.0,619999581.0,246676743.0,12787.0,3.0,419868090,5439488,1059848192,13697024
6848744.0,2531681.0,706713023.0,550435646.0,222864962.0,14004.0,1.0,419916474,6488064,1020198912,0
6848744.0,2531681.0,706713023.0,550435646.0,222864962.0,14004.0,1.0,419916474,6488064,1020198912,0
6552521.0,2498323.0,734001503.0,571399153.0,225367213.0,11633.0,10.0,419786391,2359296,964362240,10289152
6552521.0,2498323.0,734001503.0,571399153.0,225367213.0,11633.0,10.0,419786391,2359296,964362240,10289152
7875327.0,3069115.0,852829721.0,654210354.0,254394119.0,14165.0,6.0,420058598,3801088,1102512128,1835008
7875327.0,3069115.0,852829721.0,654210354.0,254394119.0,14165.0,6.0,420058598,3801088,1102512128,1835008
7095694.0,2513438.0,830824239.0,630558291.0,254544033.0,13121.0,3.0,419842741,4784128,1084424192,14221312
7095694.0,2513438.0,830824239.0,630558291.0,254544033.0,13121.0,3.0,419842741,4784128,1084424192,14221312
7349756.0,2851237.0,884382018.0,657302636.0,248810911.0,14424.0,4.0,420071215,8912896,1053753344,7077888
7349756.0,2851237.0,884382018.0,657302636.0,248810911.0,14424.0,4.0,420071215,8912896,1053753344,7077888
7165736.0,2668653.0,801754940.0,617863237.0,249620438.0,12555.0,3.0,419802180,1900544,1043202048,0
7165736.0,2668653.0,801754940.0,617863237.0,249620438.0,12555.0,3.0,419802180,1900544,1043202048,0
6936693.0,2641353.0,760232050.0,578590163.0,220335467.0,11478.0,4.0,419805867,6422528,985726976,7405568
6936693.0,2641353.0,760232050.0,578590163.0,220335467.0,11478.0,4.0,419805867,6422528,985726976,7405568
6619188.0,2501396.0,739204567.0,570630233.0,228600023.0,13471.0,6.0,420169752,8192000,982974464,14352384
6619188.0,2501396.0,739204567.0,570630233.0,228600023.0,13471.0,6.0,420169752,8192000,982974464,14352384
7407447.0,2779224.0,869134500.0,640375843.0,240943821.0,12550.0,8.0,419995485,4390912,1007878144,6160384
7407447.0,2779224.0,869134500.0,640375843.0,240943821.0,12550.0,8.0,419995485,4390912,1007878144,6160384
7737595.0,2903257.0,830172435.0,632721484.0,250071394.0,13744.0,3.0,419884136,6291456,1066598400,4915200
7737595.0,2903257.0,830172435.0,632721484.0,250071394.0,13744.0,3.0,419884136,6291456,1066598400,4915200
7091422.0,2653560.0,748585369.0,574169164.0,226349340.0,13206.0,6.0,419911669,10420224,995950592,5636096
7091422.0,2653560.0,748585369.0,574169164.0,226349340.0,13206.0,6.0,419911669,10420224,995950592,5636096
7145415.0,2717263.0,733550675.0,582645900.0,233193608.0,13805.0,4.0,419942899,4718592,1023934464,9240576
7145415.0,2717263.0,733550675.0,582645900.0,233193608.0,13805.0,4.0,419942899,4718592,1023934464,9240576
7439549.0,2737303.0,815336443.0,616660065.0,235551798.0,13333.0,4.0,419832070,2293760,1015939072,2424832
7439549.0,2737303.0,815336443.0,616660065.0,235551798.0,13333.0,4.0,419832070,2293760,1015939072,2424832
6899188.0,2656294.0,856346549.0,641828461.0,252005829.0,15157.0,6.0,419910050,6684672,1072758784,13828096
6899188.0,2656294.0,856346549.0,641828461.0,252005829.0,15157.0,6.0,419910050,6684672,1072758784,13828096
8150542.0,2922381.0,966873301.0,720232727.0,276451267.0,14673.0,9.0,419771434,3866624,1091764224,3145728
8150542.0,2922381.0,966873301.0,720232727.0,276451267.0,14673.0,9.0,419771434,3866624,1091764224,3145728
7102746.0,2477739.0,747587113.0,570194556.0,228684812.0,12482.0,3.0,420101383,8650752,998178816,12451840
7102746.0,2477739.0,747587113.0,570194556.0,228684812.0,12482.0,3.0,420101383,8650752,998178816,12451840
7747376.0,3122637.0,890163305.0,688422583.0,270517929.0,11656.0,7.0,419972154,7798784,1109000192,1638400
7747376.0,3122637.0,890163305.0,688422583.0,270517929.0,11656.0,7.0,419972154,7798784,1109000192,1638400
7273456.0,2686311.0,709045531.0,555327672.0,226335627.0,13962.0,7.0,419793990,2359296,1021116416,5111808
7273456.0,2686311.0,709045531.0,555327672.0,226335627.0,13962.0,7.0,419793990,2359296,1021116416,5111808
6800840.0,2435136.0,738288036.0,555020545.0,214542387.0,10719.0,11.0,419825658,5963776,962134016,11141120
6800840.0,2435136.0,738288036.0,555020545.0,214542387.0,10719.0,11.0,419825658,5963776,962134016,11141120
7258679.0,2753070.0,814843128.0,617437495.0,241436774.0,12023.0,11.0,419874356,5636096,1049231360,7405568
7258679.0,2753070.0,814843128.0,617437495.0,241436774.0,12023.0,11.0,419874356,5636096,1049231360,7405568
7718682.0,2707388.0,808004471.0,621801025.0,243168902.0,13708.0,4.0,419818371,3604480,1060503552,5767168
7718682.0,2707388.0,808004471.0,621801025.0,243168902.0,13708.0,4.0,419818371,3604480,1060503552,5767168
6821299.0,2640598.0,736789974.0,568670560.0,225489816.0,13714.0,6.0,420042197,6553600,995360768,2097152
6821299.0,2640598.0,736789974.0,568670560.0,225489816.0,13714.0,6.0,420042197,6553600,995360768,2097152
6883710.0,2569037.0,799302400.0,599945524.0,235438013.0,14380.0,8.0,419796314,3407872,1004535808,9961472
6883710.0,2569037.0,799302400.0,599945524.0,235438013.0,14380.0,8.0,419796314,3407872,1004535808,9961472
6824951.0,2564910.0,748196869.0,567209236.0,220505960.0,12233.0,1.0,419946646,6750208,978386944,10944512
6824951.0,2564910.0,748196869.0,567209236.0,220505960.0,12233.0,1.0,419946646,6750208,978386944,10944512
7264736.0,2691907.0,841563267.0,638795365.0,248956822.0,11917.0,6.0,419832882,2293760,1045561344,65536
7264736.0,2691907.0,841563267.0,638795365.0,248956822.0,11917.0,6.0,419832882,2293760,1045561344,65536
7648776.0,2775391.0,866813394.0,651893380.0,253867019.0,13299.0,3.0,419826400,4128768,1075380224,9568256
