llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
61707.0,12054.0,1228075375.0,401383667.0,25153331.0,0.0,0.0,766987651,13893632,45350912,65536
61707.0,12054.0,1228075375.0,401383667.0,25153331.0,0.0,0.0,766987651,13893632,45350912,65536
62133.0,11813.0,1229121200.0,401567196.0,25227294.0,0.0,0.0,419673821,14745600,28246016,0
62133.0,11813.0,1229121200.0,401567196.0,25227294.0,0.0,0.0,419673821,14745600,28246016,0
63000.0,11705.0,1211751044.0,397032391.0,24908431.0,0.0,0.0,419590052,14221312,32243712,262144
63000.0,11705.0,1211751044.0,397032391.0,24908431.0,0.0,0.0,419590052,14221312,32243712,262144
63610.0,12731.0,1228741980.0,401346977.0,25191263.0,0.0,0.0,419627292,13828096,28377088,0
63610.0,12731.0,1228741980.0,401346977.0,25191263.0,0.0,0.0,419627292,13828096,28377088,0
63192.0,12256.0,1228385258.0,401492610.0,25214853.0,0.0,0.0,419393315,13631488,27131904,0
63192.0,12256.0,1228385258.0,401492610.0,25214853.0,0.0,0.0,419393315,13631488,27131904,0
62228.0,11854.0,1230752129.0,401490008.0,24976853.0,0.0,0.0,419815251,13631488,28442624,0
62228.0,11854.0,1230752129.0,401490008.0,24976853.0,0.0,0.0,419815251,13631488,28442624,0
61209.0,12161.0,1228911646.0,401562517.0,25131755.0,0.0,0.0,419665365,13959168,28114944,131072
61209.0,12161.0,1228911646.0,401562517.0,25131755.0,0.0,0.0,419665365,13959168,28114944,131072
45104.0,7645.0,1162044729.0,398972372.0,29589741.0,0.0,0.0,419600370,14286848,28377088,65536
45104.0,7645.0,1162044729.0,398972372.0,29589741.0,0.0,0.0,419600370,14286848,28377088,65536
15027.0,1148.0,1091940291.0,409552479.0,40762418.0,0.0,0.0,419641131,12320768,14548992,0
15027.0,1148.0,1091940291.0,409552479.0,40762418.0,0.0,0.0,419641131,12320768,14548992,0
15670.0,1307.0,1092725486.0,409616929.0,40673086.0,0.0,0.0,419691363,11599872,12779520,196608
15670.0,1307.0,1092725486.0,409616929.0,40673086.0,0.0,0.0,419691363,11599872,12779520,196608
15225.0,1269.0,1092547944.0,409587078.0,40741731.0,0.0,0.0,419644809,10551296,13631488,131072
15225.0,1269.0,1092547944.0,409587078.0,40741731.0,0.0,0.0,419644809,10551296,13631488,131072
15442.0,1230.0,1092048930.0,409506001.0,40679288.0,0.0,1.0,419620261,11141120,13041664,0
15442.0,1230.0,1092048930.0,409506001.0,40679288.0,0.0,1.0,419620261,11141120,13041664,0
14663.0,1227.0,1072896491.0,403842600.0,40143534.0,0.0,3.0,419650735,11927552,16449536,327680
14663.0,1227.0,1072896491.0,403842600.0,40143534.0,0.0,3.0,419650735,11927552,16449536,327680
14882.0,1166.0,1091964528.0,409578543.0,40741984.0,0.0,0.0,419626347,10616832,12779520,0
