llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
7494960.0,2446559.0,761125640.0,499757635.0,145908712.0,10911.0,6.0,794448096,3670016,8912896,131072
7494960.0,2446559.0,761125640.0,499757635.0,145908712.0,10911.0,6.0,794448096,3670016,8912896,131072
7242714.0,2445790.0,806184524.0,530044689.0,154638233.0,11082.0,8.0,419630988,3276800,4194304,0
7242714.0,2445790.0,806184524.0,530044689.0,154638233.0,11082.0,8.0,419630988,3276800,4194304,0
7407608.0,2385679.0,883432334.0,571057909.0,160607518.0,7908.0,9.0,420008288,4653056,4849664,131072
7407608.0,2385679.0,883432334.0,571057909.0,160607518.0,7908.0,9.0,420008288,4653056,4849664,131072
6774320.0,2116929.0,704176433.0,460754832.0,133073977.0,7758.0,11.0,420433055,4915200,5505024,131072
6774320.0,2116929.0,704176433.0,460754832.0,133073977.0,7758.0,11.0,420433055,4915200,5505024,131072
6545086.0,2147952.0,749867072.0,485251369.0,139617333.0,6061.0,10.0,419547107,5242880,6815744,0
6545086.0,2147952.0,749867072.0,485251369.0,139617333.0,6061.0,10.0,419547107,5242880,6815744,0
6753886.0,2105581.0,705375213.0,461712218.0,134453619.0,7465.0,10.0,420088060,5373952,6684672,0
6753886.0,2105581.0,705375213.0,461712218.0,134453619.0,7465.0,10.0,420088060,5373952,6684672,0
6888601.0,2320472.0,699662874.0,466208915.0,135657089.0,7789.0,9.0,419280057,5308416,6356992,0
6888601.0,2320472.0,699662874.0,466208915.0,135657089.0,7789.0,9.0,419280057,5308416,6356992,0
6059928.0,2035723.0,667301020.0,438069632.0,126288496.0,7928.0,9.0,419847708,4653056,4915200,262144
6059928.0,2035723.0,667301020.0,438069632.0,126288496.0,7928.0,9.0,419847708,4653056,4915200,262144
7218390.0,2345157.0,759201139.0,497793783.0,143217514.0,6996.0,6.0,420468125,6684672,4587520,0
7218390.0,2345157.0,759201139.0,497793783.0,143217514.0,6996.0,6.0,420468125,6684672,4587520,0
6549887.0,2011630.0,768505253.0,494077652.0,139034696.0,8014.0,9.0,420348915,7667712,4849664,131072
6549887.0,2011630.0,768505253.0,494077652.0,139034696.0,8014.0,9.0,420348915,7667712,4849664,131072
6997015.0,2246639.0,767119412.0,498225706.0,141458215.0,7001.0,8.0,419318375,7208960,5242880,0
6997015.0,2246639.0,767119412.0,498225706.0,141458215.0,7001.0,8.0,419318375,7208960,5242880,0
6939734.0,2165152.0,694341489.0,455422828.0,132689869.0,8387.0,8.0,419999902,8060928,6225920,131072
6939734.0,2165152.0,694341489.0,455422828.0,132689869.0,8387.0,8.0,419999902,8060928,6225920,131072
6463713.0,1967652.0,742182712.0,475387327.0,135337081.0,5032.0,11.0,419212927,7208960,4784128,0
6463713.0,1967652.0,742182712.0,475387327.0,135337081.0,5032.0,11.0,419212927,7208960,4784128,0
8045553.0,2631528.0,872272796.0,573279954.0,166588165.0,7481.0,8.0,419616827,8585216,7077888,0
