category,ntail-xapian,canneal
runtime,52.663691997528076,64.90731692314148
llc_references,35515248.838174276,64188480.16233766
llc_misses,11550083.69294606,38186132.58116883
instructions,3958178299.3360996,2047363990.1136363
cycles,2681349595.975104,7950238353.295455
stall_cycles,851825198.1327801,6623971190.113636
intra_coh,41949.6265560166,219304.8051948052
inter_coh,41.68049792531121,0.0
wall_cycles,2107296961.2863069,2104430269.5941558
llc_size,86908622.0746888,125912103.89610389
local_mem,1414585042.3236513,2976544049.8701296
remote_mem,12169029.045643155,2933161.558441558
