llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
42234.0,6440.0,969596951.0,410720799.0,50682818.0,0.0,0.0,776810520,8650752,17694720,131072
42234.0,6440.0,969596951.0,410720799.0,50682818.0,0.0,0.0,776810520,8650752,17694720,131072
42106.0,6599.0,968454179.0,410792147.0,50739833.0,0.0,0.0,419655404,9437184,11796480,131072
42106.0,6599.0,968454179.0,410792147.0,50739833.0,0.0,0.0,419655404,9437184,11796480,131072
40774.0,6841.0,968287466.0,410916366.0,50878503.0,0.0,3.0,419646332,8257536,6946816,0
40774.0,6841.0,968287466.0,410916366.0,50878503.0,0.0,3.0,419646332,8257536,6946816,0
42764.0,6469.0,969153867.0,411078264.0,50812194.0,0.0,0.0,419583311,9371648,10747904,393216
42764.0,6469.0,969153867.0,411078264.0,50812194.0,0.0,0.0,419583311,9371648,10747904,393216
42715.0,6359.0,969178991.0,411082103.0,50768265.0,0.0,0.0,419692070,9109504,11599872,0
42715.0,6359.0,969178991.0,411082103.0,50768265.0,0.0,0.0,419692070,9109504,11599872,0
42082.0,6864.0,969275176.0,411161771.0,50779965.0,0.0,1.0,419618220,8847360,9633792,65536
42082.0,6864.0,969275176.0,411161771.0,50779965.0,0.0,1.0,419618220,8847360,9633792,65536
16121951.0,5935789.0,4447540006.0,2573872654.0,614341500.0,188396.0,0.0,419950393,24248320,506331136,5832704
16121951.0,5935789.0,4447540006.0,2573872654.0,614341500.0,188396.0,0.0,419950393,24248320,506331136,5832704
24930459.0,7677492.0,6086367632.0,3278406385.0,669534963.0,285106.0,0.0,419833342,25886720,614662144,8585216
24930459.0,7677492.0,6086367632.0,3278406385.0,669534963.0,285106.0,0.0,419833342,25886720,614662144,8585216
24607820.0,8244623.0,5995866773.0,3234294529.0,668957970.0,278702.0,0.0,419912213,25165824,637599744,0
24607820.0,8244623.0,5995866773.0,3234294529.0,668957970.0,278702.0,0.0,419912213,25165824,637599744,0
25777017.0,8320099.0,6122578535.0,3285203616.0,666671542.0,285107.0,0.0,419941816,26148864,615710720,0
25777017.0,8320099.0,6122578535.0,3285203616.0,666671542.0,285107.0,0.0,419941816,26148864,615710720,0
